i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:22.48545,-2.929785,43.66789;rot:0,2.234639,0;m:cuboid;scl:100,1,100;t:grass1;clr:165,173,168,255;;
i:house4_1;pos:108.0967,-0.5020286,-206.5556;rot:0,181.569,0;m:house4;scl:3,1,1;clr:165,173,168,255;;
i:house4_2;pos:-195.9208,-0.7508898,-51.11286;rot:0,180.7106,0;m:house4;scl:3,1,1;clr:165,173,168,255;;
i:house4_3;pos:174.9849,-7.637065,232.7604;rot:0,182.3788,0;m:house4;scl:3,2.5,4;clr:165,173,168,255;;
i:house4_4;pos:-73.72761,1.175653,484.3859;rot:0,182.8669,0;m:house4;scl:4.5,2.5,6;clr:165,173,168,255;;
i:tree3_5;pos:50.55162,-26.28495,368.0721;rot:0,359.5233,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_6;pos:128.6614,-26.96495,362.5773;rot:0,359.5233,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_7;pos:49.32749,-23.76261,277.6467;rot:0,359.5233,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_8;pos:-247.2406,-22.20823,486.0187;rot:0,359.009,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_9;pos:-343.65,-24.09717,494.6918;rot:0,2.758524,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_10;pos:-438.5081,-25.01865,504.0675;rot:0,2.758524,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_11;pos:-352.259,-21.6198,395.7506;rot:0,2.758524,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_12;pos:-440.4254,-19.05847,397.8388;rot:0,2.758524,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_13;pos:-353.6231,-26.45964,303.9019;rot:0,359.2236,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_14;pos:-441.1861,-21.0595,307.9587;rot:0,359.1836,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_15;pos:-380.5526,-21.78233,26.34992;rot:0,3.601098,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_16;pos:-446.2806,-20.66221,29.61683;rot:0,3.601098,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_17;pos:-449.3602,-27.90226,-43.88391;rot:0,3.601098,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_18;pos:-378.563,-27.15599,-51.16356;rot:0,2.08863,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_19;pos:-459.8557,-21.82736,-299.8841;rot:0,2.050993,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_20;pos:-394.6745,-24.61081,-304.2051;rot:0,358.033,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_21;pos:-463.9778,-18.16642,-379.0694;rot:0,4.282473,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_22;pos:-393.8448,-21.88548,-381.2957;rot:0,6.000987,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_23;pos:-329.0331,-19.12462,-385.7429;rot:0,2.750992,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_24;pos:-266.7637,-23.76548,-390.8546;rot:0,2.750992,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_25;pos:-203.2306,-23.7248,-395.2638;rot:0,2.750992,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_26;pos:-129.9294,-19.55836,-399.756;rot:0,359.5009,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_27;pos:-55.23608,-23.91517,-399.9254;rot:0,0.5006926,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_28;pos:14.30755,-25.15528,-401.0958;rot:0,0.5006926,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_29;pos:87.07155,-25.11332,-403.7358;rot:0,3.222935,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_30;pos:160.7798,-24.43291,-405.2657;rot:0,3.222935,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_31;pos:233.316,-26.83105,-410.6472;rot:0,3.222935,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_32;pos:308.0238,-31.1177,-414.9469;rot:0,3.698117,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_33;pos:384.5635,-27.12185,-420.6794;rot:0,1.448115,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_34;pos:455.0783,-26.91745,-421.3958;rot:0,3.632136,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_35;pos:376.8127,-24.39561,-344.7445;rot:0,1.601612,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_36;pos:456.3604,-25.83532,-350.9651;rot:0,1.601612,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_37;pos:50.52265,-21.17444,465.2566;rot:0,359.8039,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_38;pos:134.1567,-18.06595,462.2861;rot:0,1.053887,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_39;pos:213.6498,-23.13169,363.9651;rot:0,359.7971,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_40;pos:219.5922,-20.33145,451.935;rot:0,359.7971,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_41;pos:302.4987,-29.64652,355.0048;rot:0,0.2161161,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_42;pos:303.8473,-16.00663,453.4566;rot:0,0.2161161,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_43;pos:386.8977,-18.00649,451.7322;rot:0,0.2161161,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_44;pos:471.2178,-19.52637,451.5311;rot:0,0.2161161,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_45;pos:301.675,-27.86245,270.7415;rot:0,3.96611,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_46;pos:300.6559,-22.50167,193.4191;rot:0,3.96611,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_47;pos:380.6064,-22.29285,349.71;rot:0,2.675438,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_48;pos:458.0551,-21.45262,349.1311;rot:0,2.675438,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_49;pos:374.9304,-26.04208,270.2934;rot:0,2.675439,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_50;pos:450.983,-21.24201,270.7281;rot:0,2.675439,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_51;pos:370.5565,-24.5247,199.7341;rot:0,359.9035,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_52;pos:453.3931,-23.00466,204.8066;rot:0,359.9035,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_53;pos:373.7001,-27.59378,-278.2796;rot:0,0.1071074,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_54;pos:453.7031,-29.35381,-279.3272;rot:0,0.1071074,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_55;pos:374.0389,-29.33566,-213.0246;rot:0,4.350009,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_56;pos:453.3988,-33.77546,-210.7112;rot:0,359.8498,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_57;pos:378.64,-27.19406,-148.9306;rot:0,357.2138,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_58;pos:456.2764,-27.15388,-148.3733;rot:0,357.2138,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_59;pos:-454.4575,-25.18403,-110.2654;rot:0,4.162505,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_60;pos:-378.7401,-22.66643,-111.2881;rot:0,3.162504,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_61;pos:-444.7397,-26.20761,226.7682;rot:0,2.3725,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_62;pos:-352.0106,-24.88815,225.7562;rot:0,2.3725,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:cuboid_63;pos:505.1723,-6.140779,31.74999;rot:0,90.70034,0;m:cuboid;scl:25,1,30;clr:0,49,223,255;;
i:plane_64;pos:470.2587,3.480258,29.06241;rot:0,91.96738,0;m:plane;scl:25,1,30;t:lava1;clr:0,49,223,255;;
i:tree3_139;pos:-18.43321,-10.13573,-1043.495;rot:0,273.4025,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_140;pos:12.33407,-10.01574,-1046.185;rot:0,273.4025,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_141;pos:43.80136,-11.17573,-1047;rot:0,273.4025,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_142;pos:-97.34727,-10.06032,-1004.504;rot:0,272.1272,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_143;pos:75.45691,-11.19857,-1077.194;rot:0,1.088857,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_144;pos:111.1149,-10.95944,-1076.594;rot:0,1.088857,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_145;pos:146.6791,-9.958593,-1076.673;rot:0,1.088857,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_146;pos:76.71118,-12.47857,-1044.769;rot:0,1.088857,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_147;pos:111.1214,-13.59857,-1042.472;rot:0,1.088857,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_148;pos:144.5871,-10.55857,-1045.698;rot:0,1.088857,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_149;pos:180.5412,-9.224621,-1046.441;rot:0,1.308859,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_150;pos:181.1371,-10.42416,-1074.597;rot:0,1.308859,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_151;pos:216.0347,-7.506201,-1074.871;rot:0,1.308859,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_152;pos:217.6091,-8.544169,-1043.888;rot:0,1.308859,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_153;pos:216.3586,-9.554637,-1006.81;rot:0,1.807908,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_154;pos:218.9781,-12.03454,-972.0531;rot:0,1.807908,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_155;pos:218.6068,-12.63451,-939.4798;rot:0,1.807908,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_156;pos:249.01,-7.669388,-1077.185;rot:0,358.2625,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_157;pos:250.6483,-11.26939,-1042.592;rot:0,358.2625,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_158;pos:250.623,-12.0381,-1004.54;rot:0,359.0048,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_159;pos:250.432,-13.27809,-972.8481;rot:0,359.0048,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_160;pos:250.1669,-12.53097,-940.7297;rot:0,1.752522,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_161;pos:259.4399,-9.948515,-771.4771;rot:0,0.1986592,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_162;pos:260.6197,-11.97346,-736.3948;rot:0,2.196835,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_163;pos:261.7168,-13.41297,-705.3555;rot:0,2.196835,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_164;pos:225.1156,-13.933,-809.8682;rot:0,2.196835,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_165;pos:258.1236,-15.493,-807.2059;rot:0,2.196835,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_166;pos:224.9228,-13.1329,-847.3386;rot:0,2.196835,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_167;pos:257.0316,-13.09299,-846.3038;rot:0,2.196835,0;m:tree3;scl:0.5,0.5,0.5;;
i:leaf1_168;pos:-129.0328,-5.538872,-956.2566;rot:0,273.076,0;m:leaf1;scl:0.5,0.5,0.5;clr:92,55,49,255;;
i:leaf1_169;pos:-117.3915,-5.498745,-975.5853;rot:0,273.076,0;m:leaf1;scl:0.5,0.5,0.5;clr:92,55,49,255;;
i:leaf1_170;pos:-95.34866,-5.818738,-979.0963;rot:0,273.076,0;m:leaf1;scl:0.5,0.5,0.5;clr:92,55,49,255;;
i:leaf1_171;pos:-105.5284,-5.618738,-958.7242;rot:0,273.076,0;m:leaf1;scl:0.5,0.5,0.5;clr:92,55,49,255;;
i:tree3_172;pos:-37.25557,-7.523662,-1014.053;rot:0,184.9557,0;m:tree3;scl:0.2,0.2,0.2;;
i:tree3_173;pos:-15.89109,-6.643982,-1014.255;rot:0,184.9557,0;m:tree3;scl:0.2,0.2,0.2;;
i:tree3_174;pos:4.850063,-6.744146,-1014.063;rot:0,176.9484,0;m:tree3;scl:0.2,0.2,0.2;;
i:tree3_175;pos:195.9669,-6.969818,-1007.367;rot:0,92.18672,0;m:tree3;scl:0.2,0.2,0.2;;
i:tree3_176;pos:197.4505,-7.089753,-987.7164;rot:0,91.43672,0;m:tree3;scl:0.2,0.2,0.2;;
i:tree3_177;pos:199.0006,-6.849753,-966.6669;rot:0,91.43672,0;m:tree3;scl:0.2,0.2,0.2;;
i:tree3_178;pos:196.6248,-7.00976,-1027.835;rot:0,91.43672,0;m:tree3;scl:0.2,0.2,0.2;;
i:field1_179;pos:232.4551,-10.03188,-1056.563;rot:0,266.2452,0;m:field1;;
i:field1_180;pos:183.2333,-11.6486,-1066.971;rot:0,177.7415,0;m:field1;;
i:field1_181;pos:138.6339,-11.7686,-1066.907;rot:0,177.7415,0;m:field1;;
i:field1_182;pos:87.09537,-11.57891,-1067.405;rot:0,203.4915,0;m:field1;;
i:field1_183;pos:39.65794,-10.62919,-1066.171;rot:0,156.9792,0;m:field1;;
i:field1_184;pos:-10.97393,-9.233738,-1066.979;rot:0,183.728,0;m:field1;;
i:field1_185;pos:-59.03392,-8.513487,-1057.615;rot:0,183.728,0;m:field1;;
i:field1_186;pos:-109.1364,-10.27815,-1053.845;rot:0,210.478,0;m:field1;;
i:field1_187;pos:-119.5045,-10.27794,-1023.046;rot:0,210.478,0;m:field1;;
i:field1_188;pos:-140.509,-10.14632,-914.707;rot:0,290.2032,0;m:field1;;
i:field1_189;pos:-139.8197,-12.58635,-870.7896;rot:0,290.2032,0;m:field1;;
i:field1_190;pos:-113.1019,-11.78087,-753.64;rot:0,322.9478,0;m:field1;;
i:field1_191;pos:-101.8814,-12.34308,-704.9374;rot:0,333.697,0;m:field1;;
i:field1_192;pos:-47.57051,-11.47588,-688.8626;rot:0,9.183143,0;m:field1;;
i:field1_193;pos:6.066373,-12.47584,-688.7546;rot:0,9.183143,0;m:field1;;
i:field1_194;pos:61.34402,-9.590018,-690.4627;rot:0,3.18314,0;m:field1;;
i:field1_195;pos:58.93637,-12.95766,-775.6873;rot:0,96.83315,0;m:field1;;
i:field1_196;pos:118.2915,-11.33396,-749.4234;rot:0,338.4272,0;m:field1;;
i:field1_197;pos:160.4629,-9.117454,-755.1938;rot:0,2.672075,0;m:field1;;
i:field1_198;pos:218.1533,-9.397564,-753.9686;rot:0,2.672075,0;m:field1;;
i:field1_199;pos:244.6174,-10.61649,-791.1493;rot:0,31.17204,0;m:field1;;
i:field1_200;pos:244.5805,-11.9617,-828.3394;rot:0,78.42195,0;m:field1;;
i:field1_201;pos:231.0578,-7.842196,-966.0018;rot:0,152.9205,0;m:field1;;
i:field1_202;pos:229.9808,-9.828171,-1027.891;rot:0,169.4196,0;m:field1;;
i:cuboid_203;pos:-385.6188,-8.207444,-907.1189;rot:0,91.78747,0;m:cuboid;scl:50,1,50;t:grass4;;
i:tree3_204;pos:-157.4867,-11.02061,-859.5253;rot:0,4.503266,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_205;pos:-158.1302,-9.598039,-888.9317;rot:0,359.246,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_206;pos:-157.6906,-9.358043,-926.1879;rot:0,359.246,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_207;pos:-157.4665,-14.14657,-957.9634;rot:0,0.7456341,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_208;pos:-158.4228,-11.14678,-991.7722;rot:0,0.7456341,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_209;pos:-159.4845,-10.58677,-1027.241;rot:0,0.7456341,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_210;pos:-160.07,-10.32188,-1063.311;rot:0,1.745365,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_211;pos:-148.7101,-8.774608,-784.7626;rot:0,0.7447758,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_212;pos:-140.6589,-9.17461,-754.8901;rot:0,0.7447758,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_213;pos:-146.9055,-8.694611,-726.0784;rot:0,0.7447758,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_214;pos:-146.3034,-7.53339,-699.9384;rot:0,0.7440988,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_215;pos:-175.5216,-8.213105,-784.6622;rot:0,358.993,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_216;pos:-204.0974,-10.85311,-784.2095;rot:0,358.993,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_217;pos:-183.8579,-11.07953,-859.1273;rot:0,356.7402,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_218;pos:-206.312,-10.15953,-858.5146;rot:0,356.7402,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_219;pos:-207.339,-10.59954,-887.2205;rot:0,356.7402,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_220;pos:-182.2742,-7.879511,-887.4307;rot:0,356.7402,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_221;pos:-166.9844,-8.249688,-754.6794;rot:0,359.9846,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_222;pos:-192.3932,-9.129618,-754.5095;rot:0,359.9846,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_223;pos:-176.5083,-9.329694,-723.4451;rot:0,359.9846,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_224;pos:-204.5187,-10.48969,-726.515;rot:0,359.9846,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_225;pos:-218.5618,-11.48984,-753.5451;rot:0,357.2261,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_226;pos:-235.8575,-12.38761,-922.9177;rot:0,0.2106562,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_227;pos:-208.0467,-13.22761,-922.9701;rot:0,0.4606563,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_228;pos:-264.3951,-13.15769,-923.4434;rot:0,358.3992,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_229;pos:-293.1309,-14.71768,-924.0358;rot:0,358.3992,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_230;pos:-320.7937,-14.23769,-925.3436;rot:0,358.3992,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_231;pos:-317.1518,-14.67768,-951.5401;rot:0,358.3992,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_232;pos:-348.2584,-13.23209,-952.7738;rot:0,357.8943,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_233;pos:-350.0849,-13.35209,-987.0878;rot:0,357.8943,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_234;pos:-377.0992,-13.11208,-988.444;rot:0,357.8943,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_235;pos:-405.4621,-14.91001,-986.5833;rot:0,359.39,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_236;pos:-247.7317,-12.49641,-753.0861;rot:0,0.3745662,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_237;pos:-275.3503,-11.73613,-754.4347;rot:0,0.3745662,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_238;pos:-303.2108,-11.85627,-755.4562;rot:0,0.3745662,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_239;pos:-320.5612,-12.29627,-778.673;rot:0,0.3745662,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_240;pos:-348.3762,-11.51359,-779.4117;rot:0,0.8149391,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_241;pos:-335.2772,-11.91359,-754.6477;rot:0,0.8149391,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_242;pos:-376.07,-11.90112,-779.373;rot:0,358.0612,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_243;pos:-376.3213,-11.30112,-811.5355;rot:0,358.0612,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_244;pos:-407.054,-9.582591,-813.7297;rot:0,1.560686,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_245;pos:-436.7443,-10.30232,-814.5594;rot:0,1.560686,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_246;pos:-434.3051,-10.74257,-789.1408;rot:0,1.560686,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_247;pos:-435.9033,-13.89752,-989.0126;rot:0,358.0351,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_248;pos:-406.6586,-9.77514,-787.7001;rot:0,357.0323,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_249;pos:-224.5285,-15.13941,-950.9216;rot:0,359.5011,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_250;pos:-182.424,-13.3394,-922.0314;rot:0,359.5011,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_251;pos:-196.4233,-14.37941,-949.2256;rot:0,359.5011,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_252;pos:-175.1416,-15.69941,-949.8298;rot:0,359.5011,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_253;pos:-252.7686,-15.24752,-951.8581;rot:0,359.251,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_254;pos:-281.7393,-14.32771,-951.7871;rot:0,359.251,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_255;pos:-319.3009,-13.72753,-985.2794;rot:0,359.251,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_256;pos:-290.0421,-12.68753,-983.9672;rot:0,359.251,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_257;pos:-264.5103,-12.36753,-984.5356;rot:0,359.251,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_258;pos:-237.5568,-15.24753,-979.2753;rot:0,359.251,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_259;pos:-210.7014,-15.00752,-977.3955;rot:0,359.251,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_260;pos:-181.7974,-13.68753,-979.1373;rot:0,359.251,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_261;pos:-183.3037,-14.0637,-1007.986;rot:0,0.6863955,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_262;pos:-209.0137,-14.51564,-1007.505;rot:0,357.9334,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_263;pos:-234.2873,-13.95573,-1008.101;rot:0,357.9334,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_264;pos:-258.8362,-13.07559,-1009.976;rot:0,357.9334,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_265;pos:-286.2823,-13.75562,-1006.772;rot:0,357.9334,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_266;pos:-313.1978,-13.31572,-1007.479;rot:0,357.9334,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_267;pos:-338.8878,-13.43526,-1007.924;rot:0,0.6684961,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_268;pos:-363.1266,-13.55526,-1007.852;rot:0,0.6684961,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_269;pos:-390.1295,-13.63526,-1007.745;rot:0,0.6684961,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_270;pos:-419.6337,-12.27521,-1009.516;rot:0,0.6684961,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_271;pos:-176.3419,-8.494005,-697.187;rot:0,1.373011,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_272;pos:-204.3511,-9.534009,-699.2404;rot:0,1.373011,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_273;pos:-229.6091,-9.374004,-727.9695;rot:0,1.373011,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_274;pos:-235.2607,-9.213921,-698.4986;rot:0,1.373011,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_275;pos:-260.5243,-11.93401,-723.7889;rot:0,1.373011,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_276;pos:-262.9834,-11.61388,-696.2244;rot:0,1.373011,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_277;pos:-280.0082,-11.98253,-723.1853;rot:0,358.1076,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_278;pos:-305.568,-11.30253,-724.8317;rot:0,358.1076,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_279;pos:-333.0546,-8.974211,-727.8405;rot:0,0.8485012,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_280;pos:-285.01,-11.89421,-695.7203;rot:0,0.8485012,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_281;pos:-310.3641,-10.97421,-697.822;rot:0,0.8485012,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_282;pos:-334.419,-11.8542,-697.8016;rot:0,0.5985009,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_283;pos:-364.1125,-10.09468,-756.6187;rot:0,0.5985009,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_284;pos:-393.5006,-9.854208,-761.2896;rot:0,0.5985009,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_285;pos:-420.5828,-13.09421,-761.399;rot:0,0.5985009,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_286;pos:-360.7228,-11.94915,-695.5733;rot:0,1.345348,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_287;pos:-384.0424,-11.66944,-695.4213;rot:0,1.345348,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_288;pos:-409.4034,-11.34944,-695.0606;rot:0,1.345348,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_289;pos:-360.1389,-10.46917,-727.2378;rot:0,1.345348,0;m:tree3;scl:0.5,0.5,0.5;;
