i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tree1_47;pos:496.3821,-0.3311035,-29.57325;rot:0,161.9469,0;m:tree1;;
i:tree1_48;pos:451.458,0.6331134,-122.9437;rot:0,226.6963,0;m:tree1;;
i:tree1_49;pos:343.2133,-1.327304,-184.6719;rot:0,248.1955,0;m:tree1;;
i:tree1_50;pos:213.25,-1.861729,-140.1808;rot:0,297.444,0;m:tree1;;
i:tree1_51;pos:39.82067,0.3857981,-297.0018;rot:0,232.193,0;m:tree1;;
i:tree1_52;pos:-88.15444,2.243392,-274.6929;rot:0,275.1909,0;m:tree1;;
i:tree1_53;pos:-140.7767,0.09423795,-335.5102;rot:0,238.4402,0;m:tree1;;
i:tree1_54;pos:-247.0484,-10.07315,-248.7214;rot:0,319.4379,0;m:tree1;;
i:tree1_55;pos:-268.7532,1.06961,-139.8366;rot:0,4.434999,0;m:tree1;;
i:tree1_56;pos:-303.1733,-0.219431,-25.95042;rot:0,32.18498,0;m:tree1;;
i:tree1_57;pos:-281.0541,-1.059425,96.20708;rot:0,40.43451,0;m:tree1;;
i:tree1_58;pos:86.2902,0.8883407,241.1113;rot:0,132.4332,0;m:tree1;;
i:tree1_59;pos:139.9007,6.482576,211.1295;rot:0,134.1827,0;m:tree1;;
i:tree1_60;pos:200.9593,-0.7656488,163.3079;rot:0,130.1826,0;m:tree1;;
i:tree1_61;pos:124.6809,-0.7412366,127.5085;rot:0,227.1824,0;m:tree1;;
i:tree1_62;pos:36.55367,8.417736,199.6611;rot:0,342.4298,0;m:tree1;;
i:tree1_63;pos:-74.69083,7.622704,236.2352;rot:0,269.9271,0;m:tree1;;
i:village1_64;pos:-28.67937,-2.950194,-121.2111;rot:0,233.6735,0;m:village1;;
i:church1_65;pos:8.959003,12.98782,-171.0155;rot:0,89.4217,0;m:church1;;
i:house3_66;pos:-49.34504,8.395269,110.8131;rot:0,158.9143,0;m:house3;;
i:house2_67;pos:-337.5704,2.519796,-91.99722;rot:0,252.4123,0;m:house2;;
i:cannon1_68;pos:-173.1559,7.615065,-35.2275;rot:0,62.41189,0;m:cannon1;;
i:tower2_69;pos:-121.7439,5.128812,66.21675;rot:0,166.1609,0;m:tower2;;
i:tree1_70;pos:170.2713,3.094841,-167.6111;rot:0,207.4098,0;m:tree1;;
i:tree1_74;pos:17.32991,4.200082,-362.0563;rot:0,358.6559,0;m:tree1;;
i:tree1_75;pos:-43.82645,9.973152,-416.315;rot:0,68.40507,0;m:tree1;;
i:tree1_77;pos:-290.5091,2.372483,-327.8025;rot:0,9.654016,0;m:tree1;;
i:tree1_78;pos:-349.1183,0.8242534,-275.5923;rot:0,59.65397,0;m:tree1;;
i:tree1_79;pos:-391.0773,0.1745768,-203.4387;rot:0,67.904,0;m:tree1;;
i:tree1_80;pos:-427.1616,0.5637788,-117.0248;rot:0,70.90396,0;m:tree1;;
i:tree1_81;pos:-426.9704,0.520437,-47.96897;rot:0,107.1538,0;m:tree1;;
i:tree1_83;pos:-373.5965,3.807495,83.7244;rot:0,76.40263,0;m:tree1;;
i:tree1_87;pos:-163.7471,6.151915,304.83;rot:0,154.4021,0;m:tree1;;
i:tree1_89;pos:-85.19733,2.679778,357.4316;rot:0,243.1511,0;m:tree1;;
i:tree1_90;pos:27.90905,-3.432395,-401.2684;rot:0,19.14602,0;m:tree1;;
i:tree1_91;pos:-63.80717,10.12401,-474.3241;rot:0,37.89338,0;m:tree1;;
i:tree1_92;pos:-193.3339,7.035163,-472.9489;rot:0,11.14336,0;m:tree1;;
i:tree1_93;pos:-293.1685,-0.06891054,-436.7333;rot:0,28.39242,0;m:tree1;;
i:tree1_94;pos:-486.1561,7.508621,-193.2989;rot:0,46.64219,0;m:tree1;;
i:house4_95;pos:-61.48622,6.490375,470.3915;rot:0,288.2476,0;m:house4;;
i:house3_96;pos:-242.3189,6.752347,447.192;rot:0,263.2461,0;m:house3;;
i:house2_97;pos:-318.2523,-1.120748,554.3967;rot:0,341.2444,0;m:house2;;
i:tower2_98;pos:-228.5992,0.4972897,651.8264;rot:0,54.24374,0;m:tower2;;
i:house4_99;pos:-38.32938,0.03766188,599.2354;rot:0,94.74339,0;m:house4;;
i:tower1_101;pos:318.0489,-0.6406889,548.5859;rot:0,75.74269,0;m:tower1;;
i:tower2_102;pos:415.0107,3.064297,472.7973;rot:0,109.9921,0;m:tower2;;
i:castle1_103;pos:578.3313,5.54074,376.4727;rot:0,140.2418,0;m:castle1;;
i:tree1_104;pos:518.1139,1.10179,504.0298;rot:0,316.2374,0;m:tree1;;
i:tree1_105;pos:409.9125,-8.348482,501.5074;rot:0,277.9863,0;m:tree1;;
i:tree1_106;pos:380.1909,-4.084115,429.3933;rot:0,235.486,0;m:tree1;;
i:tree1_107;pos:419.3197,-4.766382,352.8405;rot:0,156.2356,0;m:tree1;;
i:tree1_108;pos:495.6631,-6.655809,320.6544;rot:0,140.2348,0;m:tree1;;
i:tree1_109;pos:549.2653,-39.45792,188.2168;rot:0,157.9844,0;m:tree1;;
i:tree1_110;pos:608.3549,5.715699,107.4218;rot:0,132.7337,0;m:tree1;;
i:tree1_111;pos:600.9396,-4.848544,201.8652;rot:0,5.483663,0;m:tree1;;
i:tree1_112;pos:506.2672,-4.594782,236.5666;rot:0,303.2329,0;m:tree1;;
i:tree1_113;pos:76.20737,-3.405166,439.3195;rot:0,296.4799,0;m:tree1;;
i:tree1_114;pos:9.622304,5.165686,494.7255;rot:0,339.2282,0;m:tree1;;
i:tree1_115;pos:-108.8543,-2.453661,530.4857;rot:0,290.7268,0;m:tree1;;
i:tree1_116;pos:-220.56,0.1842334,487.6306;rot:0,244.9757,0;m:tree1;;
i:tree1_118;pos:-432.9474,2.66777,499.3719;rot:0,220.9718,0;m:tree1;;
i:tree1_122;pos:-565.5927,0.7277992,200.3712;rot:0,215.9707,0;m:tree1;;
i:tree1_123;pos:-510.8061,-0.4459806,117.6843;rot:0,191.4703,0;m:tree1;;
i:tree1_124;pos:-528.6929,-2.987792,11.37655;rot:0,195.2203,0;m:tree1;;
i:tree1_125;pos:-553.8846,5.970061,-155.9671;rot:0,188.22,0;m:tree1;;
i:tree1_126;pos:-533.2639,-1.858635,-301.0062;rot:0,176.9689,0;m:tree1;;
i:tree1_127;pos:-457.2808,-2.333118,-370.9972;rot:0,135.2182,0;m:tree1;;
i:tree1_128;pos:-456.325,-5.07245,-520.8374;rot:0,177.9674,0;m:tree1;;
i:tree1_129;pos:-372.9082,1.869667,-608.8365;rot:0,275.9652,0;m:tree1;;
i:tree1_130;pos:-531.0322,-0.8826729,-636.0482;rot:0,287.9631,0;m:tree1;;
i:tree1_131;pos:-598.6011,-2.570324,-540.8776;rot:0,317.4617,0;m:tree1;;
i:house4_132;pos:-422.7285,4.558663,-459.0561;rot:0,98.21143,0;m:house4;;
i:house4_133;pos:-151.8225,0.6365975,-419.9033;rot:0,77.21111,0;m:house4;;
i:house3_134;pos:31.5664,1.411595,-449.2294;rot:0,96.96085,0;m:house3;;
i:house3_135;pos:163.7336,-3.50155,-429.1333;rot:0,62.46063,0;m:house3;;
i:village1_136;pos:299.9948,-1.569543,-453.7708;rot:0,92.96046,0;m:village1;;
i:village1_137;pos:562.3829,0.7130792,-470.3803;rot:0,171.4582,0;m:village1;;
i:house2_138;pos:448.0896,2.307253,-561.6572;rot:0,335.2062,0;m:house2;;
i:tower2_139;pos:347.2097,-12.34596,-431.9757;rot:0,325.2032,0;m:tower2;;
i:house4_142;pos:371.7451,1.323954,241.2026;rot:0,305.943,0;m:house4;;
i:tree1_143;pos:238.2463,-0.8170179,379.324;rot:0,320.6905,0;m:tree1;;
i:tree1_144;pos:244.3706,8.728367,533.9976;rot:0,350.1883,0;m:tree1;;
i:tree1_145;pos:174.9218,2.110887,546.3952;rot:0,297.1876,0;m:tree1;;
i:tree1_146;pos:92.5823,-5.435575,633.9248;rot:0,316.6862,0;m:tree1;;
