i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:11490,55,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_1;pos:-875,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_2;pos:-875,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_3;pos:875,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_4;pos:-875,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_5;pos:-875,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_6;pos:-875,0,-16625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_7;pos:9625,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_8;pos:11375,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_9;pos:11375,0,875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_10;pos:13125,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_11;pos:14875,0,-875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_12;pos:9625,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_13;pos:11375,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_14;pos:13125,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_15;pos:14875,0,-2625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_16;pos:7875,0,-4375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_17;pos:9625,0,-4375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_18;pos:13125,0,-4375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_19;pos:14815.89,0,-4366.951;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_20;pos:7875,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_21;pos:9625,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_22;pos:11375,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_23;pos:13125,0,-6125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_24;pos:4375,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_25;pos:6125,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_26;pos:7875,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_27;pos:9625,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_28;pos:11375,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_29;pos:13125,0,-7875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_30;pos:875,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_31;pos:2625,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_32;pos:4375,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_33;pos:6125,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_34;pos:7875,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_35;pos:9625,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_36;pos:11375,0,-9625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_37;pos:2625,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_38;pos:4375,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_39;pos:7875,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_40;pos:9625,0,-11375;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_41;pos:875,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_42;pos:2625,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_43;pos:4375,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_44;pos:6125,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_45;pos:7875,0,-13125;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_46;pos:11374.48,0,-11374.62;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_47;pos:875,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_48;pos:2625,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_49;pos:4375,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_50;pos:6125,0,-14875;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_51;pos:875,0,-16625;m:cuboid;scl:175,10,175;t:grass2;til:175,175;;
i:cuboid_107;pos:13403.75,170,-6753.668;rot:0,298.52,0;m:cuboid;scl:2,27,7;;
i:cuboid_108;pos:12995.61,170,-7490.929;rot:0,298.2399,0;m:cuboid;scl:2,27,7;;
i:cuboid_109;pos:12861.5,170,-7738.051;rot:0,300.44,0;m:cuboid;scl:2,27,7;;
i:cuboid_110;pos:12400.32,170,-8439.91;rot:0,302.64,0;m:cuboid;scl:2,27,7;;
i:cuboid_111;pos:12076.51,170,-8897.068;rot:0,308.08,0;m:cuboid;scl:2,27,7;;
i:cuboid_112;pos:11735.86,170,-9341.816;rot:0,306.88,0;m:cuboid;scl:2,27,7;;
i:cuboid_113;pos:11567.4,170,-9563.812;rot:0,312.2,0;m:cuboid;scl:2,27,7;;
i:cuboid_114;pos:11186.02,170,-9983.065;rot:0,313.96,0;m:cuboid;scl:2,27,7;;
i:cuboid_115;pos:10617.7,170,-10595.49;rot:0,316.8,0;m:cuboid;scl:2,27,7;;
i:cuboid_116;pos:10214.65,170,-10984.58;rot:0,315,0;m:cuboid;scl:2,27,7;;
i:cuboid_117;pos:10017.57,170,-11181.58;rot:0,316.72,0;m:cuboid;scl:2,27,7;;
i:cuboid_118;pos:9369.071,170,-11719.2;rot:0,320.04,0;m:cuboid;scl:2,27,7;;
i:cuboid_119;pos:8928.906,170,-12066.81;rot:0,323.6799,0;m:cuboid;scl:2,27,7;;
i:cuboid_120;pos:8472.604,170,-12392.44;rot:0,324.88,0;m:cuboid;scl:2,27,7;;
i:cuboid_121;pos:8004.297,170,-12699.02;rot:0,328.5999,0;m:cuboid;scl:2,27,7;;
i:cuboid_122;pos:7763.606,170,-12846.02;rot:0,329.6,0;m:cuboid;scl:2,27,7;;
i:cuboid_123;pos:7030.374,170,-13256.1;rot:0,334,0;m:cuboid;scl:2,27,7;;
i:cuboid_124;pos:6528.737,170,-13505.31;rot:0,333.2,0;m:cuboid;scl:2,27,7;;
i:cuboid_125;pos:6019.626,170,-13739.14;rot:0,337.36,0;m:cuboid;scl:2,27,7;;
i:cuboid_126;pos:5759.329,170,-13847.83;rot:0,338.6,0;m:cuboid;scl:2,27,7;;
i:cuboid_127;pos:4981.922,170,-14154.11;rot:0,342.04,0;m:cuboid;scl:2,27,7;;
i:cuboid_128;pos:4715.005,170,-14239.7;rot:0,343.72,0;m:cuboid;scl:2,27,7;;
i:cuboid_129;pos:4177.792,170,-14409.91;rot:0,345.32,0;m:cuboid;scl:2,27,7;;
i:cuboid_130;pos:3364.062,170,-14617.9;rot:0,346.76,0;m:cuboid;scl:2,27,7;;
i:cuboid_131;pos:2815.863,170,-14733.33;rot:0,349.48,0;m:cuboid;scl:2,27,7;;
i:cuboid_132;pos:2263.736,170,-14828.2;rot:0,351,0;m:cuboid;scl:2,27,7;;
i:cuboid_133;pos:1708.452,170,-14902.39;rot:0,353.64,0;m:cuboid;scl:2,27,7;;
i:cuboid_134;pos:1150.785,170,-14955.79;rot:0,355.48,0;m:cuboid;scl:2,27,7;;
i:cuboid_135;pos:14958.17,170,-1119.46;rot:0,274.1599,0;m:cuboid;scl:2,27,7;;
i:cuboid_136;pos:14936.12,170,-1393.64;rot:0,276.7599,0;m:cuboid;scl:2,27,7;;
i:cuboid_137;pos:14832.91,170,-2232.675;rot:0,277.9999,0;m:cuboid;scl:2,27,7;;
i:cuboid_138;pos:14739.19,170,-2784.999;rot:0,281.48,0;m:cuboid;scl:2,27,7;;
i:cuboid_139;pos:14685.82,170,-3050.012;rot:0,281.64,0;m:cuboid;scl:2,27,7;;
i:cuboid_140;pos:14490.24,170,-3877.228;rot:0,286.0399,0;m:cuboid;scl:2,27,7;;
i:cuboid_141;pos:14415.1,170,-4135.315;rot:0,287.64,0;m:cuboid;scl:2,27,7;;
i:cuboid_142;pos:14160.47,170,-4947.831;rot:0,290.5599,0;m:cuboid;scl:2,27,7;;
i:cuboid_143;pos:13965.84,170,-5473.152;rot:0,289.9999,0;m:cuboid;scl:2,27,7;;
i:cuboid_144;pos:13869.02,170,-5736.175;rot:0,291.84,0;m:cuboid;scl:2,27,7;;
i:cuboid_145;pos:13636.78,170,-6236.212;rot:0,294.0799,0;m:cuboid;scl:2,27,7;;
i:cuboid_146;pos:13266.27,170,-7000.431;rot:0,299.32,0;m:cuboid;scl:2,27,7;;
i:cuboid_147;pos:13132.86,170,-7240.022;rot:0,298.2399,0;m:cuboid;scl:2,27,7;;
i:cuboid_148;pos:12706.83,170,-7970.979;rot:0,303.84,0;m:cuboid;scl:2,27,7;;
i:cuboid_149;pos:12553.23,170,-8201.589;rot:0,302.64,0;m:cuboid;scl:2,27,7;;
i:cuboid_150;pos:12248.27,170,-8676.339;rot:0,305.08,0;m:cuboid;scl:2,27,7;;
i:cuboid_151;pos:11904.89,170,-9119.047;rot:0,308.68,0;m:cuboid;scl:2,27,7;;
i:cuboid_152;pos:11378.84,170,-9773.534;rot:0,312.2,0;m:cuboid;scl:2,27,7;;
i:cuboid_153;pos:11005.95,170,-10191.62;rot:0,310.96,0;m:cuboid;scl:2,27,7;;
i:cuboid_154;pos:10820.47,170,-10403.51;rot:0,313,0;m:cuboid;scl:2,27,7;;
i:cuboid_155;pos:10421.69,170,-10777.95;rot:0,318,0;m:cuboid;scl:2,27,7;;
i:cuboid_156;pos:9800.38,170,-11361.64;rot:0,320.52,0;m:cuboid;scl:2,27,7;;
i:cuboid_157;pos:9586.12,170,-11537.22;rot:0,322.04,0;m:cuboid;scl:2,27,7;;
i:cuboid_158;pos:9157.72,170,-11896.69;rot:0,321.2799,0;m:cuboid;scl:2,27,7;;
i:cuboid_159;pos:8703.05,170,-12230.31;rot:0,323.68,0;m:cuboid;scl:2,27,7;;
i:cuboid_160;pos:8242.801,170,-12553.25;rot:0,326.7999,0;m:cuboid;scl:2,27,7;;
i:cuboid_161;pos:7523.38,170,-12990.77;rot:0,329.2,0;m:cuboid;scl:2,27,7;;
i:cuboid_162;pos:7280.608,170,-13132.33;rot:0,334,0;m:cuboid;scl:2,27,7;;
i:cuboid_163;pos:6781.762,170,-13375.91;rot:0,335,0;m:cuboid;scl:2,27,7;;
i:cuboid_164;pos:6278.111,170,-13631.26;rot:0,335.36,0;m:cuboid;scl:2,27,7;;
i:cuboid_165;pos:5504.196,170,-13957.94;rot:0,337.0001,0;m:cuboid;scl:2,27,7;;
i:cuboid_166;pos:5246.278,170,-14065.73;rot:0,342.84,0;m:cuboid;scl:2,27,7;;
i:cuboid_167;pos:4445.624,170,-14326.08;rot:0,342.32,0;m:cuboid;scl:2,27,7;;
i:cuboid_168;pos:3907.568,170,-14482.09;rot:0,345.32,0;m:cuboid;scl:2,27,7;;
i:cuboid_169;pos:3642.198,170,-14550.62;rot:0,345.36,0;m:cuboid;scl:2,27,7;;
i:cuboid_170;pos:3094.462,170,-14681.31;rot:0,349.48,0;m:cuboid;scl:2,27,7;;
i:cuboid_171;pos:2534.249,170,-14784.66;rot:0,353,0;m:cuboid;scl:2,27,7;;
i:cuboid_172;pos:1987.253,170,-14871.19;rot:0,354.44,0;m:cuboid;scl:2,27,7;;
i:cuboid_173;pos:913.063,170,-14973.88;rot:0,355.48,0;m:cuboid;scl:2,27,7;;
i:cuboid_174;pos:1431.023,170,-14933.63;rot:0,353.48,0;m:cuboid;scl:2,27,7;;
i:cuboid_175;pos:9985.955,170,-749.9981;rot:0,282.4247,0;m:cuboid;scl:15,25,5;;
i:cuboid_176;pos:9985.955,84.5,-749.9981;rot:0,282.4247,0;m:cuboid;scl:15,8,5.5;;
i:cuboid_177;pos:9937.289,170,-1118.158;rot:0,276.3199,0;m:cuboid;scl:60,25,5;;
i:cuboid_178;pos:9937.289,84.5,-1118.158;rot:0,276.3199,0;m:cuboid;scl:60,8,5.5;;
i:cuboid_179;pos:9859.086,170,-1672.85;rot:0,279.8,0;m:cuboid;scl:60,25,5;;
i:cuboid_180;pos:9859.086,84.5,-1672.85;rot:0,279.8,0;m:cuboid;scl:60,8,5.5;;
i:cuboid_181;pos:9749.944,170,-2222.292;rot:0,282.64,0;m:cuboid;scl:60,25,5;;
i:cuboid_182;pos:9610.208,170,-2764.761;rot:0,286.1599,0;m:cuboid;scl:60,25,5;;
i:cuboid_183;pos:9440.314,170,-3298.554;rot:0,289.2,0;m:cuboid;scl:60,25,5;;
i:cuboid_184;pos:9240.798,170,-3821.996;rot:0,292.56,0;m:cuboid;scl:60,25,5;;
i:cuboid_185;pos:9012.283,170,-4333.445;rot:0,295.64,0;m:cuboid;scl:60,25,5;;
i:cuboid_186;pos:8755.488,170,-4831.296;rot:0,298.4799,0;m:cuboid;scl:60,25,5;;
i:cuboid_187;pos:8471.219,170,-5313.986;rot:0,302.44,0;m:cuboid;scl:60,25,5;;
i:cuboid_188;pos:8160.367,170,-5780;rot:0,305.08,0;m:cuboid;scl:60,25,5;;
i:cuboid_189;pos:7823.908,170,-6227.878;rot:0,308.88,0;m:cuboid;scl:60,25,5;;
i:cuboid_190;pos:7462.897,170,-6656.212;rot:0,311.44,0;m:cuboid;scl:60,25,5;;
i:cuboid_191;pos:7078.469,170,-7063.659;rot:0,315.32,0;m:cuboid;scl:60,25,5;;
i:cuboid_192;pos:6671.828,170,-7448.94;rot:0,317.92,0;m:cuboid;scl:60,25,5;;
i:cuboid_193;pos:6244.25,170,-7810.847;rot:0,321.76,0;m:cuboid;scl:60,25,5;;
i:cuboid_194;pos:5797.079,170,-8148.244;rot:0,324.16,0;m:cuboid;scl:60,25,5;;
i:cuboid_195;pos:5331.716,170,-8460.071;rot:0,328.36,0;m:cuboid;scl:60,25,5;;
i:cuboid_196;pos:4849.623,170,-8745.351;rot:0,330.28,0;m:cuboid;scl:60,25,5;;
i:cuboid_197;pos:4352.311,170,-9003.188;rot:0,334.56,0;m:cuboid;scl:60,25,5;;
i:cuboid_198;pos:3841.342,170,-9232.772;rot:0,336.8,0;m:cuboid;scl:60,25,5;;
i:cuboid_199;pos:3318.319,170,-9433.386;rot:0,341.24,0;m:cuboid;scl:60,25,5;;
i:wall4_200;pos:2775.298,106.3714,-9597.98;rot:0,343.3392,0;m:wall4;scl:2,3,3;;
i:cuboid_201;pos:2242.708,170,-9745.269;rot:0,347.72,0;m:cuboid;scl:60,25,5;;
i:cuboid_202;pos:1693.495,170,-9855.561;rot:0,349.48,0;m:cuboid;scl:60,25,5;;
i:cuboid_203;pos:1138.968,170,-9934.926;rot:0,353.96,0;m:cuboid;scl:60,25,5;;
i:cuboid_204;pos:9960.194,170,-901.1222;rot:0,281.92,0;m:cuboid;scl:2,27,7;;
i:cuboid_205;pos:9906.327,170,-1396.362;rot:0,278.2,0;m:cuboid;scl:2,27,7;;
i:cuboid_206;pos:9810.008,170,-1952.852;rot:0,283.24,0;m:cuboid;scl:2,27,7;;
i:cuboid_207;pos:9689.259,170,-2495.212;rot:0,282.9599,0;m:cuboid;scl:2,27,7;;
i:cuboid_208;pos:9440.314,170,-3298.554;rot:0,289.2,0;m:cuboid;scl:2,27,7;;
i:cuboid_209;pos:9240.798,170,-3821.996;rot:0,292.56,0;m:cuboid;scl:2,27,7;;
