i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:-440,56,-440;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:-440,56,-440;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:-99999,-99999,-99999;rot:0,180,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_41;pos:110,65,-415;rot:0,180,0;m:cuboid;scl:2,4,13;t:rock3;til:5,5;;
i:cuboid_42;pos:110,117.5,-415;rot:0,180,0;m:cuboid;scl:2,4.5,13;t:rock3;til:5,5;;
i:cuboid_43;pos:110,90,-380;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_44;pos:110,90,-450;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_45;pos:210,65,415;rot:0,180,0;m:cuboid;scl:2,4,13;t:rock3;til:5,5;;
i:cuboid_46;pos:210,117.5,415;rot:0,180,0;m:cuboid;scl:2,4.5,13;t:rock3;til:5,5;;
i:cuboid_47;pos:210,90,380;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_48;pos:210,90,450;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_49;pos:310,65,-415;rot:0,180,0;m:cuboid;scl:2,4,13;t:rock3;til:5,5;;
i:cuboid_50;pos:310,117.5,-415;rot:0,180,0;m:cuboid;scl:2,4.5,13;t:rock3;til:5,5;;
i:cuboid_51;pos:310,90,-380;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_52;pos:310,90,-450;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_53;pos:410,65,415;rot:0,180,0;m:cuboid;scl:2,4,13;t:rock3;til:5,5;;
i:cuboid_54;pos:410,117.5,415;rot:0,180,0;m:cuboid;scl:2,4.5,13;t:rock3;til:5,5;;
i:cuboid_55;pos:410,90,380;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cuboid_56;pos:410,90,450;rot:0,180,0;m:cuboid;scl:2,1,6;t:rock3;til:5,5;;
i:cylinder_57;pos:-405,90,-340;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_58;pos:-415,90,-330;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_59;pos:-425,90,-320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_60;pos:-425,90,-310;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_61;pos:-425,90,-300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_62;pos:-455,90,-290;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_63;pos:-465,90,-280;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_64;pos:-475,90,-270;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_65;pos:-475,90,-340;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_66;pos:-465,90,-330;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_67;pos:-455,90,-320;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_68;pos:-455,90,-310;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_69;pos:-455,90,-300;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_70;pos:-425,90,-290;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_71;pos:-415,90,-280;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_72;pos:-405,90,-270;rot:0,180,0;m:cylinder;scl:1,5,1;t:rock3;til:5,5;;
i:cylinder_73;pos:-440,90,-250;rot:0,180,0;m:cylinder;scl:5,5,5;t:rock3;til:5,5;;
i:cylinder_74;pos:-407.5,90,-200;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_75;pos:-418.5,90,-190;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_76;pos:-429.5,90,-180;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_77;pos:-451.5,90,-160;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_78;pos:-462.5,90,-150;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_79;pos:-473.5,90,-140;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_80;pos:-462.5,90,-130;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_81;pos:-451.5,90,-120;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_82;pos:-440.5,90,-110;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_83;pos:-429.5,90,-100;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_84;pos:-418.5,90,-90;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_85;pos:-407.5,90,-60;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_86;pos:-418.5,90,-50;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_87;pos:-429.5,90,-40;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_88;pos:-440.5,90,-30;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_89;pos:-451.5,90,-20;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cylinder_90;pos:-473.5,90,0;rot:0,180,0;m:cylinder;scl:1.5,5,1.5;t:rock3;til:5,5;;
i:cuboid_91;pos:-475,90,40;rot:0,180,0;m:cuboid;scl:1,10,1;t:rock3;til:5,5;;
i:cuboid_92;pos:-460,90,55;rot:0,180,0;m:cuboid;scl:1,10,1;t:rock3;til:5,5;;
i:cuboid_93;pos:-445,90,70;rot:0,180,0;m:cuboid;scl:1,10,1;t:rock3;til:5,5;;
i:cuboid_94;pos:-430,90,85;rot:0,180,0;m:cuboid;scl:1,10,1;t:rock3;til:5,5;;
i:cuboid_95;pos:-415,90,100;rot:0,180,0;m:cuboid;scl:1,10,1;t:rock3;til:5,5;;
i:cuboid_96;pos:-440,75,130;rot:0,180,0;m:cuboid;scl:8,7,1;t:rock3;til:5,5;;
i:cuboid_97;pos:-440,105,185;rot:0,180,0;m:cuboid;scl:8,7,1;t:rock3;til:5,5;;
i:cuboid_98;pos:-440,75,240;rot:0,180,0;m:cuboid;scl:8,7,1;t:rock3;til:5,5;;
i:cuboid_99;pos:-440,105,295;rot:0,180,0;m:cuboid;scl:8,7,1;t:rock3;til:5,5;;
i:cuboid_100;pos:-440,75,350;rot:0,180,0;m:cuboid;scl:8,7,1;t:rock3;til:5,5;;
i:cuboid_101;pos:-340,75,350;rot:0,180,0;m:cuboid;scl:8,2,2;t:rock3;til:5,5;;
i:cuboid_102;pos:-340,100,310;rot:0,180,0;m:cuboid;scl:8,2,2;t:rock3;til:5,5;;
i:cuboid_103;pos:-340,90,220;rot:0,180,0;m:cuboid;scl:8,3,3;t:rock3;til:5,5;;
i:cuboid_104;pos:-340,90,220;rot:0,180,0;m:cuboid;scl:3,10,3;t:rock3;til:5,5;;
i:cuboid_105;pos:-320,90,150;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_106;pos:-360,90,100;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_107;pos:-320,90,50;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_108;pos:-360,90,0;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_109;pos:-320,90,-50;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_110;pos:-360,90,-100;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_111;pos:-320,90,-150;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_112;pos:-360,90,-200;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_113;pos:-330,90,-250;rot:0,180,0;m:cuboid;scl:1.1,10,1.1;t:rock3;til:5,5;;
i:cuboid_114;pos:-350,90,-300;rot:0,180,0;m:cuboid;scl:1.1,10,1.1;t:rock3;til:5,5;;
i:cuboid_115;pos:-330,90,-350;rot:0,180,0;m:cuboid;scl:1.1,10,1.1;t:rock3;til:5,5;;
i:cuboid_116;pos:-350,90,-400;rot:0,180,0;m:cuboid;scl:1.1,10,1.1;t:rock3;til:5,5;;
i:cuboid_117;pos:-217,75,0;rot:0,180,53.1301;m:cuboid;scl:1,5,80;t:rock3;til:5,5;;
i:cuboid_118;pos:-263,75,0;rot:0,180,306.8699;m:cuboid;scl:1,5,80;t:rock3;til:5,5;;
i:cuboid_119;pos:-217,112.5,0;rot:0,180,306.8699;m:cuboid;scl:1,5,80;t:rock3;til:5,5;;
i:cuboid_120;pos:-263,112.5,0;rot:0,180,53.1301;m:cuboid;scl:1,5,80;t:rock3;til:5,5;;
i:cuboid_121;pos:-215,90,-395;rot:0,180,0;m:cuboid;scl:3,10,1;t:rock3;til:5,5;;
i:cuboid_122;pos:-265,90,-395;rot:0,180,0;m:cuboid;scl:3,10,1;t:rock3;til:5,5;;
i:cuboid_123;pos:-240,60,-395;rot:0,180,0;m:cuboid;scl:2,4,1;t:rock3;til:5,5;;
i:cuboid_124;pos:-240,120,-395;rot:0,180,0;m:cuboid;scl:2,4,1;t:rock3;til:5,5;;
i:cuboid_125;pos:-215,90,395;rot:0,180,0;m:cuboid;scl:3,10,1;t:rock3;til:5,5;;
i:cuboid_126;pos:-265,90,395;rot:0,180,0;m:cuboid;scl:3,10,1;t:rock3;til:5,5;;
i:cuboid_127;pos:-240,60,395;rot:0,180,0;m:cuboid;scl:2,4,1;t:rock3;til:5,5;;
i:cuboid_128;pos:-240,120,395;rot:0,180,0;m:cuboid;scl:2,4,1;t:rock3;til:5,5;;
i:cuboid_129;pos:-265,90,-350;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_130;pos:-215,90,-325;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_131;pos:-265,90,-300;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_132;pos:-215,90,-275;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_133;pos:-265,90,-250;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_134;pos:-215,90,-225;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_135;pos:-240,80,-175;rot:0,180,0;m:cuboid;scl:8,5.25,1;t:rock3;til:5,5;;
i:cuboid_136;pos:-240,107.5,-100;rot:0,180,0;m:cuboid;scl:8,5.25,1;t:rock3;til:5,5;;
i:cuboid_137;pos:-240,80,-25;rot:0,180,0;m:cuboid;scl:8,5.25,1;t:rock3;til:5,5;;
i:cuboid_138;pos:-240,107.5,50;rot:0,180,0;m:cuboid;scl:8,5.25,1;t:rock3;til:5,5;;
i:cuboid_139;pos:-265,90,125;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_140;pos:-215,90,170;rot:0,180,0;m:cuboid;scl:5,10,1;t:rock3;til:5,5;;
i:cuboid_141;pos:-240,90,220;rot:0,180,0;m:cuboid;scl:8,5.25,1;t:rock3;til:5,5;;
i:cuboid_142;pos:-240,94,270;rot:0,180,0;m:cuboid;scl:5,4,3;t:rock3;til:5,5;;
i:cuboid_143;pos:-240,90,320;rot:0,180,0;m:cuboid;scl:8,3,1;t:rock3;til:5,5;;
i:cuboid_144;pos:-240,90,370;rot:0,180,0;m:cuboid;scl:3,10,1;t:rock3;til:5,5;;
i:cuboid_145;pos:-140,135,370;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_146;pos:-140,125,360;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_147;pos:-140,115,350;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_148;pos:-140,105,340;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_149;pos:-140,95,330;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_150;pos:-140,85,320;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_151;pos:-140,75,310;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_152;pos:-140,65,300;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_153;pos:-140,75,290;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_154;pos:-140,85,280;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_155;pos:-140,95,270;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_156;pos:-140,105,260;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_157;pos:-140,115,250;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_158;pos:-140,125,240;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_159;pos:-140,135,230;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_160;pos:-140,50,260;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_161;pos:-140,60,250;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_162;pos:-140,70,240;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_163;pos:-140,80,230;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_164;pos:-140,90,220;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_165;pos:-140,100,210;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_166;pos:-140,110,200;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_167;pos:-140,120,190;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_168;pos:-140,110,180;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_169;pos:-140,100,170;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_170;pos:-140,90,160;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_171;pos:-140,80,150;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_172;pos:-140,70,140;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_173;pos:-140,60,130;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_174;pos:-140,50,120;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_175;pos:-140,135,150;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_176;pos:-140,125,140;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_177;pos:-140,115,130;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_178;pos:-140,105,120;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_179;pos:-140,95,110;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_180;pos:-140,85,100;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_181;pos:-140,75,90;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_182;pos:-140,65,80;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_183;pos:-140,75,70;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_184;pos:-140,85,60;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_185;pos:-140,95,50;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_186;pos:-140,105,40;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_187;pos:-140,115,30;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_188;pos:-140,125,20;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_189;pos:-140,135,10;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_190;pos:-140,50,40;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_191;pos:-140,60,30;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_192;pos:-140,70,20;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_193;pos:-140,80,10;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_194;pos:-140,90,0;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_195;pos:-140,100,-10;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_196;pos:-140,110,-20;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_197;pos:-140,120,-30;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_198;pos:-140,110,-40;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_199;pos:-140,100,-50;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_200;pos:-140,90,-60;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_201;pos:-140,80,-70;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_202;pos:-140,70,-80;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_203;pos:-140,60,-90;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_204;pos:-140,50,-100;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_205;pos:-140,135,-70;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_206;pos:-140,125,-80;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_207;pos:-140,115,-90;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_208;pos:-140,105,-100;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_209;pos:-140,95,-110;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_210;pos:-140,85,-120;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_211;pos:-140,75,-130;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_212;pos:-140,65,-140;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_213;pos:-140,75,-150;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_214;pos:-140,85,-160;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_215;pos:-140,95,-170;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_216;pos:-140,105,-180;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_217;pos:-140,115,-190;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_218;pos:-140,125,-200;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_219;pos:-140,135,-210;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_220;pos:-140,50,-180;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_221;pos:-140,60,-190;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_222;pos:-140,70,-200;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_223;pos:-140,80,-210;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_224;pos:-140,90,-220;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_225;pos:-140,100,-230;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_226;pos:-140,110,-240;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_227;pos:-140,120,-250;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_228;pos:-140,110,-260;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_229;pos:-140,100,-270;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_230;pos:-140,90,-280;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
i:cuboid_231;pos:-140,80,-290;rot:0,180,0;m:cuboid;scl:8,1,1;t:rock3;til:5,5;;
