i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:-7.494504,49.88862,4.807927;rot:0,180,0;m:cuboid;scl:135,10,135;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_2;pos:-7.628267,139.7679,4.740594;rot:0,180,0;m:cuboid;scl:135,10,135;t:stone8;;
i:spawnhuman_3;pos:-10.00364,484.882,-9.938233;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_4;pos:-10.00503,484.0516,-9.949316;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:cuboid_73;pos:302.2313,306.5343,-1097.48;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_74;pos:-0.7315992,306.4718,-1096.67;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_75;pos:-304.0739,306.5122,-1095.478;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_76;pos:-607.1551,306.5658,-1094.07;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_77;pos:-931.741,306.4273,769.4611;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_78;pos:-931.9153,306.4646,1094.405;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_79;pos:931.0282,306.5305,768.4846;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_80;pos:931.0388,306.4937,1089.188;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_81;pos:930.7686,306.5543,-770.7576;rot:0,179.9974,0;m:cuboid;scl:1.5,0.3,32;t:stone3;til:3,3;;
i:cuboid_82;pos:930.6005,306.5686,-1098.717;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_83;pos:-931.7758,306.5121,-768.8461;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_84;pos:-931.7124,306.513,-1094.149;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_85;pos:1093.412,306.5355,607.4216;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_86;pos:1093.471,306.5134,301.5334;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_87;pos:1093.322,306.5854,-0.928533;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_88;pos:1093.355,306.5659,-303.858;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_89;pos:1093.296,306.5875,-605.2232;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_90;pos:1093.322,306.5675,926.9343;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_91;pos:768.5366,306.4328,927.0615;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_92;pos:1093.14,306.4724,-936.0899;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_93;pos:1093.117,306.4983,-1261.076;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_94;pos:1093.34,306.5549,1251.536;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_95;pos:768.3082,306.4803,1251.273;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_96;pos:770.843,306.4838,-936.3409;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_97;pos:771.2137,306.498,-1261.12;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_98;pos:-1094.191,306.5123,606.919;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_99;pos:-1094.001,306.5923,302.8766;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_100;pos:-1094.582,306.5621,-0.9988455;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_101;pos:-1094.472,306.5963,-304.1311;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_102;pos:-1094.293,306.5958,-606.4772;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_103;pos:-769.4637,306.4808,-931.5364;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_104;pos:-769.418,306.5227,-1256.516;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_105;pos:-1094.231,306.5408,-931.4875;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_106;pos:-1094.115,306.5029,-1256.79;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_107;pos:-769.277,306.4573,931.9642;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_108;pos:-769.4573,306.4815,1257.001;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_109;pos:-1094.199,306.4892,932.0402;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_110;pos:-1094.472,306.4742,1256.883;rot:0,269.9971,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_111;pos:-1256.834,306.4887,1094.479;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_112;pos:-1256.802,306.4683,769.394;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_113;pos:1255.909,306.616,1089.364;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_114;pos:1255.795,306.524,769.6257;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_115;pos:-931.6721,306.5215,455.3167;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_116;pos:-1256.542,306.5233,454.5326;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_117;pos:-931.7061,306.5551,151.0898;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_118;pos:-932.0795,306.4744,-151.8038;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_119;pos:-932.1251,306.5578,-454.7428;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_120;pos:-1256.51,306.594,151.0525;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_121;pos:-1257.087,306.5252,-151.861;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_122;pos:-1256.979,306.5705,-454.7151;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_123;pos:930.9478,306.4869,454.4756;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_124;pos:930.9758,306.4872,149.5431;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_125;pos:930.8966,306.5016,-153.4983;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_126;pos:930.8051,306.6147,-455.0078;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_127;pos:1255.823,306.5627,454.3492;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_128;pos:1255.754,306.5141,149.5071;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_129;pos:1255.778,306.5528,-153.1223;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_130;pos:1255.84,306.6056,-453.6407;rot:0,180,0;m:cuboid;scl:1.5,0.3,29.1;t:stone3;til:3,3;;
i:cuboid_131;pos:-1256.771,306.5508,-768.9681;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_132;pos:-1256.74,306.5166,-1094.182;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_133;pos:1255.798,306.4716,-771.0737;rot:0,179.9974,0;m:cuboid;scl:1.5,0.3,32;t:stone3;til:3,3;;
i:cuboid_134;pos:1255.681,306.473,-1098.678;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_135;pos:456.653,306.5581,-935.6321;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_136;pos:456.7006,306.5941,-1260.319;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_137;pos:454.6844,306.4221,927.6266;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_138;pos:453.6492,306.4487,1251.95;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_139;pos:151.9708,306.5027,928.7426;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_140;pos:151.3761,306.5056,1253.386;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_141;pos:149.5662,306.6058,-934.6556;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_142;pos:150.5323,306.5812,-1259.532;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_143;pos:-150.8826,306.5188,-933.5134;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_144;pos:-455.8983,306.4828,-932.3065;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_145;pos:-152.7553,306.6044,-1258.529;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_146;pos:-455.9094,306.5349,-1257.207;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_147;pos:-152.774,306.5272,930.108;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_148;pos:-455.6033,306.4519,931.3184;rot:0,270.168,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_149;pos:-154.4281,306.4954,1255.087;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_150;pos:-456.5357,306.4405,1256.483;rot:0,270.248,0;m:cuboid;scl:1.5,0.3,29.6;t:stone3;til:3,3;;
i:cuboid_151;pos:302.4569,306.5192,-771.8284;rot:0,179.9974,0;m:cuboid;scl:1.5,0.3,32;t:stone3;til:3,3;;
i:house5_152;pos:632.3905,316.0811,-562.2192;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_153;pos:632.4567,315.96,-524.8292;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_154;pos:632.4774,315.9795,-488.7845;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_155;pos:632.5884,315.9762,-451.3694;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_156;pos:632.7094,315.9733,-413.8398;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_157;pos:632.6667,315.9332,-376.4608;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_158;pos:632.7083,315.9739,-339.2004;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_159;pos:951.2783,315.9183,-567.1776;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_160;pos:951.3572,315.9583,-529.5875;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_161;pos:951.3964,315.9183,-492.006;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_162;pos:951.437,315.9583,-454.0813;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_163;pos:951.1968,315.9183,-417.1403;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_164;pos:951.1965,315.9183,-379.407;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_165;pos:951.2763,315.9983,-341.8086;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_166;pos:632.7322,315.9615,-261.8543;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_167;pos:632.693,316.0164,-224.5932;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:110,110,110,255;;
i:house5_168;pos:632.6542,316.0102,-187.3784;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_169;pos:632.6541,316.0489,-149.4355;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_170;pos:632.657,316.0493,-112.3968;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_171;pos:632.6556,316.1298,-77.13947;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_172;pos:632.6545,316.1298,-40.36336;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_173;pos:951.6198,316.0683,-264.2007;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_174;pos:951.6591,316.1083,-227.0634;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_175;pos:951.7027,316.0283,-189.8532;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_176;pos:951.6613,315.9883,-152.5694;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_177;pos:951.6983,315.9483,-115.476;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_178;pos:951.779,315.9483,-78.18818;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_179;pos:951.818,316.1483,-40.52435;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_180;pos:632.5964,315.9739,41.23801;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_181;pos:632.5983,315.9739,78.76501;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_182;pos:632.6371,315.9739,115.7047;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_183;pos:632.6385,315.9739,152.9188;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_184;pos:632.6384,315.9739,190.1579;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_185;pos:632.5983,315.9739,226.9938;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_186;pos:632.6382,315.9739,264.1982;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_187;pos:632.3704,315.9739,337.0664;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_188;pos:632.4484,315.9739,374.5154;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
i:house5_189;pos:632.4498,315.9739,411.8708;rot:0,180,0;m:house5;scl:0.5,0.5,0.5;clr:107,107,107,255;;
