i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_2;pos:93.92388,2275.067,-48652.93;rot:0,-0.002979381,0;m:cuboid;scl:20000,10000,10;;
i:cuboid_3;pos:-13964.88,2362.414,-531.688;rot:0,88.94998,0;m:cuboid;scl:20000,10000,10;;
i:cuboid_4;pos:9694.482,42050.11,5063.59;rot:0,3.174615,0;m:cuboid;scl:20000,10,20000;;
i:cuboid_5;pos:8536.699,2332.699,48652.93;rot:0,180.7429,0;m:cuboid;scl:20000,10000,10;;
i:cuboid_6;pos:98656.41,2339.034,12205.49;rot:0,88.7573,0;m:cuboid;scl:20000,10000,10;;
i:cuboid_7;pos:-230.9507,9419.2,-7475;rot:0,270,0;m:cuboid;scl:4,1,4;;
i:spawnhuman_8;pos:-230.9507,9429.2,-7475;rot:0,270,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_9;pos:-230.9507,9429.2,-7475;rot:0,270,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:cuboid_10;pos:-465.9507,9429.2,-7433.75;rot:0,100.8877,0;m:cuboid;scl:5.75,10,2;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:arc180_24;pos:-555.7522,9427.409,-7893.561;rot:0,270.0012,0;m:arc180;scl:10,20,5.65;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_25;pos:-753.4507,9484.2,-7500;rot:0,90,0;m:cuboid;scl:20,1,29.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_26;pos:-358.4507,9484.2,-7500;rot:0,270.0012,0;m:cuboid;scl:20,1,29.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_27;pos:-555.9507,9484.2,-7260;rot:0,180,0;m:cuboid;scl:20,1,40;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_28;pos:-555.9507,9484.2,-7740;m:cuboid;scl:20,1,40;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_29;pos:-753.4507,9374.2,-7500;rot:0,90,0;m:cuboid;scl:20,1,29.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_30;pos:-358.4507,9374.2,-7500;rot:0,90,0;m:cuboid;scl:20,1,29.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_31;pos:-555.9507,9374.2,-7260;rot:0,180,0;m:cuboid;scl:20,1,40;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_32;pos:-555.9507,9374.2,-7740;m:cuboid;scl:20,1,40;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cylinder_37;pos:-555.9507,9429.2,-7340;rot:0,90,0;m:cylinder;scl:3,5,3;clr:0,0,0,255;l:0;;
i:cylinder_38;pos:-555.9507,9429.2,-7660;rot:0,90,0;m:cylinder;scl:3,5,3;clr:0,0,0,255;l:0;;
i:cylinder_39;pos:-715.9507,9429.2,-7500;rot:0,90,0;m:cylinder;scl:3,5,3;clr:0,0,0,255;l:0;;
i:cylinder_40;pos:-395.9507,9429.2,-7500;rot:0,90,0;m:cylinder;scl:3,5,3;clr:0,0,0,255;l:0;;
i:cylinder_49;pos:-715.9507,9429.2,-7340;rot:0,90,0;m:cylinder;scl:3,5,3;clr:0,0,0,255;l:0;;
i:cylinder_50;pos:-715.9507,9429.2,-7660;rot:0,90,0;m:cylinder;scl:3,5,3;clr:0,0,0,255;l:0;;
i:cylinder_51;pos:-395.9507,9429.2,-7340;rot:0,90,0;m:cylinder;scl:3,5,3;clr:0,0,0,255;l:0;;
i:cylinder_52;pos:-395.9507,9429.2,-7660;rot:0,90,0;m:cylinder;scl:3,5,3;clr:0,0,0,255;l:0;;
i:cuboid_61;pos:-858.4507,9429.2,-7500;rot:0,270,0;m:cuboid;scl:1,10,8.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_62;pos:-858.4507,9429.2,-7500;rot:0,270,0;m:cuboid;scl:1,10,8.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_63;pos:-975.9507,9404.2,-7500;rot:0,90,0;m:cuboid;scl:9.153981,5,15;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_64;pos:-975.9507,9404.2,-7500;rot:0,90,0;m:cuboid;scl:9.153981,5,15;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_65;pos:-975.9507,9484.2,-7500;rot:0,90,0;m:cuboid;scl:9.153981,1,15;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_66;pos:-910.9507,9429.2,-7500;rot:0,90,0;m:cuboid;scl:9,1.2,3;t:ice1;;
i:cuboid_67;pos:-910.9507,9454.2,-7479.625;rot:0,90,0;m:cuboid;scl:3.075,3.8,2;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cuboid_68;pos:-910.9507,9454.2,-7520.375;rot:0,90,0;m:cuboid;scl:3.075,3.8,2;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cuboid_69;pos:-1050.951,9479.2,-7500;rot:0,90,0;m:cuboid;scl:9,1.2,1;t:ice1;;
i:cuboid_70;pos:-910.9507,9479.2,-7500;rot:0,90,0;m:cuboid;scl:9,1.2,3;t:ice1;;
i:cuboid_71;pos:-950.9507,9454.2,-7500;rot:0,90,0;m:cuboid;scl:1,5,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_72;pos:-975.9507,9454.2,-7459.23;rot:0,90,0;m:cuboid;scl:1,5,15;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_73;pos:-975.9507,9454.2,-7540.77;rot:0,90,0;m:cuboid;scl:1,5,15;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_74;pos:-1422.249,9473.491,-7500;rot:78.75002,270,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_75;pos:-1409.21,9473.491,-7434.447;rot:78.75002,292.5,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_76;pos:-1372.077,9473.491,-7378.874;rot:78.74999,315,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_77;pos:-1316.504,9473.491,-7341.741;rot:78.75002,337.5,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_78;pos:-1250.951,9473.491,-7328.701;rot:78.75001,0,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_79;pos:-1185.397,9473.491,-7341.741;rot:78.75002,22.50001,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_80;pos:-1129.824,9473.491,-7378.874;rot:78.74999,45.00002,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_81;pos:-1092.691,9473.491,-7434.447;rot:78.75002,67.49998,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_82;pos:-1079.652,9473.491,-7500;rot:78.75002,90,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_83;pos:-1092.691,9473.491,-7565.553;rot:78.75002,112.5,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_84;pos:-1129.824,9473.491,-7621.126;rot:78.74999,135,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_85;pos:-1185.397,9473.491,-7658.259;rot:78.75002,157.5,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_86;pos:-1250.951,9473.491,-7671.299;rot:78.75001,180,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_87;pos:-1316.504,9473.491,-7658.259;rot:78.75002,202.5,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_88;pos:-1372.077,9473.491,-7621.126;rot:78.74999,225,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_89;pos:-1409.21,9473.491,-7565.553;rot:78.75002,247.5,180;m:cuboid;scl:7.853981,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_90;pos:-1369.216,9451.524,-7500;rot:56.24999,270,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_91;pos:-1360.214,9451.524,-7454.742;rot:56.25,292.5,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_92;pos:-1334.577,9451.524,-7416.374;rot:56.25001,315,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_93;pos:-1296.209,9451.524,-7390.737;rot:56.25001,337.5,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_94;pos:-1250.951,9451.524,-7381.734;rot:56.25,0,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_95;pos:-1205.692,9451.524,-7390.737;rot:56.25001,22.5,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_96;pos:-1167.324,9451.524,-7416.374;rot:56.25001,45,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_97;pos:-1141.687,9451.524,-7454.742;rot:56.25,67.50001,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_98;pos:-1132.685,9451.524,-7500;rot:56.24999,90,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_99;pos:-1141.687,9451.524,-7545.258;rot:56.25,112.5,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_100;pos:-1167.324,9451.524,-7583.626;rot:56.25001,135,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_101;pos:-1205.692,9451.524,-7609.263;rot:56.25001,157.5,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_102;pos:-1250.951,9451.524,-7618.266;rot:56.25,180,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_103;pos:-1296.209,9451.524,-7609.263;rot:56.25001,202.5,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_104;pos:-1334.577,9451.524,-7583.626;rot:56.25001,225,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_105;pos:-1360.214,9451.524,-7545.258;rot:56.25,247.5,180;m:cuboid;scl:5.59979,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_106;pos:-1328.627,9410.935,-7500;rot:33.75001,270,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_107;pos:-1322.714,9410.935,-7470.275;rot:33.74999,292.5,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_108;pos:-1305.876,9410.935,-7445.075;rot:33.75001,315,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_109;pos:-1280.676,9410.935,-7428.237;rot:33.75,337.5,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_110;pos:-1250.951,9410.935,-7422.324;rot:33.75001,0,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_111;pos:-1221.225,9410.935,-7428.237;rot:33.75,22.5,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_112;pos:-1196.025,9410.935,-7445.075;rot:33.75001,45,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_113;pos:-1179.187,9410.935,-7470.275;rot:33.74999,67.50001,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_114;pos:-1173.275,9410.935,-7500;rot:33.75001,90,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_115;pos:-1179.187,9410.935,-7529.725;rot:33.74999,112.5,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_116;pos:-1196.025,9410.935,-7554.925;rot:33.75001,135,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_117;pos:-1221.225,9410.935,-7571.763;rot:33.75,157.5,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_118;pos:-1250.951,9410.935,-7577.676;rot:33.75001,180,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_119;pos:-1280.676,9410.935,-7571.763;rot:33.75,202.5,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_120;pos:-1305.876,9410.935,-7554.925;rot:33.75001,225,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_121;pos:-1322.714,9410.935,-7529.725;rot:33.74999,247.5,180;m:cuboid;scl:3.688779,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_122;pos:-1306.66,9357.901,-7500;rot:11.25,270,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_123;pos:-1302.419,9357.901,-7478.681;rot:11.25,292.5,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_124;pos:-1290.343,9357.901,-7460.608;rot:11.25,315,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_125;pos:-1272.27,9357.901,-7448.532;rot:11.25,337.5,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_126;pos:-1250.951,9357.901,-7444.291;rot:11.25001,0,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_127;pos:-1229.632,9357.901,-7448.532;rot:11.25,22.5,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_128;pos:-1211.558,9357.901,-7460.608;rot:11.25,45,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_129;pos:-1199.482,9357.901,-7478.681;rot:11.25,67.5,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_130;pos:-1195.242,9357.901,-7500;rot:11.25,90,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_131;pos:-1199.482,9357.901,-7521.319;rot:11.25,112.5,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_132;pos:-1211.558,9357.901,-7539.392;rot:11.25,135,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_133;pos:-1229.632,9357.901,-7551.468;rot:11.25,157.5,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_134;pos:-1250.951,9357.901,-7555.709;rot:11.25001,180,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_135;pos:-1272.27,9357.901,-7551.468;rot:11.25,202.5,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_136;pos:-1290.343,9357.901,-7539.392;rot:11.25,225,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_137;pos:-1302.419,9357.901,-7521.319;rot:11.25,247.5,180;m:cuboid;scl:2.411882,5.85271,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_138;pos:-1431.817,9425.394,-7500;rot:78.75002,270,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_139;pos:-1418.049,9425.394,-7430.786;rot:78.75002,292.5,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_140;pos:-1378.842,9425.394,-7372.108;rot:78.74999,315,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_141;pos:-1320.165,9425.394,-7332.902;rot:78.75002,337.5,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_142;pos:-1250.951,9425.394,-7319.134;rot:78.75001,0,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_143;pos:-1181.736,9425.394,-7332.902;rot:78.75002,22.50001,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_144;pos:-1123.059,9425.394,-7372.108;rot:78.74999,45.00002,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_145;pos:-1083.852,9425.394,-7430.786;rot:78.75002,67.49998,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_146;pos:-1070.085,9425.394,-7500;rot:78.75002,90,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_147;pos:-1083.852,9425.394,-7569.214;rot:78.75002,112.5,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_148;pos:-1123.059,9425.394,-7627.892;rot:78.74999,135,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_149;pos:-1181.736,9425.394,-7667.098;rot:78.75002,157.5,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_150;pos:-1250.951,9425.394,-7680.866;rot:78.75001,180,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_151;pos:-1320.165,9425.394,-7667.098;rot:78.75002,202.5,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_152;pos:-1378.842,9425.394,-7627.892;rot:78.74999,225,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_153;pos:-1418.049,9425.394,-7569.214;rot:78.75002,247.5,180;m:cuboid;scl:7.853981,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_154;pos:-1396.461,9410.749,-7500;rot:56.24999,270,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_155;pos:-1385.385,9410.749,-7444.315;rot:56.25,292.5,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_156;pos:-1353.842,9410.749,-7397.108;rot:56.25001,315,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_157;pos:-1306.635,9410.749,-7365.566;rot:56.25001,337.5,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_158;pos:-1250.951,9410.749,-7354.49;rot:56.25,0,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_159;pos:-1195.266,9410.749,-7365.566;rot:56.25001,22.5,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_160;pos:-1148.059,9410.749,-7397.108;rot:56.25001,45,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_161;pos:-1116.516,9410.749,-7444.315;rot:56.25,67.50001,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_162;pos:-1105.44,9410.749,-7500;rot:56.24999,90,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_163;pos:-1116.516,9410.749,-7555.685;rot:56.25,112.5,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_164;pos:-1148.059,9410.749,-7602.892;rot:56.25001,135,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_165;pos:-1195.266,9410.749,-7634.434;rot:56.25001,157.5,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_166;pos:-1250.951,9410.749,-7645.51;rot:56.25,180,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_167;pos:-1306.635,9410.749,-7634.434;rot:56.25001,202.5,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_168;pos:-1353.842,9410.749,-7602.892;rot:56.25001,225,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_169;pos:-1385.385,9410.749,-7555.685;rot:56.25,247.5,180;m:cuboid;scl:6.351187,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_170;pos:-1369.401,9383.689,-7500;rot:33.75001,270,180;m:cuboid;scl:5.07718,3.901806,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
