i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_1;pos:0,200,0;rot:0,135.0001,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_15;pos:888.5281,200,-69.28203;rot:0,330,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_16;pos:869.2336,200,-77.27406;rot:0,345,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_17;pos:848.5281,200,-80;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_18;pos:827.8226,200,-77.27406;rot:0,14.99998,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_19;pos:808.5281,200,-69.28203;rot:0,29.99999,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_20;pos:791.9596,200,-56.56854;rot:0,44.99994,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_21;pos:721.2489,200,127.2792;rot:0,135.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_22;pos:758.5281,200,155.8846;rot:0,150,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_23;pos:801.9407,200,173.8667;rot:0,165,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_24;pos:848.5281,200,180;rot:0,180,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_25;pos:895.1155,200,173.8667;rot:0,195,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_26;pos:938.5281,200,155.8846;rot:0,210,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_27;pos:975.8074,200,127.2792;rot:0,224.9999,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_28;pos:1004.413,200,90;rot:0,240,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_29;pos:1022.395,200,46.58743;rot:0,255,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_30;pos:1028.528,200,0;rot:0,270,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_31;pos:1022.395,200,-46.58743;rot:0,285,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_32;pos:1004.413,200,-90;rot:0,300,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_33;pos:975.8074,200,-127.2792;rot:0,315.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_34;pos:938.5281,200,-155.8846;rot:0,330,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_35;pos:895.1155,200,-173.8667;rot:0,345,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_36;pos:848.5281,200,-180;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_37;pos:801.9407,200,-173.8667;rot:0,14.99998,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_38;pos:758.5281,200,-155.8846;rot:0,29.99999,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_39;pos:721.2489,200,-127.2792;rot:0,44.99994,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_40;pos:756.6042,300,91.92388;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_41;pos:783.5281,300,112.5833;rot:0,150,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_42;pos:814.8817,300,125.5704;rot:0,165,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_43;pos:848.5281,300,130;rot:0,180,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_44;pos:882.1746,300,125.5704;rot:0,195,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_45;pos:913.5281,300,112.5833;rot:0,210,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_46;pos:940.452,300,91.92388;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_47;pos:961.1115,300,65;rot:0,240,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_48;pos:974.0985,300,33.64648;rot:0,255,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_49;pos:978.5281,300,0;rot:0,270,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_50;pos:974.0985,300,-33.64648;rot:0,285,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_51;pos:961.1115,300,-65;rot:0,300,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_52;pos:940.452,300,-91.92388;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_53;pos:913.5281,300,-112.5833;rot:0,330,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_54;pos:882.1746,300,-125.5704;rot:0,345,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_55;pos:848.5281,300,-130;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_56;pos:814.8817,300,-125.5704;rot:0,14.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_57;pos:783.5281,300,-112.5833;rot:0,29.99999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_58;pos:756.6042,300,-91.92388;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_59;pos:756.6042,100,91.92388;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_60;pos:783.5281,100,112.5833;rot:0,150,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_61;pos:814.8817,100,125.5704;rot:0,165,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_62;pos:848.5281,100,130;rot:0,180,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_63;pos:882.1746,100,125.5704;rot:0,195,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_64;pos:913.5281,100,112.5833;rot:0,210,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_65;pos:940.452,100,91.92388;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_66;pos:961.1115,100,65;rot:0,240,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_67;pos:974.0985,100,33.64648;rot:0,255,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_68;pos:978.5281,100,0;rot:0,270,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_69;pos:974.0985,100,-33.64648;rot:0,285,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_70;pos:961.1115,100,-65;rot:0,300,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_71;pos:940.452,100,-91.92388;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_72;pos:913.5281,100,-112.5833;rot:0,330,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_73;pos:882.1746,100,-125.5704;rot:0,345,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_74;pos:848.5281,100,-130;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_75;pos:814.8817,100,-125.5704;rot:0,14.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_76;pos:783.5281,100,-112.5833;rot:0,29.99999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_77;pos:756.6042,100,-91.92388;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_78;pos:-56.56854,200,905.0967;rot:0,135.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_79;pos:-40,200,917.8102;rot:0,150,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_80;pos:-20.70552,200,925.8022;rot:0,165,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_81;pos:0,200,928.5281;rot:0,180,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_82;pos:20.70552,200,925.8022;rot:0,195,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_83;pos:40,200,917.8102;rot:0,210,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_84;pos:56.56854,200,905.0967;rot:0,224.9999,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_85;pos:69.28203,200,888.5281;rot:0,240,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_86;pos:77.27406,200,869.2336;rot:0,255,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_87;pos:80,200,848.5281;rot:0,270,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_88;pos:77.27406,200,827.8226;rot:0,285,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_89;pos:69.28203,200,808.5281;rot:0,300,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_90;pos:56.56854,200,791.9596;rot:0,315.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_91;pos:-56.56854,200,791.9596;rot:0,44.99994,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_92;pos:-69.28203,200,808.5281;rot:0,60.00003,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_93;pos:-77.27406,200,827.8226;rot:0,74.99998,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_94;pos:-80,200,848.5281;rot:0,90,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_95;pos:-77.27406,200,869.2336;rot:0,105,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_96;pos:-69.28203,200,888.5281;rot:0,120,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_97;pos:-127.2792,200,975.8074;rot:0,135.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_98;pos:-90,200,1004.413;rot:0,150,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_99;pos:-46.58743,200,1022.395;rot:0,165,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_100;pos:0,200,1028.528;rot:0,180,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_101;pos:46.58743,200,1022.395;rot:0,195,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_102;pos:90,200,1004.413;rot:0,210,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_103;pos:127.2792,200,975.8074;rot:0,224.9999,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_104;pos:155.8846,200,938.5281;rot:0,240,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_105;pos:173.8667,200,895.1155;rot:0,255,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_106;pos:180,200,848.5281;rot:0,270,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_107;pos:173.8667,200,801.9407;rot:0,285,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_108;pos:155.8846,200,758.5281;rot:0,300,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_109;pos:127.2792,200,721.2489;rot:0,315.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_110;pos:-127.2792,200,721.2489;rot:0,44.99994,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_111;pos:-155.8846,200,758.5281;rot:0,60.00003,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_112;pos:-173.8667,200,801.9407;rot:0,74.99998,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_113;pos:-180,200,848.5281;rot:0,90,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_114;pos:-173.8667,200,895.1155;rot:0,105,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_115;pos:-155.8846,200,938.5281;rot:0,120,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_116;pos:-91.92388,300,940.452;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_117;pos:-65,300,961.1115;rot:0,150,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_118;pos:-33.64648,300,974.0985;rot:0,165,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_119;pos:0,300,978.5281;rot:0,180,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_120;pos:33.64648,300,974.0985;rot:0,195,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_121;pos:65,300,961.1115;rot:0,210,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_122;pos:91.92388,300,940.452;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_123;pos:112.5833,300,913.5281;rot:0,240,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_124;pos:125.5704,300,882.1746;rot:0,255,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_125;pos:130,300,848.5281;rot:0,270,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_126;pos:125.5704,300,814.8817;rot:0,285,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_127;pos:112.5833,300,783.5281;rot:0,300,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_128;pos:91.92388,300,756.6042;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_129;pos:-91.92388,300,756.6042;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_130;pos:-112.5833,300,783.5281;rot:0,60.00003,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_131;pos:-125.5704,300,814.8817;rot:0,74.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_132;pos:-130,300,848.5281;rot:0,90,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_133;pos:-125.5704,300,882.1746;rot:0,105,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_134;pos:-112.5833,300,913.5281;rot:0,120,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_135;pos:-91.92388,100,940.452;rot:0,135.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_136;pos:-65,100,961.1115;rot:0,150,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_137;pos:-33.64648,100,974.0985;rot:0,165,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_138;pos:0,100,978.5281;rot:0,180,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_139;pos:33.64648,100,974.0985;rot:0,195,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_140;pos:65,100,961.1115;rot:0,210,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_141;pos:91.92388,100,940.452;rot:0,224.9999,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_142;pos:112.5833,100,913.5281;rot:0,240,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_143;pos:125.5704,100,882.1746;rot:0,255,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_144;pos:130,100,848.5281;rot:0,270,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_145;pos:125.5704,100,814.8817;rot:0,285,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_146;pos:112.5833,100,783.5281;rot:0,300,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_147;pos:91.92388,100,756.6042;rot:0,315.0001,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_148;pos:-91.92388,100,756.6042;rot:0,44.99994,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_149;pos:-112.5833,100,783.5281;rot:0,60.00003,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_150;pos:-125.5704,100,814.8817;rot:0,74.99998,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_151;pos:-130,100,848.5281;rot:0,90,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_152;pos:-125.5704,100,882.1746;rot:0,105,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_153;pos:-112.5833,100,913.5281;rot:0,120,0;m:cuboid;scl:4.974188,2,12;t:metal4;til:0.04974188,0.12;;
i:cuboid_154;pos:-56.56854,200,-791.9596;rot:0,135.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_155;pos:56.56854,200,-791.9596;rot:0,224.9999,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_156;pos:69.28203,200,-808.5281;rot:0,240,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_157;pos:77.27406,200,-827.8226;rot:0,255,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_158;pos:80,200,-848.5281;rot:0,270,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_159;pos:77.27406,200,-869.2336;rot:0,285,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_160;pos:69.28203,200,-888.5281;rot:0,300,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_161;pos:56.56854,200,-905.0967;rot:0,315.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_162;pos:40,200,-917.8102;rot:0,330,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_163;pos:20.70552,200,-925.8022;rot:0,345,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_164;pos:0,200,-928.5281;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_165;pos:-20.70552,200,-925.8022;rot:0,14.99998,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_166;pos:-40,200,-917.8102;rot:0,29.99999,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_167;pos:-56.56854,200,-905.0967;rot:0,44.99994,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_168;pos:-69.28203,200,-888.5281;rot:0,60.00003,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_169;pos:-77.27406,200,-869.2336;rot:0,74.99998,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_170;pos:-80,200,-848.5281;rot:0,90,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_171;pos:-77.27406,200,-827.8226;rot:0,105,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_172;pos:-69.28203,200,-808.5281;rot:0,120,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_173;pos:-127.2792,200,-721.2489;rot:0,135.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_174;pos:127.2792,200,-721.2489;rot:0,224.9999,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_175;pos:155.8846,200,-758.5281;rot:0,240,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_176;pos:173.8667,200,-801.9407;rot:0,255,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_177;pos:180,200,-848.5281;rot:0,270,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_178;pos:173.8667,200,-895.1155;rot:0,285,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_179;pos:155.8846,200,-938.5281;rot:0,300,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_180;pos:127.2792,200,-975.8074;rot:0,315.0001,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_181;pos:90,200,-1004.413;rot:0,330,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_182;pos:46.58743,200,-1022.395;rot:0,345,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_183;pos:0,200,-1028.528;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_184;pos:-46.58743,200,-1022.395;rot:0,14.99998,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_185;pos:-90,200,-1004.413;rot:0,29.99999,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_186;pos:-127.2792,200,-975.8074;rot:0,44.99994,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_187;pos:-155.8846,200,-938.5281;rot:0,60.00003,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_188;pos:-173.8667,200,-895.1155;rot:0,74.99998,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_189;pos:-180,200,-848.5281;rot:0,90,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
i:cuboid_190;pos:-173.8667,200,-801.9407;rot:0,105,0;m:cuboid;scl:4.974188,22,2;t:metal4;til:0.04974188,0.22;;
