i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:0,6015,50;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:0,6015,50;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:cuboid_22;pos:0,6080,1000;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_23;pos:0,6080,1100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_24;pos:0,6080,1200;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_25;pos:0,6080,1300;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_26;pos:0,6080,1400;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_27;pos:0,6080,1500;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_28;pos:0,6080,1600;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_29;pos:0,6080,1700;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_30;pos:0,6080,1800;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_31;pos:0,6080,1900;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_32;pos:0,6080,2000;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_33;pos:0,6080,2100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_34;pos:0,6080,2200;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_35;pos:0,6080,2300;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_36;pos:0,6080,2400;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_37;pos:0,6080,2500;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_38;pos:0,6080,2600;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_39;pos:0,6080,2700;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_40;pos:0,6080,2800;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_41;pos:0,6080,2900;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_42;pos:0,6080,3000;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_43;pos:0,6080,3100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_44;pos:0,6080,3200;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_45;pos:0,6080,3300;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_46;pos:0,6080,3400;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_47;pos:0,6080,3500;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_48;pos:0,6080,3600;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_49;pos:0,6080,3700;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_50;pos:0,6080,3800;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_51;pos:0,6080,3900;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_52;pos:0,6080,4000;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_53;pos:0,6080,4100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_54;pos:0,6080,4200;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_55;pos:0,6080,4300;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_56;pos:0,6080,4400;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_57;pos:0,6080,4500;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_58;pos:0,6080,4600;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_59;pos:0,6080,4700;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_60;pos:0,6080,4800;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_61;pos:0,6080,4900;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_62;pos:0,6080,5000;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_63;pos:0,6080,5100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_64;pos:0,6050,5200;rot:0,180,0;m:cuboid;scl:10,10,1;t:metal4;til:9999999,9999999;;
i:cuboid_65;pos:0,6020,100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_66;pos:0,6020,200;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_67;pos:0,6020,300;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_68;pos:0,6020,400;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_69;pos:0,6020,500;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_70;pos:0,6020,600;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_71;pos:0,6020,700;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_72;pos:0,6020,800;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_73;pos:0,6020,900;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_74;pos:0,6020,1000;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_75;pos:0,6020,1100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_76;pos:0,6020,1200;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_77;pos:0,6020,1300;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_78;pos:0,6020,1400;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_79;pos:0,6020,1500;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_80;pos:0,6020,1600;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_81;pos:0,6020,1700;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_82;pos:0,6020,1800;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_83;pos:0,6020,1900;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_84;pos:0,6020,2000;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_85;pos:0,6020,2100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_86;pos:0,6020,2200;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_87;pos:0,6020,2300;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_88;pos:0,6020,2400;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_89;pos:0,6020,2500;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_90;pos:0,6020,2600;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_91;pos:0,6020,2700;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_92;pos:0,6020,2800;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_93;pos:0,6020,2900;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_94;pos:0,6020,3000;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_95;pos:0,6020,3100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_96;pos:0,6020,3200;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_97;pos:0,6020,3300;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_99;pos:0,6020,3400;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_100;pos:0,6020,3500;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_101;pos:0,6020,3600;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_102;pos:0,6020,3700;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_103;pos:0,6020,3800;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_104;pos:0,6020,3900;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_105;pos:0,6020,4000;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_106;pos:0,6020,4100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_107;pos:0,6020,4200;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_108;pos:0,6020,4300;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_109;pos:0,6020,4400;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_110;pos:0,6020,4500;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_111;pos:0,6020,4600;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_112;pos:0,6020,4700;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_113;pos:0,6020,4800;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_114;pos:0,6020,4900;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_115;pos:0,6020,5000;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_116;pos:0,6020,5100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_117;pos:25,6050,100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_118;pos:25,6050,200;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_119;pos:25,6050,300;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_120;pos:25,6050,400;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_121;pos:25,6050,500;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_122;pos:25,6050,600;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_123;pos:25,6050,700;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_124;pos:25,6050,800;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_125;pos:25,6050,900;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_126;pos:25,6050,1000;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_127;pos:25,6050,1100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_128;pos:25,6050,1200;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_129;pos:25,6050,1300;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_130;pos:25,6050,1400;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_131;pos:25,6050,1500;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_132;pos:25,6050,1600;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_133;pos:25,6050,1700;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_134;pos:25,6050,1800;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_135;pos:25,6050,1900;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_136;pos:25,6050,2000;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_137;pos:25,6050,2100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_138;pos:25,6050,2200;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_139;pos:25,6050,2300;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_140;pos:25,6050,2400;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_141;pos:25,6050,2500;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_142;pos:25,6050,2600;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_143;pos:25,6050,2700;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_144;pos:25,6050,2800;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_145;pos:25,6050,2900;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_146;pos:25,6050,3000;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_147;pos:25,6050,3100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_148;pos:25,6050,3200;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_149;pos:25,6050,3300;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_150;pos:25,6050,3400;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_151;pos:25,6050,3500;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_152;pos:25,6050,3600;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_153;pos:25,6050,3700;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_154;pos:25,6050,3800;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_155;pos:25,6050,3900;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_156;pos:25,6050,4000;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_157;pos:25,6050,4100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_158;pos:25,6050,4200;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_159;pos:25,6050,4300;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_160;pos:25,6050,4400;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_161;pos:25,6050,4500;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_162;pos:25,6050,4600;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_163;pos:25,6050,4700;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_164;pos:25,6050,4800;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_165;pos:25,6050,4900;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_166;pos:25,6050,5000;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_167;pos:25,6050,5100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_168;pos:-25,6050,100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_169;pos:-25,6050,200;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_170;pos:-25,6050,300;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_171;pos:-25,6050,400;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_172;pos:-25,6050,500;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_173;pos:-25,6050,600;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_174;pos:-25,6050,700;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_175;pos:-25,6050,800;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_176;pos:-25,6050,900;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_177;pos:-25,6050,1000;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_178;pos:-25,6050,1100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_179;pos:-25,6050,1200;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_180;pos:-25,6050,1300;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_181;pos:-25,6050,1400;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_182;pos:-25,6050,1500;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_183;pos:-25,6050,1600;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_184;pos:-25,6050,1700;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_185;pos:-25,6050,1800;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_186;pos:-25,6050,1900;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_187;pos:-25,6050,2000;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_188;pos:-25,6050,2100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_189;pos:-25,6050,2200;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_190;pos:-25,6050,2300;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_191;pos:-25,6050,2400;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_192;pos:-25,6050,2500;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_193;pos:-25,6050,2600;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_194;pos:-25,6050,2700;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_195;pos:-25,6050,2800;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_196;pos:-25,6050,2900;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_197;pos:-25,6050,3000;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_198;pos:-25,6050,3100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_200;pos:-25,6050,3200;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_201;pos:-25,6050,3300;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_202;pos:-25,6050,3400;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_203;pos:-25,6050,3500;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_204;pos:-25,6050,3600;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_205;pos:-25,6050,3700;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_206;pos:-25,6050,3800;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_207;pos:-25,6050,3900;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_208;pos:-25,6050,4000;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_209;pos:-25,6050,4100;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_210;pos:-25,6050,4200;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_211;pos:-25,6050,4300;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_212;pos:-25,6050,4400;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_213;pos:-25,6050,4500;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_214;pos:-25,6050,4600;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_215;pos:-25,6050,4700;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_216;pos:-25,6050,4800;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_217;pos:-25,6050,4900;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
i:cuboid_218;pos:-25,6050,5000;rot:0,180,0;m:cuboid;scl:4,2,1;t:metal4;til:9999999,9999999;;
