i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cone_1;pos:-57.37149,-806.7556,-149.0134;rot:1.239974,206.4332,180;m:cone;scl:1,0.4,1;t:metal1;til:5,5;;
i:cuboid_2;pos:-2000,800,-6000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_3;pos:-6000,1400,-8000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_4;pos:-8000,3000,400;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_5;pos:6000,2000,6000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_6;pos:8000,-800,0;rot:0,180,337.3801;m:cuboid;scl:160,0,160;mat:transparent;clr:255,255,255,200;;
i:cuboid_7;pos:-1530.734,-800,-3695.518;rot:0,22.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_8;pos:-1530.734,-800,3695.518;rot:0,157.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_9;pos:-2828.427,-800,-2828.427;rot:0,45,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_10;pos:-2828.427,-800,2828.427;rot:0,135,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_11;pos:-3695.518,-800,-1530.734;rot:0,67.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_12;pos:-3695.518,-800,1530.734;rot:0,112.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_13;pos:-4000,-800,0;rot:0,90,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_14;pos:0,-800,-4000;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_15;pos:0,-800,4000;rot:0,180,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_16;pos:1530.734,-800,-3695.518;rot:0,337.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_17;pos:1530.734,-800,3695.518;rot:0,202.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_18;pos:2828.427,-800,-2828.427;rot:0,315,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_19;pos:2828.427,-800,2828.427;rot:0,225,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_20;pos:3695.518,-800,-1530.734;rot:0,292.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_21;pos:3695.518,-800,1530.734;rot:0,247.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_22;pos:4000,-800,0;rot:0,270,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_40;pos:-240.4849,-847.8354,-48.77258;rot:348.9689,78.53541,272.2222;m:cuboid;scl:12.07181,1,10.5;t:brick4;til:1,1.207181;clr:255,178,178,255;;
i:cuboid_41;pos:136.2238,-1003.873,-48.77258;rot:305.3638,289.699,73.72364;m:cuboid;scl:12.07181,1,10.5;t:brick4;til:1,1.207181;clr:255,178,178,255;;
i:cuboid_42;pos:136.2238,-596.1267,-48.77258;rot:54.63617,289.699,286.2764;m:cuboid;scl:12.07181,1,10.5;t:brick4;til:1,1.207181;clr:255,178,178,255;;
i:cuboid_43;pos:203.8733,-663.7762,48.77258;rot:33.01746,256.546,262.5731;m:cuboid;scl:12.07181,1,10.5;t:brick4;til:1,1.207181;clr:255,178,178,255;;
i:cuboid_44;pos:203.8733,-936.2238,-48.77258;rot:326.9825,283.454,82.57314;m:cuboid;scl:12.07181,1,10.5;t:brick4;til:1,1.207181;clr:255,178,178,255;;
i:cuboid_45;pos:203.8733,-936.2238,48.77258;rot:326.9825,256.546,97.42687;m:cuboid;scl:12.07181,1,10.5;t:brick4;til:1,1.207181;clr:255,178,178,255;;
i:cuboid_46;pos:47.83543,-1040.485,-48.77258;rot:285.8584,315.5558,45.5558;m:cuboid;scl:12.07181,1,10.5;t:brick4;til:1,1.207181;clr:255,178,178,255;;
i:cuboid_47;pos:-161.6789,-558.0304,-194.4496;rot:43.73648,39.7425,50.25751;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_48;pos:-241.9696,-638.3211,-194.4496;rot:27.51234,51.21426,69.63409;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_49;pos:-285.4226,-743.2259,-194.4496;rot:9.335303,55.73465,83.69389;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_50;pos:-285.4226,-856.7741,-194.4496;rot:350.6647,55.73465,276.3061;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_51;pos:-56.77409,-514.5774,-194.4496;rot:54.63617,16.27636,19.69896;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_52;pos:161.6789,-558.0304,194.4496;rot:43.73648,219.7425,230.2575;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_53;pos:241.9696,-961.6789,194.4496;rot:332.4877,231.2143,110.3659;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_54;pos:285.4226,-743.2259,-194.4496;rot:9.335303,304.2654,276.3061;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_55;pos:285.4226,-743.2259,194.4496;rot:9.335304,235.7346,263.6939;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_56;pos:285.4226,-856.7741,-194.4496;rot:350.6647,304.2654,83.69389;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_57;pos:285.4226,-856.7741,194.4496;rot:350.6647,235.7346,96.30611;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_58;pos:56.77409,-514.5774,-194.4496;rot:54.63617,343.7236,340.3011;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_59;pos:56.77409,-514.5774,194.4496;rot:54.63617,196.2764,199.699;m:cuboid;scl:14.31587,1,10.5;t:brick4;til:1,1.431587;clr:255,255,255,255;;
i:cuboid_60;pos:-285.4226,-990.7133,-68.28162;rot:326.9825,76.54603,277.4269;m:cuboid;scl:16.69365,1,10.5;t:brick4;til:1,1.669365;clr:255,255,255,255;;
i:cuboid_61;pos:190.7133,-514.5774,-68.28162;rot:54.63617,289.699,286.2764;m:cuboid;scl:16.69365,1,10.5;t:brick4;til:1,1.669365;clr:255,255,255,255;;
i:cuboid_62;pos:285.4226,-609.2867,68.28162;rot:33.01746,256.546,262.5731;m:cuboid;scl:16.69365,1,10.5;t:brick4;til:1,1.669365;clr:255,255,255,255;;
i:cuboid_63;pos:285.4226,-990.7133,-68.28162;rot:326.9825,283.454,82.57314;m:cuboid;scl:16.69365,1,10.5;t:brick4;til:1,1.669365;clr:255,255,255,255;;
i:cuboid_64;pos:285.4226,-990.7133,68.28162;rot:326.9825,256.546,97.42687;m:cuboid;scl:16.69365,1,10.5;t:brick4;til:1,1.669365;clr:255,255,255,255;;
i:cuboid_65;pos:336.6789,-733.0304,-68.28162;rot:11.03108,281.4646,272.2222;m:cuboid;scl:16.69365,1,10.5;t:brick4;til:1,1.669365;clr:255,255,255,255;;
i:cuboid_66;pos:336.6789,-733.0304,68.28162;rot:11.03108,258.5354,267.7777;m:cuboid;scl:16.69365,1,10.5;t:brick4;til:1,1.669365;clr:255,255,255,255;;
i:cuboid_67;pos:336.6789,-866.9696,-68.28162;rot:348.9689,281.4646,87.77776;m:cuboid;scl:16.69365,1,10.5;t:brick4;til:1,1.669365;clr:255,255,255,255;;
i:cuboid_68;pos:66.9696,-463.3211,-68.28162;rot:74.14164,315.5558,314.4442;m:cuboid;scl:16.69365,1,10.5;t:brick4;til:1,1.669365;clr:255,255,255,255;;
i:cuboid_69;pos:-24.33175,-783.7421,-147.1178;rot:6.222262,9.391091,56.76157;m:cuboid;scl:2.081343,1,10.5;t:brick4;til:1,0.2081343;clr:255,102,102,255;;
i:cuboid_70;pos:-24.33175,-816.2579,-147.1178;rot:353.7777,9.391091,303.2384;m:cuboid;scl:2.081343,1,10.5;t:brick4;til:1,0.2081343;clr:255,102,102,255;;
i:cuboid_71;pos:-28.70126,-794.291,-147.1178;rot:2.181217,11.03914,78.96087;m:cuboid;scl:2.081343,1,10.5;t:brick4;til:1,0.2081343;clr:255,102,102,255;;
i:cuboid_72;pos:-28.70126,-805.709,-147.1178;rot:357.8188,11.03914,281.0391;m:cuboid;scl:2.081343,1,10.5;t:brick4;til:1,0.2081343;clr:255,102,102,255;;
i:cuboid_73;pos:-27.09659,-759.4471,-245.1963;rot:9.33534,6.30619,34.26542;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_74;pos:-27.09659,-840.5529,-245.1963;rot:350.6647,6.30619,325.7346;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_75;pos:-40.55292,-772.9034,-245.1963;rot:6.222262,9.391091,56.76157;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_76;pos:-40.55292,-827.0966,-245.1963;rot:353.7777,9.391091,303.2384;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_77;pos:-9.515058,-752.1646,-245.1963;rot:11.03108,2.222251,11.46459;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_78;pos:-9.515058,-847.8354,-245.1963;rot:348.9689,2.222251,348.5354;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_79;pos:-9.515058,-847.8354,245.1963;rot:348.9689,177.7778,191.4646;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_80;pos:27.09659,-759.4471,-245.1963;rot:9.33534,353.6938,325.7346;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_81;pos:27.09659,-840.5529,-245.1963;rot:350.6647,353.6938,34.26542;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_82;pos:40.55292,-772.9034,-245.1963;rot:6.222262,350.6089,303.2384;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_83;pos:40.55292,-827.0966,-245.1963;rot:353.7777,350.6089,56.76157;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_84;pos:47.83543,-790.4849,-245.1963;rot:2.181217,348.9609,281.0391;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_85;pos:47.83543,-809.5151,-245.1963;rot:357.8188,348.9609,78.96087;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_86;pos:9.515058,-752.1646,-245.1963;rot:11.03108,357.7777,348.5354;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_87;pos:9.515058,-847.8354,-245.1963;rot:348.9689,357.7777,11.46459;m:cuboid;scl:3.000685,1,10.5;t:brick4;til:1,0.3000685;clr:255,178,178,255;;
i:cuboid_88;pos:-13.32108,-733.0304,-343.2748;rot:11.03108,2.222251,11.46459;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_89;pos:-13.32108,-733.0304,343.2748;rot:11.03108,177.7778,168.5354;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_90;pos:-13.32108,-866.9696,-343.2748;rot:348.9689,2.222251,348.5354;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_91;pos:-13.32108,-866.9696,343.2748;rot:348.9689,177.7778,191.4646;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_92;pos:-37.93523,-743.2259,-343.2748;rot:9.33534,6.30619,34.26542;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_93;pos:-37.93523,-743.2259,343.2748;rot:9.33534,173.6938,145.7346;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_94;pos:-37.93523,-856.7741,-343.2748;rot:350.6647,6.30619,325.7346;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_95;pos:-37.93523,-856.7741,343.2748;rot:350.6647,173.6938,214.2654;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_96;pos:-56.77409,-762.0648,-343.2748;rot:6.222262,9.391091,56.76157;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_97;pos:-56.77409,-762.0648,343.2748;rot:6.222262,170.6089,123.2384;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_98;pos:-56.77409,-837.9352,-343.2748;rot:353.7777,9.391091,303.2384;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_99;pos:-66.9696,-786.6789,-343.2748;rot:2.181217,11.03914,78.96087;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_100;pos:-66.9696,-786.6789,343.2748;rot:2.181217,168.9609,101.0391;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_101;pos:-66.9696,-813.3211,-343.2748;rot:357.8188,11.03914,281.0391;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_102;pos:13.32108,-733.0304,-343.2748;rot:11.03108,357.7777,348.5354;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_103;pos:13.32108,-733.0304,343.2748;rot:11.03108,182.2222,191.4646;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_104;pos:13.32108,-866.9696,-343.2748;rot:348.9689,357.7777,11.46459;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_105;pos:13.32108,-866.9696,343.2748;rot:348.9689,182.2222,168.5354;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_106;pos:37.93523,-743.2259,343.2748;rot:9.33534,186.3062,214.2654;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_107;pos:37.93523,-856.7741,-343.2748;rot:350.6647,353.6938,34.26542;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_108;pos:37.93523,-856.7741,343.2748;rot:350.6647,186.3062,145.7346;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_109;pos:56.77409,-762.0648,343.2748;rot:6.222262,189.3911,236.7616;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_110;pos:56.77409,-837.9352,-343.2748;rot:353.7777,350.6089,56.76157;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_111;pos:56.77409,-837.9352,343.2748;rot:353.7777,189.3911,123.2384;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_112;pos:66.9696,-786.6789,-343.2748;rot:2.181217,348.9609,281.0391;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_113;pos:66.9696,-786.6789,343.2748;rot:2.181217,191.0391,258.9609;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_114;pos:66.9696,-813.3211,-343.2748;rot:357.8188,348.9609,78.96087;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_115;pos:66.9696,-813.3211,343.2748;rot:357.8188,191.0391,101.0391;m:cuboid;scl:3.920026,1,10.5;t:brick4;til:1,0.3920026;clr:255,255,255,255;;
i:cuboid_116;pos:-81.73427,-783.7421,-124.7204;rot:6.222262,33.23843,80.60891;m:cuboid;scl:4.594244,1,10.5;t:brick4;til:1,0.4594244;clr:255,102,102,255;;
i:cuboid_117;pos:-81.73427,-816.2579,-124.7204;rot:353.7777,33.23843,279.3911;m:cuboid;scl:4.594244,1,10.5;t:brick4;til:1,0.4594244;clr:255,102,102,255;;
i:cuboid_118;pos:16.25796,-881.7343,-124.7204;rot:326.9825,352.573,13.45407;m:cuboid;scl:4.594244,1,10.5;t:brick4;til:1,0.4594244;clr:255,102,102,255;;
i:cuboid_119;pos:46.29874,-869.291,-124.7204;rot:332.4877,339.6341,38.78574;m:cuboid;scl:4.594244,1,10.5;t:brick4;til:1,0.4594244;clr:255,102,102,255;;
i:cuboid_120;pos:69.29096,-753.7012,-124.7204;rot:17.97837,330.9448,299.0552;m:cuboid;scl:4.594244,1,10.5;t:brick4;til:1,0.4594244;clr:255,102,102,255;;
i:cuboid_121;pos:69.29096,-846.2988,-124.7204;rot:342.0216,330.9448,60.94479;m:cuboid;scl:4.594244,1,10.5;t:brick4;til:1,0.4594244;clr:255,102,102,255;;
i:cuboid_122;pos:81.73427,-783.7421,-124.7204;rot:6.222262,326.7616,279.3911;m:cuboid;scl:4.594244,1,10.5;t:brick4;til:1,0.4594244;clr:255,102,102,255;;
i:cuboid_123;pos:81.73427,-816.2579,-124.7204;rot:353.7777,326.7616,80.60891;m:cuboid;scl:4.594244,1,10.5;t:brick4;til:1,0.4594244;clr:255,102,102,255;;
i:cuboid_124;pos:-122.324,-824.3317,-83.33553;rot:350.6647,55.73465,276.3061;m:cuboid;scl:6.479455,1,10.5;t:brick4;til:1,0.6479455;clr:255,102,102,255;;
i:cuboid_125;pos:-24.33175,-677.676,-83.33553;rot:54.63617,16.27636,19.69896;m:cuboid;scl:6.479455,1,10.5;t:brick4;til:1,0.6479455;clr:255,102,102,255;;
i:cuboid_126;pos:-24.33175,-922.324,-83.33553;rot:305.3638,16.27636,340.3011;m:cuboid;scl:6.479455,1,10.5;t:brick4;til:1,0.6479455;clr:255,102,102,255;;
i:cuboid_127;pos:-24.33175,-922.324,83.33553;rot:305.3638,163.7236,199.699;m:cuboid;scl:6.479455,1,10.5;t:brick4;til:1,0.6479455;clr:255,102,102,255;;
i:cuboid_128;pos:-69.29096,-696.2988,-83.33553;rot:43.73648,39.7425,50.25751;m:cuboid;scl:6.479455,1,10.5;t:brick4;til:1,0.6479455;clr:255,102,102,255;;
i:cuboid_129;pos:-69.29096,-903.7012,-83.33553;rot:316.2635,39.7425,309.7425;m:cuboid;scl:6.479455,1,10.5;t:brick4;til:1,0.6479455;clr:255,102,102,255;;
i:cuboid_130;pos:103.7013,-869.291,83.33553;rot:332.4877,231.2143,110.3659;m:cuboid;scl:6.479455,1,10.5;t:brick4;til:1,0.6479455;clr:255,102,102,255;;
i:cuboid_131;pos:122.324,-775.6683,-83.33553;rot:9.335303,304.2654,276.3061;m:cuboid;scl:6.479455,1,10.5;t:brick4;til:1,0.6479455;clr:255,102,102,255;;
