i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:-202.9985,1263.99,-417.0259;rot:0,113,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:cuboid_1;pos:-223.7063,1258.191,-470.0487;rot:0,113,0;m:cuboid;scl:4,4,4;mat:transparent;clr:255,255,0,175;l:0;c:trigger;c:finish;;
i:cuboid_2;pos:-177.6811,1264.191,-489.5853;rot:0,113,0;m:cuboid;scl:3,10,14;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_3;pos:-223.7063,1258.191,-470.0487;rot:0,113,0;m:cuboid;scl:2,10,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_4;pos:-159.7361,1264.939,-319.7731;rot:0,113,0;m:cuboid;scl:5,5,5;mat:transparent;clr:0,0,255,175;l:0;c:start;;
i:tube_17;pos:456.8196,2232.572,1391.238;rot:306.4146,252.0709,298.8687;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_18;pos:272.2588,2151.546,761.2958;rot:312.8356,267.1204,109.5107;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_19;pos:260.876,2129.994,688.1445;rot:316.1414,256.251,117.2794;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_20;pos:257.3037,2100.716,616.9043;rot:39.64016,66.66735,236.3265;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_21;pos:265.6021,2141.768,724.5763;rot:314.3594,261.5255,113.5643;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_22;pos:258.105,2116.286,652.1911;rot:318.151,251.301,120.6478;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_23;pos:280.8109,2159.277,798.1105;rot:311.5991,273.0126,105.1448;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_24;pos:291.2139,2164.92,834.8279;rot:310.6772,279.1611,100.5123;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_25;pos:266.7085,2043.692,516.8686;rot:32.07284,54.45229,229.1378;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_26;pos:261.6167,2064.323,549.0655;rot:34.72924,58.26801,231.2396;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_27;pos:258.4763,2083.365,582.4691;rot:37.25884,62.33059,233.6283;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_28;pos:273.7248,2021.578,486.0469;rot:29.30897,50.85645,227.3015;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_29;pos:282.629,1998.097,456.762;rot:26.45354,47.45296,225.7091;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_30;pos:455.2506,2292.184,1549.361;rot:322.449,100.1842,244.1221;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_31;pos:-329.3903,1734.819,1809.264;rot:29.94265,295.7727,304.5939;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_32;pos:-177.9602,1983.223,2061.129;rot:0.2899334,331.371,314.4938;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_33;pos:11.28014,2159.738,2088.708;rot:339.7554,353.7137,310.5109;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_34;pos:-302.6543,1807.389,1915.306;rot:20.78099,308.9454,310.2748;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_35;pos:428.5146,2326.77,1673.115;rot:317.2926,81.70843,256.1023;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_36;pos:376.8647,2338.117,1793.238;rot:315.5068,61.08613,270.4065;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_37;pos:214.3601,2289.639,1990.653;rot:322.8143,22.21342,296.4453;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_38;pos:114.5801,2233.117,2054.49;rot:330.5294,6.776748,304.9821;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_39;pos:303.8205,2325.453,1901.544;rot:317.4966,40.53401,284.6354;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_40;pos:-88.49991,2074.504,2090.972;rot:349.8343,342.1819,313.5566;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_41;pos:-251.0044,1892.115,2001.213;rot:10.73557,320.5402,313.4459;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_42;pos:-245.2395,1685.698,1423.086;rot:308.722,35.13609,121.0385;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_43;pos:-136.464,1787.926,1291.353;rot:329.0429,5.16453,141.3172;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_44;pos:73.67439,2109.819,1303.651;rot:18.81658,330.2862,145.5117;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_45;pos:31.68851,2027.928,1263.502;rot:6.293234,338.765,147.369;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_46;pos:-332.2817,1685.869,1704.291;rot:308.7624,110.5315,58.87726;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_47;pos:-19.73342,1943.165,1247.636;rot:353.6404,346.8375,147.3643;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_48;pos:118.7306,2243.234,1444.387;rot:42.02231,307.8839,133.823;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_49;pos:-316.9138,1663.874,1607.539;rot:303.1823,86.65035,78.32337;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_50;pos:103.3628,2183.256,1365.347;rot:30.89597,320.4528,141.3471;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_51;pos:-193.8176,1728.03,1347.955;rot:317.9231,17.75215,133.772;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_52;pos:-287.2253,1663.816,1511.625;rot:303.1663,59.04982,101.5591;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_53;pos:-77.08707,1861.304,1257.136;rot:341.1186,355.3205,145.4965;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_54;pos:-381.9923,2053.41,1923.563;rot:0.06899004,330.5482,133.5466;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_55;pos:-311.9686,2122.816,1947.974;rot:349.8025,341.5426,132.5882;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_56;pos:-73.96979,2285.976,1874.403;rot:323.3885,21.95443,115.5631;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_57;pos:-3.390913,2312.96,1806.529;rot:318.2505,40.18366,103.9953;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_58;pos:-233.7014,2187.55,1947.62;rot:339.9184,353.2502,129.526;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_59;pos:-499.582,1864.118,1726.032;rot:28.84,294.3085,123.6672;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_60;pos:-152.5244,2243.201,1922.526;rot:330.8965,6.456537,124.009;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_61;pos:-439.0004,1984.062,1876.052;rot:10.31942,319.5367,132.5188;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_62;pos:117.0181,2286.828,1535.427;rot:322.8899,99.30636,64.55954;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_63;pos:95.47166,2313.401,1631.062;rot:318.0852,80.83527,76.30351;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_64;pos:-479.1081,1919.498,1808.678;rot:20.13906,307.7657,129.3705;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_65;pos:54.40241,2322.314,1723.53;rot:316.3536,60.48234,90.17327;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_66;pos:363.0335,2186.002,1053.976;rot:310.3415,282.3112,278.1169;m:tube;scl:5,62.29782,5;mat:transparent;clr:255,255,0,200;;
i:tube_67;pos:187.9621,794.2619,-902.404;rot:352.835,345.6483,324.0528;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_68;pos:-413.7397,372.6091,-109.358;rot:311.9625,107.6486,240.5872;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_69;pos:-326.9996,328.619,-448.3722;rot:306.0847,59.95979,278.5353;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_70;pos:367.7858,1079.286,-798.4142;rot:17.07365,327.7665,322.4603;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_71;pos:286.9568,938.8037,-871.6782;rot:5.014974,336.8751,324.2186;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_72;pos:454.5259,1310.71,-546.8017;rot:39.29122,304.5856,311.1853;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_73;pos:-36.76162,532.0082,-830.9073;rot:329.3604,5.594966,317.3929;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_74;pos:-246.1707,362.7962,-603.0814;rot:310.713,36.85556,296.7514;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_75;pos:424.9405,1206.137,-687.6049;rot:28.67081,317.4118,318.4056;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_76;pos:-147.1759,432.1685,-733.5571;rot:318.9916,19.02095,309.4787;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_77;pos:77.54771,655.5115,-888.4979;rot:340.8301,354.9049,321.9279;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_78;pos:-384.1543,331.9659,-279.9723;rot:306.5599,85.40795,257.9131;m:tube;scl:5,26.12078,5;mat:transparent;clr:153,102,255,200;;
i:tube_79;pos:474.2268,1511.072,-134.3066;rot:39.31895,66.04726,235.9323;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_80;pos:461.4801,1578.729,-19.37768;rot:30.9735,52.98138,228.3687;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_81;pos:457.8631,1589.821,-4.150561;rot:29.67811,51.31803,227.5289;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_82;pos:473.7693,1519.589,-117.1246;rot:38.21803,64.00867,234.6556;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_83;pos:472.8546,1528.507,-100.1654;rot:37.08296,62.03209,233.4481;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_84;pos:449.3168,1612.952,25.23238;rot:27.0289,48.11694,226.0079;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_85;pos:467.3813,1557.558,-50.8166;rot:33.49561,56.4457,230.2174;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_86;pos:453.8072,1601.232,10.7251;rot:28.36312,49.69773,226.7426;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_87;pos:444.3972,1624.965,39.35481;rot:25.6782,46.57432,225.323;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_88;pos:471.484,1537.814,-83.4484;rot:35.91615,60.11458,232.3072;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_89;pos:469.6588,1547.502,-66.99254;rot:34.71967,58.25348,231.2312;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_90;pos:464.654,1567.971,-34.93896;rot:32.24626,54.68954,229.2643;m:tube;scl:5,2.793365,5;mat:transparent;clr:178,255,204,200;;
i:tube_91;pos:-94.95276,1615.576,1805.3;rot:329.8244,6.128969,132.1566;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_92;pos:42.03801,1705.818,1674.676;rot:313.4966,38.71025,111.4003;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_93;pos:-241.9619,1470.773,1842.622;rot:351.651,344.1275,139.6301;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_94;pos:-396.9878,1237.617,1709.44;rot:25.48937,313.6372,134.7684;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_95;pos:-169.7314,1547.804,1836.902;rot:340.406,354.3777,137.137;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_96;pos:-359.5985,1310.209,1776.642;rot:14.54569,324.5803,138.5415;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_97;pos:-22.72215,1669.472,1749.967;rot:320.5286,20.52044,123.8821;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_98;pos:132.3037,1717.318,1485.752;rot:311.0791,83.81977,77.23371;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_99;pos:151.6579,1691.689,1384.993;rot:316.3273,104.245,62.37749;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_100;pos:94.91447,1722.137,1584.557;rot:310.0307,60.71283,94.89155;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_101;pos:-416.342,1176.906,1625.041;rot:35.46524,300.5983,128.1086;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_102;pos:-306.722,1389.734,1822.068;rot:3.14389,334.4622,140.0721;m:tube;scl:5,15.97848,5;mat:transparent;clr:255,255,178,200;;
i:tube_103;pos:162.7918,1638.481,1263.59;rot:5.821047,82.56833,244.3096;m:tube;scl:5,23.58423,5;mat:transparent;clr:204,204,102,200;;
i:tube_104;pos:-420.3531,863.0646,978.194;rot:63.21214,18.99355,197.1563;m:tube;scl:5,194.1593,5;mat:transparent;clr:229,178,102,200;;
i:tube_105;pos:-799.1967,1374.761,321.4918;rot:304.5068,281.2811,95.99352;m:tube;scl:5,14.35816,5;mat:transparent;clr:102,178,229,200;;
i:tube_106;pos:-322.4951,830.0171,575.5101;rot:26.43205,38.30886,38.95105;m:tube;scl:5,14.35816,5;mat:transparent;clr:102,178,229,200;;
i:tube_107;pos:-190.5571,839.2682,281.9798;rot:313.7957,283.2842,99.15625;m:tube;scl:5,14.35816,5;mat:transparent;clr:102,178,229,200;;
i:tube_108;pos:-791.6159,1271.307,80.51702;rot:16.4655,49.10828,50.07043;m:tube;scl:5,14.35816,5;mat:transparent;clr:102,178,229,200;;
i:tube_109;pos:-765.5124,1369.014,409.6136;rot:306.1278,309.4738,72.82706;m:tube;scl:5,15.04811,5;mat:transparent;clr:102,178,229,200;;
i:tube_110;pos:-356.1593,901.2313,627.7441;rot:13.42699,27.88441,35.37112;m:tube;scl:5,15.04811,5;mat:transparent;clr:102,178,229,200;;
i:tube_111;pos:-231.8971,838.3491,196.9898;rot:314.5168,306.7187,82.93248;m:tube;scl:5,15.04811,5;mat:transparent;clr:102,178,229,200;;
i:tube_112;pos:-748.0378,1209.349,23.98975;rot:6.386228,36.04316,46.75797;m:tube;scl:5,15.04811,5;mat:transparent;clr:102,178,229,200;;
i:tube_113;pos:-594.4931,1229.011,619.5257;rot:330.2102,355.5657,40.46196;m:tube;scl:5,16.78914,5;mat:transparent;clr:102,178,229,200;;
i:tube_114;pos:-527.1444,1152.05,655.4135;rot:339.9115,4.096823,36.84416;m:tube;scl:5,16.78914,5;mat:transparent;clr:102,178,229,200;;
i:tube_115;pos:-445.6142,940.1136,4.947556;rot:331.2405,354.4748,53.93803;m:tube;scl:5,16.78914,5;mat:transparent;clr:102,178,229,200;;
i:tube_116;pos:-530.5321,1001.152,-23.51522;rot:338.9275,5.210737,49.68531;m:tube;scl:5,16.78914,5;mat:transparent;clr:102,178,229,200;;
i:tube_117;pos:-305.0753,773.5886,506.5253;rot:39.43493,52.50918,46.73643;m:tube;scl:5,13.9443,5;mat:transparent;clr:102,178,229,200;;
i:tube_118;pos:-816.6392,1358.171,233.93;rot:309.8943,253.339,118.4486;m:tube;scl:5,13.9443,5;mat:transparent;clr:102,178,229,200;;
i:tube_119;pos:-169.827,858.5352,368.2676;rot:314.0625,256.7524,116.6716;m:tube;scl:5,13.9443,5;mat:transparent;clr:102,178,229,200;;
i:tube_120;pos:-814.8425,1322.17,152.0714;rot:22.44354,67.49756,58.00862;m:tube;scl:5,13.9443,5;mat:transparent;clr:102,178,229,200;;
i:tube_121;pos:-403.7737,982.3782,659.6677;rot:1.3043,19.41528,34.28051;m:tube;scl:5,15.80739,5;mat:transparent;clr:102,178,229,200;;
i:tube_122;pos:-717.8813,1341.32,492.2903;rot:312.5352,330.5472,56.4245;m:tube;scl:5,15.80739,5;mat:transparent;clr:102,178,229,200;;
i:tube_123;pos:-291.0294,855.8405,119.0893;rot:318.4076,326.3862,69.76369;m:tube;scl:5,15.80739,5;mat:transparent;clr:102,178,229,200;;
i:tube_124;pos:-687.0781,1140.519,-13.6583;rot:356.4687,25.12637,46.02724;m:tube;scl:5,15.80739,5;mat:transparent;clr:102,178,229,200;;
i:tube_125;pos:-659.5499,1293.568,563.8874;rot:320.9851,345.0111,46.45829;m:tube;scl:5,16.43661,5;mat:transparent;clr:102,178,229,200;;
i:tube_126;pos:-462.0936,1067.928,669.1052;rot:350.1957,11.76531,34.85355;m:tube;scl:5,16.43661,5;mat:transparent;clr:102,178,229,200;;
i:tube_127;pos:-363.9243,890.5505,53.58732;rot:324.2813,341.941,60.35081;m:tube;scl:5,16.43661,5;mat:transparent;clr:102,178,229,200;;
i:tube_128;pos:-612.8909,1069.507,-29.86132;rot:347.3091,15.14471,47.09095;m:tube;scl:5,16.43661,5;mat:transparent;clr:102,178,229,200;;
i:tube_129;pos:369.5255,1800.761,233.6591;rot:24.99639,45.81578,44.99836;m:tube;scl:5,77.54499,5;mat:transparent;clr:255,178,178,200;;
i:tube_130;pos:-420.3531,478.5686,153.6397;rot:294.532,200.6773,161.3256;m:tube;scl:5,53.67667,5;mat:transparent;clr:204,25,127,200;;
i:tube_131;pos:468.1959,1430.723,-308.5031;rot:351.5207,268.2213,294.9861;m:tube;scl:5,50.43002,5;mat:transparent;clr:204,102,255,200;;
i:tube_132;pos:-956.5712,827.7559,-916.1218;rot:309.9474,297.5264,266.4576;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_133;pos:-938.7817,823.1216,-883.9666;rot:312.3824,316.731,251.9381;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_134;pos:-961.4908,827.8923,-927.4699;rot:309.8738,290.8582,271.5748;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_135;pos:-975.4101,821.403,-974.3223;rot:313.2564,265.4377,290.7405;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_136;pos:-977.3531,818.067,-986.0738;rot:314.9149,259.7659,294.8165;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_137;pos:-965.8572,827.3202,-939.0288;rot:310.1814,284.2209,276.6595;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_138;pos:-979.3069,809.4556,-1009.164;rot:318.9906,249.4567,301.8682;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_139;pos:-951.1258,826.9115,-905.0477;rot:310.4,304.1236,261.4144;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_140;pos:-969.6461,826.0425,-950.7341;rot:310.8614,277.7165,281.6063;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_141;pos:-972.8363,824.0664,-962.5205;rot:311.8953,271.4344,286.3224;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_142;pos:-978.6544,814.0771,-997.7095;rot:316.8369,254.4401,298.5264;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_143;pos:-945.1849,825.3639,-894.3094;rot:311.2189,310.5517,256.5468;m:tube;scl:5,1.906212,5;mat:transparent;clr:229,51,255,200;;
i:tube_144;pos:-508.5531,1244.354,-1184.576;rot:316.5524,255.1671,118.0277;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_145;pos:-507.2656,1248.384,-1172.887;rot:315.2851,258.6559,115.6;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_146;pos:-500.8743,1257.87,-1137.422;rot:312.1861,270.0007,107.3871;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_147;pos:-503.4215,1255.15,-1149.281;rot:313.093,266.0764,110.2747;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_148;pos:-497.918,1260.138,-1125.562;rot:311.418,274.0505,104.3677;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_149;pos:-509.4131,1239.905,-1196.152;rot:317.9203,251.8283,120.2952;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_150;pos:-494.5598,1261.95,-1113.731;rot:310.7956,278.2163,101.2282;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_151;pos:-509.8437,1235.048,-1207.587;rot:319.3818,248.6338,122.4061;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_152;pos:-505.5537,1251.986,-1161.113;rot:314.129,262.2932,113.0144;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_153;pos:-486.6707,1264.186,-1090.267;rot:310.0164,286.7991,94.68727;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_154;pos:-482.1589,1264.606,-1078.692;rot:309.8687,291.1677,91.33722;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_155;pos:-490.8077,1263.3,-1101.957;rot:310.3265,282.4743,97.99267;m:tube;scl:5,1.91499,5;mat:transparent;clr:255,51,204,200;;
i:tube_156;pos:169.1598,1293.888,525.2547;rot:37.79099,63.25123,54.18909;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_157;pos:169.2831,1282.894,501.9709;rot:318.6139,250.2703,301.3324;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_158;pos:168.5717,1278.113,490.0331;rot:316.9879,254.0618,298.7847;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_159;pos:169.4794,1288.158,513.7241;rot:39.64149,66.66978,56.32793;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_160;pos:167.3473,1273.828,477.9487;rot:315.4929,258.0527,296.0236;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_161;pos:165.614,1270.056,465.7567;rot:314.1443,262.2407,293.0521;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_162;pos:144.9491,1258.716,392.5412;rot:309.8744,290.8254,271.5999;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_163;pos:163.3773,1266.806,453.4961;rot:312.9564,266.6246,289.8738;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_164;pos:160.6444,1264.091,441.2062;rot:311.9424,271.1942,286.5011;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_165;pos:153.7265,1260.295,416.6962;rot:310.4908,280.804,279.2646;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_166;pos:149.5637,1259.226,404.5548;rot:310.0745,285.783,275.4653;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
i:tube_167;pos:157.424,1261.918,428.9265;rot:311.1169,275.9289,282.9557;m:tube;scl:5,1.984259,5;mat:transparent;clr:127,204,229,200;;
