i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:1022.705,-39.98119,57.96888;rot:0,89.88646,0;m:cuboid;scl:200,30,200;clr:255,162,40,255;;
i:cuboid_56;pos:-631.4007,99.04201,-413.9244;rot:0,27.29693,0;m:cuboid;scl:5,20,10;t:empty;clr:255,150,40,255;;
i:cuboid_57;pos:-662.7949,98.67553,-462.4093;rot:0,10.47967,0;m:cuboid;scl:10,20,20;t:empty;clr:255,150,40,255;;
i:cuboid_58;pos:-657.3271,98.23596,-526.4148;rot:0,349.6822,0;m:cuboid;scl:10,20,20;t:empty;clr:255,150,40,255;;
i:cuboid_59;pos:-639.3884,97.51109,-563.6102;rot:0,316.0418,0;m:cuboid;scl:10,20,20;t:empty;clr:255,150,40,255;;
i:cuboid_60;pos:-659.1569,97.77973,-527.5641;rot:0,333.3112,0;m:cuboid;scl:10,20,20;t:empty;clr:255,150,40,255;;
i:cuboid_61;pos:-568.0353,99.2032,-290.0656;rot:0,234.1924,0;m:cuboid;scl:10,20,20;t:empty;clr:255,150,40,255;;
i:cuboid_62;pos:-664.8756,298.1075,-531.318;rot:0,358.8307,0;m:cuboid;scl:10,20,20;t:empty;clr:255,150,40,255;;
i:cuboid_63;pos:-601.1994,299.4081,-353.7793;rot:0,125.8281,0;m:cuboid;scl:10,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_64;pos:-628.7779,298.8682,-404.2369;rot:0,297.1974,0;m:cuboid;scl:10,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_65;pos:-635.508,298.4072,-432.8879;rot:0,281.3828,0;m:cuboid;scl:10,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_66;pos:-581.0519,299.7231,-63.94136;rot:0,336.3315,0;m:cuboid;scl:10,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_67;pos:-607.1802,299.6579,3.397977;rot:0,250.2053,0;m:cuboid;scl:10,20,10;t:empty;clr:255,150,40,255;;
i:cuboid_68;pos:-627.7573,299.5739,149.1034;rot:0,357.6496,0;m:cuboid;scl:10,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_69;pos:-603.5225,299.4695,396.2204;rot:0,16.88506,0;m:cuboid;scl:10,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_70;pos:-516.4456,299.4758,547.678;rot:0,31.83031,0;m:cuboid;scl:10,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_71;pos:-459.0582,299.5926,584.0676;rot:0,231.5297,0;m:cuboid;scl:10,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_72;pos:-315.8041,299.9532,643.2922;rot:0,70.87811,0;m:cuboid;scl:10,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_73;pos:-198.4899,99.3071,624.8634;rot:0,262.9033,0;m:cuboid;scl:10,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_74;pos:-198.3623,300.2346,648.0785;rot:0,100.9637,0;m:cuboid;scl:10,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_75;pos:-624.1014,299.9099,-155.4705;rot:0,14.53059,0;m:cuboid;scl:10,20,20;t:empty;clr:255,150,40,255;;
i:cuboid_76;pos:-641.856,99.05655,-362.1109;rot:0,28.76322,0;m:cuboid;scl:10,20,20;t:empty;clr:255,150,40,255;;
i:cuboid_77;pos:-673.7215,288.5438,-363.8235;rot:0,10.46854,0;m:cuboid;scl:10,40,20;t:empty;clr:255,150,40,255;;
i:cuboid_78;pos:-662.8511,288.3486,-545.0798;rot:0,333.1583,0;m:cuboid;scl:10,40,20;t:empty;clr:255,150,40,255;;
i:cuboid_79;pos:-683.2352,288.4441,-490.6612;rot:0,358.8038,0;m:cuboid;scl:10,40,20;t:empty;clr:255,150,40,255;;
i:cuboid_80;pos:-509.3338,-2.665138,-633.1808;rot:0,289.7461,0;m:cuboid;scl:10,40,20;t:empty;clr:255,150,40,255;;
i:cuboid_81;pos:-602.3175,288.345,-614.5037;rot:0,313.2402,0;m:cuboid;scl:10,40,20;t:empty;clr:255,150,40,255;;
i:cuboid_82;pos:-459.361,-2.645274,-642.2133;rot:0,278.5186,0;m:cuboid;scl:10,40,20;t:empty;clr:255,150,40,255;;
i:cuboid_83;pos:-525.2407,288.2378,-642.2281;rot:0,292.7302,0;m:cuboid;scl:10,40,20;t:empty;clr:255,150,40,255;;
i:cuboid_84;pos:-426.3746,288.2573,-658.8298;rot:0,276.5798,0;m:cuboid;scl:10,40,20;t:empty;clr:255,150,40,255;;
i:cuboid_85;pos:-633.3826,288.4303,-235.548;rot:0,208.9771,0;m:cuboid;scl:10,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_86;pos:-605.8618,288.4939,-178.4616;rot:0,108.227,0;m:cuboid;scl:5,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_87;pos:-596.7661,288.4421,-139.4837;rot:0,277.9144,0;m:cuboid;scl:5,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_88;pos:-596.4838,288.4034,-103.5624;rot:0,262.2603,0;m:cuboid;scl:5,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_89;pos:-591.0672,288.4856,-34.03007;rot:0,159.6076,0;m:cuboid;scl:5,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_90;pos:-615.3235,288.4875,57.86459;rot:0,170.3525,0;m:cuboid;scl:5,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_91;pos:-645.0829,288.476,-24.41831;rot:0,261.4987,0;m:cuboid;scl:20,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_92;pos:-421.8072,-1.187935,-158.1375;rot:0,180.1913,0;m:cuboid;scl:2,40,1;t:empty;clr:255,150,40,255;;
i:cuboid_93;pos:-422.827,-1.136852,-164.7974;rot:0,197.3256,0;m:cuboid;scl:2,40,1;t:empty;clr:255,150,40,255;;
i:cuboid_94;pos:-649.2315,288.4106,136.6541;rot:0,265.7379,0;m:cuboid;scl:20,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_95;pos:-614.4454,199.7087,62.34562;rot:0,258.5958,0;m:cuboid;scl:20,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_96;pos:-647.7359,288.4991,332.1774;rot:0,274.7693,0;m:cuboid;scl:20,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_97;pos:-604.0683,288.3581,469.2826;rot:0,292.2668,0;m:cuboid;scl:20,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_98;pos:-597.1198,288.2941,583.2844;rot:0,218.4677,0;m:cuboid;scl:20,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_99;pos:-467.0485,288.3016,633.819;rot:0,323.7556,0;m:cuboid;scl:20,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_100;pos:-395.02,288.2899,661.8857;rot:0,341.6892,0;m:cuboid;scl:20,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_101;pos:-566.217,288.2446,610.2042;rot:0,310.0859,0;m:cuboid;scl:20,40,10;t:empty;clr:255,150,40,255;;
i:cuboid_102;pos:-69.44128,-0.4847362,660.4724;rot:0,284.9227,0;m:cuboid;scl:20,40,40;t:empty;clr:255,150,40,255;;
i:cuboid_103;pos:229.547,-0.4686538,685.9205;rot:0,100.3127,0;m:cuboid;scl:20,40,40;t:empty;clr:255,150,40,255;;
i:cuboid_104;pos:542.4355,-0.4402253,591.0125;rot:0,116.7137,0;m:cuboid;scl:20,40,40;t:empty;clr:255,150,40,255;;
i:cuboid_105;pos:653.6979,-0.6291183,480.4114;rot:0,131.4787,0;m:cuboid;scl:20,40,40;t:empty;clr:255,150,40,255;;
i:cuboid_106;pos:698.0668,-0.9144389,350.2747;rot:0,151.8354,0;m:cuboid;scl:20,40,40;t:empty;clr:255,150,40,255;;
i:cuboid_107;pos:719.3625,-1.383537,258.9719;rot:0,161.9352,0;m:cuboid;scl:20,40,40;t:empty;clr:255,150,40,255;;
i:cuboid_108;pos:810.9586,-2.224272,228.8773;rot:0,99.84863,0;m:cuboid;scl:20,40,40;t:empty;clr:255,150,40,255;;
i:cuboid_109;pos:0.6647576,188.2625,530.1765;rot:0,94.00317,0;m:cuboid;scl:10,60,5;t:empty;clr:255,150,40,255;;
i:cylinder_110;pos:28.80959,150.3978,550.7299;rot:0,351.9563,0;m:cylinder;scl:27,25,20;clr:255,150,46,255;;
i:cuboid_111;pos:-710.6387,273.0126,-676.5756;rot:0,258.2625,0;m:cuboid;scl:38,25,26;clr:255,150,46,255;;
i:cuboid_112;pos:-618.321,273.5407,-396.3174;rot:0,292.0876,0;m:cuboid;scl:6,25,4;clr:255,150,46,255;;
i:cuboid_113;pos:139.9865,299.9327,655.8727;rot:0,325.0972,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_114;pos:-266.1355,100.1253,625.2739;rot:0,355.8665,0;m:cuboid;scl:10,60,5;t:empty;clr:255,150,40,255;;
i:cylinder_115;pos:31.77248,-50.47918,556.9972;rot:0,352.8596,0;m:cylinder;scl:38,25,26;clr:255,150,46,255;;
i:cuboid_116;pos:128.9902,188.2016,575.4509;rot:0,312.5899,0;m:cuboid;scl:10,60,5;t:empty;clr:255,150,40,255;;
i:cuboid_117;pos:169.448,188.335,609.4925;rot:0,320.4603,0;m:cuboid;scl:10,60,5;t:empty;clr:255,150,40,255;;
i:cylinder_118;pos:-551.5834,-50.83232,-118.2601;rot:0,65.72784,0;m:cylinder;scl:38,25,26;clr:255,150,46,255;;
i:cuboid_119;pos:201.4832,99.44491,553.7882;rot:0,320.7914,0;m:cuboid;scl:10,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_120;pos:135.5233,300.0291,547.8234;rot:0,304.1691,0;m:cuboid;scl:7,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_121;pos:-207.9006,99.63178,586.2465;rot:0,16.55667,0;m:cuboid;scl:7,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_122;pos:-254.7327,99.71106,592.5593;rot:0,181.3944,0;m:cuboid;scl:7,20,5;t:empty;clr:255,150,40,255;;
i:cylinder_123;pos:-632.816,149.7314,-199.5193;rot:0,282.3219,0;m:cylinder;scl:38,25,26;clr:255,150,46,255;;
i:cuboid_124;pos:-149.0701,99.50829,563.2397;rot:0,316.1127,0;m:cuboid;scl:7,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_125;pos:-167.952,99.62196,580.3168;rot:0,298.9527,0;m:cuboid;scl:7,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_126;pos:-138.8953,99.39937,536.822;rot:0,58.32267,0;m:cuboid;scl:7,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_127;pos:-127.5284,99.56969,574.9278;rot:0,45.65214,0;m:cuboid;scl:7,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_128;pos:-159.6374,99.58148,590.9517;rot:0,21.90161,0;m:cuboid;scl:7,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_129;pos:108.2058,299.9292,500.5424;rot:0,319.5276,0;m:cuboid;scl:5,20,3;t:empty;clr:255,150,40,255;;
i:cuboid_130;pos:293.2363,99.49424,591.8408;rot:0,353.1735,0;m:cuboid;scl:7,20,5;t:empty;clr:255,150,40,255;;
i:cuboid_131;pos:70.40085,299.8647,477.8317;rot:0,158.35,0;m:cuboid;scl:5,20,3;t:empty;clr:255,150,40,255;;
i:cuboid_132;pos:27.12974,299.6846,469.2726;rot:0,358.5687,0;m:cuboid;scl:5,20,3;t:empty;clr:255,150,40,255;;
i:cuboid_133;pos:-16.79677,299.6814,475.2617;rot:0,17.15867,0;m:cuboid;scl:5,20,3;t:empty;clr:255,150,40,255;;
i:cuboid_134;pos:-43.01207,299.6777,497.2951;rot:0,124.829,0;m:cuboid;scl:5,20,3;t:empty;clr:255,150,43,255;;
i:cuboid_135;pos:-92.04884,300.3361,532.5001;rot:0,63.06869,0;m:cuboid;scl:5,20,3;t:empty;clr:255,150,43,255;;
i:cuboid_136;pos:-61.72043,299.5699,513.4202;rot:0,315.9985,0;m:cuboid;scl:5,20,3;t:empty;clr:255,150,43,255;;
i:cuboid_137;pos:-114.0002,300.3402,613.4928;rot:0,44.42871,0;m:cuboid;scl:10,20,10;t:empty;clr:255,150,43,255;;
i:cuboid_138;pos:-137.7669,300.2858,626.4335;rot:0,24.98845,0;m:cuboid;scl:10,20,10;t:empty;clr:255,150,43,255;;
i:cuboid_139;pos:256.8365,99.46369,609.6353;rot:0,341.2783,0;m:cuboid;scl:10,20,10;t:empty;clr:255,150,43,255;;
i:cuboid_140;pos:-156.7946,388.2396,652.5629;rot:0,24.0196,0;m:cuboid;scl:10,20,10;t:empty;clr:255,150,43,255;;
i:cuboid_141;pos:-220.4582,388.2943,671.0759;rot:0,10.82754,0;m:cuboid;scl:10,20,10;t:empty;clr:255,150,43,255;;
i:cuboid_142;pos:23.32048,388.2782,639.4719;rot:0,340.6661,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_143;pos:-85.8998,388.2782,606.6168;rot:0,137.4461,0;m:cuboid;scl:10,20,10;t:empty;clr:255,150,43,255;;
i:cuboid_144;pos:596.7402,299.1465,566.0861;rot:0,133.5967,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_145;pos:661.0179,298.9552,470.0289;rot:0,59.26667,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_146;pos:468.0091,299.3635,658.3831;rot:0,26.77611,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_147;pos:340.9789,299.5424,690.3583;rot:0,9.406246,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_148;pos:661.0179,298.9552,470.0289;rot:0,59.26667,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_149;pos:468.0091,299.3635,658.3831;rot:0,26.77611,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_150;pos:340.9789,299.5424,690.3583;rot:0,9.406246,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_151;pos:661.0179,298.9552,470.0289;rot:0,59.26667,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_152;pos:468.0091,299.3635,658.3831;rot:0,26.77611,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_153;pos:340.9789,299.5424,690.3583;rot:0,9.406246,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_154;pos:661.0179,298.9552,470.0289;rot:0,59.26667,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_155;pos:468.0091,299.3635,658.3831;rot:0,26.77611,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_156;pos:340.9789,299.5424,690.3583;rot:0,9.406246,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_157;pos:714.0744,298.6819,320.6491;rot:0,74.54694,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_158;pos:215.1886,299.7428,688.341;rot:0,346.9045,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_159;pos:195.3698,388.2141,700.8757;rot:0,348.3337,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_160;pos:507.1772,388.2405,661.2439;rot:0,27.59301,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_161;pos:367.2272,388.2852,704.1454;rot:0,7.820288,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_162;pos:609.1317,388.2877,581.206;rot:0,44.36155,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_163;pos:674.6879,388.3404,491.6254;rot:0,62.25749,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_164;pos:723.3594,388.3789,367.6816;rot:0,77.52351,0;m:cuboid;scl:20,20,20;t:empty;clr:255,150,43,255;;
i:cuboid_165;pos:25.74504,275.8052,-630.2993;rot:0,268.6261,0;m:cuboid;scl:5,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_166;pos:69.2648,301.013,-625.9795;rot:0,70.5463,0;m:cuboid;scl:5,20,10;t:empty;clr:255,150,43,255;;
i:cuboid_167;pos:111.5952,276.3422,-608.0569;rot:0,241.9365,0;m:cuboid;scl:5,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_168;pos:-42.19746,275.6768,-644.1679;rot:0,196.1946,0;m:cuboid;scl:5,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_169;pos:-39.21793,275.6783,-621.1869;rot:0,294.7838,0;m:cuboid;scl:5,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_170;pos:-14.00729,275.6674,-628.6666;rot:0,290.3077,0;m:cuboid;scl:5,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_171;pos:42.37283,275.6714,-631.7665;rot:0,273.759,0;m:cuboid;scl:5,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_172;pos:88.22874,275.8046,-623.4144;rot:0,261.0878,0;m:cuboid;scl:5,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_173;pos:128.7244,276.5707,-588.8568;rot:0,214.412,0;m:cuboid;scl:3,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_174;pos:198.7198,275.9084,-570.8267;rot:0,194.4369,0;m:cuboid;scl:5,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_175;pos:144.0621,276.2827,-616.0338;rot:0,138.2861,0;m:cuboid;scl:5,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_176;pos:189.8922,275.8779,-568.3399;rot:0,160.0305,0;m:cuboid;scl:3,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_177;pos:284.2661,276.6414,-592.7872;rot:0,122.6736,0;m:cuboid;scl:5,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_178;pos:263.0775,276.4371,-572.832;rot:0,131.11,0;m:cuboid;scl:3,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_179;pos:10.18758,275.7638,-621.0432;rot:0,102.937,0;m:cuboid;scl:3,25,10;t:empty;clr:255,150,43,255;;
i:cuboid_180;pos:373.1481,101.557,-699.3233;rot:0,180.2564,0;m:cuboid;scl:20,60,20;t:empty;clr:255,150,43,255;;
i:cuboid_181;pos:286.7803,101.6742,-678.3929;rot:0,199.6419,0;m:cuboid;scl:20,60,20;t:empty;clr:255,150,43,255;;
i:cuboid_182;pos:400.1896,188.3589,-702.6141;rot:0,88.64028,0;m:cuboid;scl:20,60,20;t:empty;clr:255,150,43,255;;
i:cuboid_183;pos:588.478,188.3015,-610.1804;rot:0,141.6869,0;m:cuboid;scl:20,60,20;t:empty;clr:255,150,43,255;;
i:cuboid_184;pos:608.2771,187.3463,-573.8336;rot:0,121.733,0;m:cuboid;scl:20,60,20;t:empty;clr:255,150,43,255;;
i:cuboid_185;pos:333.9324,188.2084,-710.9802;rot:0,179.5431,0;m:cuboid;scl:20,60,20;t:empty;clr:255,150,43,255;;
i:cuboid_186;pos:647.8026,188.3406,-410.3568;rot:0,95.16617,0;m:cuboid;scl:20,60,20;t:empty;clr:255,150,43,255;;
i:cuboid_187;pos:622.9533,188.3054,-330.8879;rot:0,74.1634,0;m:cuboid;scl:20,60,20;t:empty;clr:255,150,43,255;;
i:cuboid_188;pos:615.7152,188.3437,-314.5327;rot:0,60.27509,0;m:cuboid;scl:20,60,20;t:empty;clr:255,150,43,255;;
