i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:tower2_1;pos:486.0919,-12.29923,245.3208;m:tower2;;
i:cuboid_3;pos:486.0919,44.70077,268.0708;m:cuboid;scl:1.53,9.4,1.53;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_4;pos:486.0919,92.80077,268.0708;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_5;pos:486.0919,106.5658,268.0708;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_6;pos:486.0919,119.9908,268.0708;m:cuboid;scl:1.622,0.1,1.622;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_7;pos:480.4219,106.4008,262.3958;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_8;pos:491.7619,106.4008,262.3958;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_9;pos:480.4219,106.4008,273.7498;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_10;pos:491.7619,106.4008,273.7498;m:cuboid;scl:0.383,2.45,0.383;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_11;pos:486.0919,93.76077,268.0708;m:cuboid;scl:1.511,0.1,1.511;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_12;pos:486.0919,106.5208,268.0708;m:cuboid;scl:1.516,0.303,1.516;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_13;pos:486.0919,119.0408,268.0708;m:cuboid;scl:1.516,0.1,1.516;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:pyramid_14;pos:486.0919,133.2708,268.0708;m:pyramid;scl:0.37,0.272,0.37;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_15;pos:486.0919,141.2008,268.0708;m:cuboid;scl:0.0715,1.222,0.0715;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_31;pos:482.652,127.7914,263.3935;rot:320.9936,68.6293,121.8694;m:prism;scl:0.458881,0.003,0.5924063;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_32;pos:481.4182,125.2289,262.2406;rot:41.29483,113.2765,123.0986;m:prism;scl:1.027071,0.003,0.2643594;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_33;pos:480.6789,123.5619,274.6669;rot:65.77739,-6.207314E-05,180;m:prism;scl:0.4274942,0.003,0.6001649;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_34;pos:481.7797,126.1785,273.4897;rot:2.732076E-05,89.99999,245.7774;m:prism;scl:1.040509,0.003,0.2462381;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_35;pos:485.312,126.0088,273.566;rot:-2.732076E-05,270,114.2226;m:prism;scl:1.040509,0.003,0.629273;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_36;pos:488.3203,123.5619,274.6669;rot:65.77739,-6.207314E-05,180;m:prism;scl:1.090926,0.003,0.6001649;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_37;pos:485.2774,129.9996,271.7706;rot:41.29486,293.2765,123.0985;m:prism;scl:0.481089,0.003,0.2643596;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_38;pos:487.0464,130.0536,271.7463;rot:39.00648,68.62935,238.1307;m:prism;scl:0.4588813,0.003,0.2771813;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_39;pos:489.5287,127.7914,272.764;rot:320.9935,248.6293,121.8693;m:prism;scl:0.4588813,0.003,0.5924062;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_40;pos:490.7624,125.2289,273.9169;rot:41.29486,293.2765,123.0985;m:prism;scl:1.027071,0.003,0.2643596;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_41;pos:492.6784,123.5619,273.4902;rot:65.77733,90.00012,180.0001;m:prism;scl:0.4274937,0.003,0.600165;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_42;pos:491.5012,126.1785,272.3894;rot:-4.413481E-05,180,245.7773;m:prism;scl:1.040509,0.003,0.2462379;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_43;pos:491.5776,126.0088,268.8571;rot:4.413481E-05,2.604543E-05,114.2227;m:prism;scl:1.040509,0.003,0.6292721;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_44;pos:492.6784,123.5619,265.8488;rot:65.77733,90.00012,180.0001;m:prism;scl:1.090924,0.003,0.600165;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_45;pos:489.7822,129.9996,268.8917;rot:41.29487,23.27661,123.0986;m:prism;scl:0.4810883,0.003,0.26436;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_46;pos:489.7578,130.0536,267.1227;rot:39.00641,158.6293,238.1306;m:prism;scl:0.458882,0.003,0.2771809;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_47;pos:490.7756,127.7914,264.6404;rot:320.9936,338.6294,121.8694;m:prism;scl:0.458882,0.003,0.592406;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_48;pos:491.9285,125.2289,263.4067;rot:41.29487,23.27661,123.0986;m:prism;scl:1.027071,0.003,0.26436;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_50;pos:478.1729,105.7209,262.3242;rot:8.630058,4.193569,296.042;m:prism;scl:0.0845643,0.003,0.5107852;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_51;pos:478.4107,105.2273,269.5949;rot:358.1118,180.9102,64.25954;m:prism;scl:0.0842497,0.003,1.313228;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_52;pos:478.134,105.8017,268.376;rot:1.888596,0.9103411,295.7401;m:prism;scl:0.1159542,0.003,1.813362;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_53;pos:478.1429,105.7831,275.7035;rot:29.61617,164.1045,60.04755;m:prism;scl:0.1383948,0.003,0.1209069;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_54;pos:478.1441,107.3135,275.6905;rot:332.7065,162.9258,123.8153;m:prism;scl:0.1290649,0.003,0.1190541;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_55;pos:478.1537,107.3304,268.3531;rot:358.2702,0.9846441,240.3444;m:prism;scl:0.1098571,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_56;pos:478.1728,105.7211,260.4558;rot:36.02826,20.513,302.4604;m:prism;scl:0.1099169,0.003,0.1302178;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_57;pos:478.394,105.2619,262.2924;rot:353.2543,183.267,64.08209;m:prism;scl:0.0999239,0.003,0.4342967;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_58;pos:478.4002,107.7636,267.5736;rot:1.729882,180.9847,119.6557;m:prism;scl:0.1058569,0.003,1.74199;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_59;pos:478.1645,107.3493,260.4542;rot:331.0587,18.33985,235.5881;m:prism;scl:0.1218254,0.003,0.1215505;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_60;pos:494.0467,105.8017,273.8301;rot:6.745991,183.2672,295.9178;m:prism;scl:0.1168688,0.003,0.5086787;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_61;pos:494.0377,105.7831,266.3525;rot:2.487847,358.8005,64.24882;m:prism;scl:0.1160133,0.003,1.376483;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_62;pos:494.0365,107.3135,268.3538;rot:358.2701,359.0154,119.6556;m:prism;scl:0.1098573,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_63;pos:494.0269,107.3304,275.7026;rot:332.7069,197.074,236.1849;m:prism;scl:0.1290645,0.003,0.1190556;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_64;pos:493.808,105.3062,265.8082;rot:357.5118,178.8004,295.7512;m:prism;scl:0.1106712,0.003,1.312581;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_65;pos:494.0242,105.7551,260.4525;rot:31.99957,342.4786,59.2145;m:prism;scl:0.128144,0.003,0.124589;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_66;pos:494.025,107.3337,260.4662;rot:331.0587,341.6603,124.4117;m:prism;scl:0.1218263,0.003,0.1215501;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_67;pos:493.7711,107.7799,267.5729;rot:1.72964,179.0155,240.3445;m:prism;scl:0.1058574,0.003,1.741992;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_68;pos:491.8416,105.8016,260.1224;rot:6.745773,273.2669,295.9192;m:prism;scl:0.1168659,0.003,0.5086777;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_69;pos:484.364,105.7831,260.1313;rot:2.487729,88.8001,64.24738;m:prism;scl:0.1160104,0.003,1.376483;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_70;pos:483.8201,105.3058,260.3611;rot:357.5165,268.8007,295.7269;m:prism;scl:0.110823,0.003,1.312497;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_71;pos:478.4648,105.7546,260.1449;rot:32.00536,72.49097,59.24232;m:prism;scl:0.1283195,0.003,0.1247611;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_72;pos:478.4786,107.3135,260.1326;rot:332.7065,72.92591,123.8151;m:prism;scl:0.1290649,0.003,0.1190541;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_73;pos:485.816,107.3304,260.1422;rot:358.2701,270.9847,240.3445;m:prism;scl:0.1098571,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_74;pos:486.5955,107.7636,260.3887;rot:1.72986,90.9847,119.6557;m:prism;scl:0.1058569,0.003,1.74199;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_75;pos:493.7149,107.3493,260.153;rot:331.0587,288.3398,235.5881;m:prism;scl:0.1218254,0.003,0.1215505;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_76;pos:478.4791,105.8016,276.0351;rot:29.6164,105.8959,299.9529;m:prism;scl:0.1383948,0.003,0.1209069;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_77;pos:485.7938,105.7831,276.0262;rot:1.888264,269.0898,64.25969;m:prism;scl:0.1159542,0.003,1.813362;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_78;pos:486.597,105.3097,275.7981;rot:358.1118,89.08987,295.7403;m:prism;scl:0.1119991,0.003,1.750972;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_79;pos:493.7159,105.7618,276.0159;rot:31.42684,252.8779,59.42428;m:prism;scl:0.1306434,0.003,0.1237274;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_80;pos:493.7029,107.3337,276.0135;rot:331.0585,251.6603,124.4115;m:prism;scl:0.1218268,0.003,0.1215513;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_81;pos:486.5962,107.7799,275.7596;rot:1.729867,89.01533,240.3447;m:prism;scl:0.105858,0.003,1.74199;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_82;pos:485.8153,107.3135,276.0249;rot:358.2704,269.0155,119.6555;m:prism;scl:0.1098567,0.003,1.808444;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_83;pos:478.4665,107.3304,276.0153;rot:332.7065,107.0742,236.1849;m:prism;scl:0.129064,0.003,0.1190545;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_84;pos:478.4545,119.2555,276.03;rot:28.01432,106.7276,302.6136;m:prism;scl:0.1232368,0.003,0.1117346;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_85;pos:485.7927,119.2392,276.0212;rot:1.659802,269.1018,61.57425;m:prism;scl:0.104404,0.003,1.811875;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_86;pos:486.5992,118.8236,275.7964;rot:358.3402,89.1018,298.4252;m:prism;scl:0.1009402,0.003,1.751193;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_87;pos:493.7385,119.2221,276.0119;rot:29.59882,252.1034,56.8235;m:prism;scl:0.1167959,0.003,0.1139986;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_88;pos:485.7953,120.7116,276.0287;rot:358.419,269.0926,119.8591;m:prism;scl:0.1008354,0.003,1.811114;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_89;pos:478.4364,120.7271,276.0199;rot:332.8264,107.1307,235.984;m:prism;scl:0.1183719,0.003,0.1094178;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_90;pos:493.7338,120.7286,276.019;rot:331.3204,251.7077,124.5596;m:prism;scl:0.1122831,0.003,0.111517;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_91;pos:486.6,121.1378,275.7842;rot:1.580746,89.09275,240.1415;m:prism;scl:0.0974732,0.003,1.750136;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_92;pos:478.149,119.2372,260.4422;rot:29.59887,17.89688,303.1769;m:prism;scl:0.1167954,0.003,0.1139974;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_93;pos:478.3812,118.8079,267.5693;rot:358.3401,180.8982,61.57451;m:prism;scl:0.1009396,0.003,1.751192;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_94;pos:478.1391,119.2555,268.377;rot:1.65959,0.8980841,298.4255;m:prism;scl:0.1044031,0.003,1.811872;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_95;pos:478.1479,119.2392,275.7263;rot:28.01412,163.2728,57.38675;m:prism;scl:0.123235,0.003,0.1117352;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_96;pos:478.1403,120.7116,267.7838;rot:358.4189,179.0926,119.8586;m:prism;scl:0.1008338,0.003,1.811113;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_97;pos:478.1492,120.7271,260.4248;rot:332.8267,17.13012,235.9846;m:prism;scl:0.1183696,0.003,0.1094172;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_98;pos:478.1501,120.7286,275.7223;rot:331.3205,161.7077,124.5598;m:prism;scl:0.1122836,0.003,0.1115181;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_99;pos:478.3849,121.1378,268.5884;rot:1.580774,359.0927,240.1413;m:prism;scl:0.0974737,0.003,1.750134;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_100;pos:485.7921,119.2555,260.1275;rot:1.659985,270.8983,298.4255;m:prism;scl:0.1044029,0.003,1.811874;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_101;pos:478.4428,119.2392,260.1364;rot:28.01411,73.27284,57.38676;m:prism;scl:0.1232354,0.003,0.1117337;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_102;pos:486.3853,120.7116,260.1288;rot:358.419,89.0926,119.8588;m:prism;scl:0.1008343,0.003,1.811113;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_103;pos:493.7442,120.7271,260.1377;rot:332.8264,287.1304,235.9843;m:prism;scl:0.1183705,0.003,0.1094169;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_104;pos:478.4468,120.7286,260.1385;rot:331.3203,71.70741,124.56;m:prism;scl:0.1122831,0.003,0.111517;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_105;pos:485.5806,121.1378,260.3733;rot:1.580908,269.0927,240.1412;m:prism;scl:0.0974732,0.003,1.750135;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_106;pos:491.8489,119.185,260.1656;rot:7.616154,274.1483,298.6886;m:prism;scl:0.0761891,0.003,0.5071488;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_107;pos:484.5757,118.7512,260.4003;rot:358.3403,90.89818,61.57458;m:prism;scl:0.0759558,0.003,1.313396;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_108;pos:493.735,119.1904,260.1628;rot:33.65521,291.1111,304.8638;m:prism;scl:0.099535,0.003,0.1192835;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_109;pos:491.8827,118.783,260.3831;rot:354.0403,93.23751,61.41891;m:prism;scl:0.0905642,0.003,0.4349733;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_110;pos:494.0063,119.1903,275.7234;rot:33.65505,201.111,304.8637;m:prism;scl:0.099535,0.003,0.1192835;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_111;pos:493.786,118.783,273.8712;rot:354.0404,3.237503,61.41899;m:prism;scl:0.0905642,0.003,0.4349733;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_112;pos:494.0034,119.185,273.8373;rot:7.615817,184.1481,298.689;m:prism;scl:0.0761849,0.003,0.507149;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_113;pos:493.7688,118.7512,266.5641;rot:358.3403,0.8981866,61.57425;m:prism;scl:0.0759516,0.003,1.313393;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_114;pos:494.0416,119.2555,267.7805;rot:1.659749,180.8982,298.425;m:prism;scl:0.1044024,0.003,1.811872;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_115;pos:494.0327,119.2392,260.4312;rot:28.01426,343.2731,57.3873;m:prism;scl:0.1232345,0.003,0.1117341;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_116;pos:494.0403,120.7116,268.3738;rot:358.419,359.0926,119.8587;m:prism;scl:0.1008343,0.003,1.811113;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_117;pos:494.0314,120.7271,275.7327;rot:332.8264,197.1304,235.9844;m:prism;scl:0.1183705,0.003,0.1094169;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_118;pos:494.0306,120.7285,260.4353;rot:331.3202,341.7074,124.5599;m:prism;scl:0.1122821,0.003,0.1115173;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_119;pos:493.7957,121.1378,267.5691;rot:1.581219,179.0925,240.1414;m:prism;scl:0.0974726,0.003,1.750134;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_120;pos:478.1449,92.00775,260.4666;rot:31.42669,17.122,300.5757;m:prism;scl:0.1306425,0.003,0.1237277;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_121;pos:478.3796,91.52067,267.5713;rot:358.1117,180.9102,64.25969;m:prism;scl:0.1119986,0.003,1.750971;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_122;pos:478.134,92.03051,268.376;rot:1.888167,0.9101005,295.7404;m:prism;scl:0.1159527,0.003,1.813362;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_123;pos:478.1429,92.01199,275.7035;rot:29.61616,164.1042,60.04707;m:prism;scl:0.1383926,0.003,0.1209064;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:prism_124;pos:478.1441,93.54234,275.6905;rot:332.7067,162.9258,123.8154;m:prism;scl:0.1290654,0.003,0.1190553;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
