i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tower1_103;pos:664.1725,149.6571,-91.06779;rot:0,269.9885,0;m:tower1;scl:8,2,8;;
i:tower1_104;pos:664.1636,147.0909,-36.53199;rot:0,270.0054,0;m:tower1;scl:8,2,8;;
i:tower1_105;pos:657.9656,142.5907,76.85356;rot:0,264.7899,0;m:tower1;scl:8,2,8;;
i:tower1_106;pos:650.1975,140.4359,135.0766;rot:0,259.6641,0;m:tower1;scl:8,2,8;;
i:tower1_107;pos:160.7595,140.1398,666.5056;rot:0,191.7121,0;m:tower1;scl:8,2,8;;
i:tower1_108;pos:44.79608,141.6254,679.2941;rot:0,182.5171,0;m:tower1;scl:8,2,8;;
i:tower1_109;pos:101.8063,141.6958,675.5016;rot:0,185.3762,0;m:tower1;scl:8,2,8;;
i:tower1_110;pos:16.32982,117.6103,-617.9995;rot:0,179.9661,0;m:tower1;scl:1,2.5,10;;
i:tower1_111;pos:-38.18196,115.2989,-617.7791;rot:0,180.2221,0;m:tower1;scl:1,2.5,10;;
i:tower1_112;pos:-93.35574,115.5772,-617.5262;rot:0,180.0242,0;m:tower1;scl:1,2.5,10;;
i:tower1_113;pos:-148.0764,115.718,-617.3871;rot:0,179.8654,0;m:tower1;scl:1,2.5,10;;
i:tower1_114;pos:-648.4303,115.1078,-9.159905;rot:0,270.7386,0;m:tower1;scl:1,2.5,10;;
i:tower1_115;pos:-203.093,115.302,-617.2087;rot:0,180.2286,0;m:tower1;scl:1,2.5,10;;
i:tower1_116;pos:-258.1225,115.577,-617.1257;rot:0,180.1761,0;m:tower1;scl:1,2.5,10;;
i:tower1_117;pos:-313.1414,115.3481,-617.3212;rot:0,180.3161,0;m:tower1;scl:1,2.5,10;;
i:tower1_118;pos:-368.3037,115.3348,-617.4344;rot:0,179.9562,0;m:tower1;scl:1,2.5,10;;
i:tower1_119;pos:-422.5431,115.4964,-617.8109;rot:0,180.4762,0;m:tower1;scl:1,2.5,10;;
i:tower1_120;pos:-477.1064,115.4036,-617.6669;rot:0,179.9758,0;m:tower1;scl:1,2.5,10;;
i:tower1_121;pos:-532.2762,115.5422,-617.4649;rot:0,179.8958,0;m:tower1;scl:1,2.5,10;;
i:tower1_122;pos:-586.9286,115.7167,-617.2261;rot:0,179.8455,0;m:tower1;scl:1,2.5,10;;
i:tower1_123;pos:71.76997,120.2973,-617.5446;rot:0,179.3729,0;m:tower1;scl:1,2.5,10;;
i:tower1_124;pos:126.5138,122.9902,-617.4739;rot:0,179.7677,0;m:tower1;scl:1,2.5,10;;
i:tower1_125;pos:181.0429,126.6695,-617.7157;rot:0,179.8851,0;m:tower1;scl:1,2.5,10;;
i:tower1_126;pos:236.186,129.1368,-616.6345;rot:0,179.6192,0;m:tower1;scl:1,2.5,10;;
i:tower1_127;pos:290.7775,131.862,-617.1871;rot:0,180.3056,0;m:tower1;scl:1,2.5,10;;
i:tower1_128;pos:345.4196,134.353,-617.1282;rot:0,179.098,0;m:tower1;scl:1,2.5,10;;
i:tower1_129;pos:400.6974,137.4309,-617.7087;rot:0,180.2159,0;m:tower1;scl:1,2.5,10;;
i:tower1_130;pos:455.1809,140.6329,-618.0292;rot:0,179.7933,0;m:tower1;scl:1,2.5,10;;
i:tower1_131;pos:509.8485,143.6007,-617.5978;rot:0,180.0119,0;m:tower1;scl:1,2.5,10;;
i:tower1_132;pos:564.882,147.5701,-617.1172;rot:0,179.8577,0;m:tower1;scl:1,2.5,10;;
i:tower1_133;pos:-644.1929,114.6803,46.30773;rot:0,275.4279,0;m:tower1;scl:1,2.5,10;;
i:tower1_134;pos:-65.88132,247.2599,-622.0144;rot:-2.001032E-08,179.9701,270.08;m:tower1;scl:3,0.45,8;;
i:tower1_135;pos:-120.5002,247.1994,-622.0001;rot:0.0001116676,179.9398,270.16;m:tower1;scl:3,0.45,8;;
i:tower1_136;pos:-175.5483,247.2822,-622.0596;rot:3.501806E-08,180.0481,270.28;m:tower1;scl:3,0.45,8;;
i:tower1_137;pos:-230.6775,247.2369,-622.1174;rot:1.875968E-09,180.0051,270.12;m:tower1;scl:3,0.45,8;;
i:tower1_138;pos:-285.8289,247.2378,-622.1461;rot:1.042204E-10,180.0033,270;m:tower1;scl:3,0.45,8;;
i:tower1_139;pos:-340.9795,247.2674,-622.2005;rot:-2.001032E-08,179.9386,269.84;m:tower1;scl:3,0.45,8;;
i:tower1_140;pos:-395.204,247.1109,-622.228;rot:-3.908266E-11,179.9999,270.16;m:tower1;scl:3,0.45,8;;
i:tower1_141;pos:-449.7671,247.436,-622.2582;rot:0,179.9753,270.68;m:tower1;scl:3,0.45,8;;
i:tower1_142;pos:-504.8701,247.6672,-622.1643;rot:0.03999995,179.9612,270.08;m:tower1;scl:3,0.45,8;;
i:tower1_143;pos:-559.8439,247.4807,-622.2131;rot:8.337633E-10,180.0177,269.96;m:tower1;scl:3,0.45,8;;
i:tower1_144;pos:-644.8702,247.337,-622.1236;rot:4.168817E-10,180.0078,269.92;m:tower1;scl:3,1,8;;
i:tower1_145;pos:43.77448,249.8968,-622.0248;rot:-3.335053E-09,179.9023,270.16;m:tower1;scl:3,0.45,8;;
i:tower1_146;pos:99.00354,252.6073,-622.0131;rot:2.334537E-08,180.0878,270.16;m:tower1;scl:3,0.45,8;;
i:tower1_147;pos:153.3138,255.2144,-622.0118;rot:2.50129E-08,180.0516,269.92;m:tower1;scl:3,0.45,8;;
i:tower1_148;pos:208.1199,258.4714,-621.9137;rot:1.000516E-08,179.8949,270.16;m:tower1;scl:3,0.45,8;;
i:tower1_149;pos:263.0329,261.188,-621.8864;rot:-2.001032E-08,180.1166,270.12;m:tower1;scl:3,0.45,8;;
i:tower1_150;pos:317.9305,264.1027,-621.9333;rot:-3.335053E-08,179.9333,269.96;m:tower1;scl:3,0.45,8;;
i:tower1_151;pos:372.6532,266.7497,-621.9991;rot:3.751935E-09,180.0095,270.16;m:tower1;scl:3,0.45,8;;
i:tower1_152;pos:428.0932,269.6424,-622.0864;rot:2.334537E-08,180.0529,270.0399;m:tower1;scl:3,0.45,8;;
i:tower1_153;pos:482.2449,272.7014,-621.9651;rot:1.459086E-09,180.0059,270.04;m:tower1;scl:3,0.45,8;;
i:tower1_154;pos:537.1987,275.8835,-622.0236;rot:-1.500774E-08,179.9511,270.12;m:tower1;scl:3,0.45,8;;
i:tower1_155;pos:621.7745,279.6851,-622.1044;rot:-3.001548E-08,179.9498,269.8;m:tower1;scl:3,1,8;;
i:tower1_156;pos:-681.1797,114.602,107.6469;rot:0,99.3589,0;m:tower1;scl:1,2.5,10;;
i:tower1_157;pos:-648.2849,114.7508,-118.1407;rot:0,270.5066,0;m:tower1;scl:1,2.5,10;;
i:tower1_158;pos:-647.6387,114.848,-228.3526;rot:0,269.7556,0;m:tower1;scl:1,2.5,10;;
i:tower1_159;pos:-647.8665,114.876,-283.1372;rot:0,269.5673,0;m:tower1;scl:1,2.5,10;;
i:tower1_160;pos:-648.6413,114.9241,-337.7555;rot:0,270.3654,0;m:tower1;scl:1,2.5,10;;
i:tower1_161;pos:-648.0128,115.0598,-392.5392;rot:0,270.0855,0;m:tower1;scl:1,2.5,10;;
i:tower1_162;pos:-648.4232,115.0297,-447.2947;rot:0,269.9186,0;m:tower1;scl:1,2.5,10;;
i:tower1_163;pos:-648.5829,115.0008,-501.7607;rot:0,269.9221,0;m:tower1;scl:1,2.5,10;;
i:tower1_164;pos:-648.4661,114.9366,-556.7519;rot:0,270.1406,0;m:tower1;scl:1,2.5,10;;
i:tower1_165;pos:-668.7977,114.7806,164.6086;rot:0,103.4856,0;m:tower1;scl:1,2.5,10;;
i:tower1_166;pos:-653.3989,114.659,220.8829;rot:0,110.5907,0;m:tower1;scl:1,2.5,10;;
i:tower1_167;pos:-633.1021,114.8153,276.4557;rot:0,111.777,0;m:tower1;scl:1,2.5,10;;
i:tower1_168;pos:-609.2557,114.8506,329.9168;rot:0,117.22,0;m:tower1;scl:1,2.5,10;;
i:tower1_169;pos:-580.5103,114.7604,381.9633;rot:0,122.1209,0;m:tower1;scl:1,2.5,10;;
i:tower1_170;pos:-546.302,114.0439,430.4934;rot:0,128.0159,0;m:tower1;scl:1,2.5,10;;
i:tower1_171;pos:-507.5203,114.3658,475.4525;rot:0,133.0874,0;m:tower1;scl:1,2.5,10;;
i:tower1_172;pos:-465.6471,114.5908,517.5789;rot:0,137.4118,0;m:tower1;scl:1,2.5,10;;
i:tower1_173;pos:-419.5919,114.4398,554.3531;rot:0,143.6443,0;m:tower1;scl:1,2.5,10;;
i:tower1_174;pos:-370.4505,114.4021,587.0394;rot:0,148.4194,0;m:tower1;scl:1,2.5,10;;
i:tower1_175;pos:-319.0608,114.7679,615.7673;rot:0,154.1596,0;m:tower1;scl:1,2.5,10;;
i:tower1_176;pos:-265.7615,114.5128,639.857;rot:0,159.1517,0;m:tower1;scl:1,2.5,10;;
i:tower1_177;pos:-209.2515,114.5238,660.2413;rot:0,163.955,0;m:tower1;scl:1,2.5,10;;
i:tower1_178;pos:-92.70869,113.1952,680.431;rot:0,174.2036,0;m:tower1;scl:1,2.5,10;;
i:tower1_179;pos:-36.58901,113.013,683.7013;rot:0,178.1346,0;m:tower1;scl:1,2.5,10;;
i:tower1_180;pos:18.15947,113.1361,685.2413;rot:0,181.5326,0;m:tower1;scl:1,2.5,10;;
i:tower1_181;pos:191.5657,114.3137,664.2727;rot:0,196.6783,0;m:tower1;scl:1,2.5,10;;
i:tower1_182;pos:248.5216,114.225,644.6137;rot:0,201.6709,0;m:tower1;scl:1,2.5,10;;
i:tower1_183;pos:303.3403,114.3312,620.0912;rot:0,208.1616,0;m:tower1;scl:1,2.5,10;;
i:tower1_184;pos:353.9503,113.9365,588.7294;rot:0,213.4027,0;m:tower1;scl:1,2.5,10;;
i:tower1_185;pos:401.5437,113.53,554.2622;rot:0,218.392,0;m:tower1;scl:1,2.5,10;;
i:tower1_186;pos:446.15,113.5086,516.1778;rot:0,223.1301,0;m:tower1;scl:1,2.5,10;;
i:tower1_187;pos:487.6415,113.5336,474.9214;rot:0,227.869,0;m:tower1;scl:1,2.5,10;;
i:tower1_188;pos:525.5922,113.6428,429.455;rot:0,233.6072,0;m:tower1;scl:1,2.5,10;;
i:tower1_189;pos:559.024,113.0456,380.6014;rot:0,237.8431,0;m:tower1;scl:1,2.5,10;;
i:tower1_190;pos:588.5744,112.9811,329.8138;rot:0,243.0802,0;m:tower1;scl:1,2.5,10;;
i:tower1_191;pos:613.8936,112.8835,276.4273;rot:0,248.5682,0;m:tower1;scl:1,2.5,10;;
i:tower1_192;pos:632.8732,112.904,220.6892;rot:0,251.8075,0;m:tower1;scl:1,2.5,10;;
i:tower1_193;pos:649.4269,113.1704,164.3392;rot:0,256.7968,0;m:tower1;scl:1,2.5,10;;
i:tower1_194;pos:660.1323,115.257,106.1241;rot:0,261.3535,0;m:tower1;scl:1,2.5,10;;
i:tower1_195;pos:664.873,117.7842,48.22881;rot:0,266.0273,0;m:tower1;scl:1,2.5,10;;
i:tower1_196;pos:668.2622,119.6964,-8.800672;rot:0,267.7545,0;m:tower1;scl:1,2.5,10;;
i:tower1_197;pos:668.5098,122.3237,-64.59737;rot:0,269.9413,0;m:tower1;scl:1,2.5,10;;
i:tower1_198;pos:668.6703,125.0866,-119.1649;rot:0,270.749,0;m:tower1;scl:1,2.5,10;;
i:tower1_199;pos:668.2712,127.5119,-173.9634;rot:0,269.9924,0;m:tower1;scl:1,2.5,10;;
i:tower1_200;pos:668.7065,130.3036,-228.2405;rot:0,270.4846,0;m:tower1;scl:1,2.5,10;;
i:tower1_201;pos:667.8794,132.6826,-282.8441;rot:0,270.4789,0;m:tower1;scl:1,2.5,10;;
i:tower1_202;pos:667.898,135.5209,-337.5783;rot:0,270.2243,0;m:tower1;scl:1,2.5,10;;
i:tower1_203;pos:668.3907,138.5781,-392.7334;rot:0,269.9718,0;m:tower1;scl:1,2.5,10;;
i:tower1_204;pos:668.7126,141.2977,-447.555;rot:0,269.9674,0;m:tower1;scl:1,2.5,10;;
i:tower1_205;pos:668.3604,144.2327,-502.2615;rot:0,269.9643,0;m:tower1;scl:1,2.5,10;;
i:tower1_206;pos:668.5321,147.5515,-557.004;rot:0,269.9607,0;m:tower1;scl:1,2.5,10;;
i:tower1_207;pos:-652.8654,250.9571,-529.0526;rot:0.120027,269.8908,270.04;m:tower1;scl:2,0.45,8;;
i:tower1_208;pos:-652.8558,250.7313,-587.1683;rot:0.1600094,269.9769,270.16;m:tower1;scl:2,0.5,8;;
i:tower1_209;pos:-652.8501,250.9854,-474.4529;rot:0.08000545,270.0352,270.08;m:tower1;scl:2,0.45,8;;
i:tower1_210;pos:-652.8717,250.8974,-419.7383;rot:6.830189E-06,270.0229,270;m:tower1;scl:2,0.45,8;;
i:tower1_211;pos:-652.7523,250.858,-364.813;rot:-8.537737E-06,270.1476,270.04;m:tower1;scl:2,0.45,8;;
i:tower1_212;pos:-652.7202,250.9004,-309.5524;rot:3.415095E-06,269.8685,270.04;m:tower1;scl:2,0.45,8;;
i:tower1_213;pos:-652.8787,250.888,-255.068;rot:-2.732076E-05,269.9962,270.04;m:tower1;scl:2,0.45,8;;
i:tower1_214;pos:-652.6371,250.7263,-200.5977;rot:-2.732076E-05,270.1163,269.88;m:tower1;scl:2,0.45,8;;
i:tower1_215;pos:-652.6832,250.8376,-145.5673;rot:8.537737E-06,269.9456,270.04;m:tower1;scl:2,0.45,8;;
i:tower1_216;pos:-652.6561,250.6594,-90.7893;rot:-4.439623E-05,270.0864,270;m:tower1;scl:2,0.45,8;;
i:tower1_217;pos:-652.5316,250.6386,-36.42981;rot:-1.878302E-05,270.142,269.9601;m:tower1;scl:2,0.45,8;;
i:tower1_218;pos:-651.0012,250.8487,18.95592;rot:1.707547E-05,273.3436,270;m:tower1;scl:2,0.5,8;;
i:tower1_219;pos:-646.018,250.8538,74.27301;rot:6.830189E-06,277.2397,270.04;m:tower1;scl:2,0.5,8;;
i:tower1_220;pos:-636.9778,250.7034,128.6517;rot:5.122642E-06,281.3173,269.84;m:tower1;scl:2,0.5,8;;
i:tower1_221;pos:-624.1545,250.6878,182.0629;rot:359.56,285.3236,269.92;m:tower1;scl:2,0.5,8;;
i:tower1_222;pos:-607.3694,250.6159,235.7383;rot:2.561321E-05,289.7879,270.04;m:tower1;scl:2,0.5,8;;
i:tower1_223;pos:-586.0995,250.1945,287.9178;rot:0.0001690472,294.4588,270.04;m:tower1;scl:2,0.5,8;;
i:tower1_224;pos:-561.167,250.2568,337.4196;rot:-0.0002322264,299.2136,269.96;m:tower1;scl:2,0.5,8;;
i:tower1_225;pos:-531.4822,250.2817,384.8443;rot:1.536793E-05,304.9211,270.2;m:tower1;scl:2,0.5,8;;
i:tower1_226;pos:-497.2537,250.4347,429.0243;rot:-8.537737E-06,310.3905,270.12;m:tower1;scl:2,0.5,8;;
i:tower1_227;pos:-458.7562,250.4454,470.4463;rot:1.707547E-06,315.1118,270.12;m:tower1;scl:2,0.5,8;;
i:tower1_228;pos:-417.8815,250.5249,506.7996;rot:0.006693585,321.1262,270.2;m:tower1;scl:2,0.5,8;;
i:tower1_229;pos:-373.9668,250.4811,539.0505;rot:-1.024528E-05,326.4692,270;m:tower1;scl:2,0.5,8;;
i:tower1_230;pos:-325.8921,250.5403,568.262;rot:5.976416E-06,331.1086,270.16;m:tower1;scl:2,0.5,8;;
i:tower1_231;pos:-275.8355,250.6507,593.3157;rot:8.537737E-07,335.4713,270.16;m:tower1;scl:2,0.5,8;;
i:tower1_232;pos:-224.4091,250.6579,613.7821;rot:-1.707547E-06,340.9928,270;m:tower1;scl:2,0.5,8;;
i:tower1_233;pos:-170.9109,250.6035,629.147;rot:-2.561321E-06,346.9263,270;m:tower1;scl:2,0.5,8;;
i:tower1_234;pos:-116.2737,250.6255,639.131;rot:-0.000222408,352.2055,270.08;m:tower1;scl:2,0.5,8;;
i:tower1_235;pos:-61.6637,250.5102,644.6213;rot:1.280661E-06,356.708,270;m:tower1;scl:2,0.5,8;;
i:tower1_236;pos:628.5002,253.6437,17.21165;rot:1.195283E-05,86.65918,269.92;m:tower1;scl:2,0.5,8;;
i:tower1_237;pos:630.1715,283.1747,-584.9805;rot:-2.049057E-05,89.89738,270.08;m:tower1;scl:2,0.5,8;;
i:tower1_238;pos:630.0291,280.2179,-530.3524;rot:0.0002083208,89.92526,270.08;m:tower1;scl:2,0.5,8;;
i:tower1_239;pos:630.0934,277.1488,-475.0496;rot:8.537737E-06,89.70987,270.08;m:tower1;scl:2,0.45,8;;
i:tower1_240;pos:630.0038,274.6919,-420.7422;rot:-0.0006710661,90.0478,270.16;m:tower1;scl:2,0.45,8;;
i:tower1_241;pos:630.0303,271.3026,-365.6186;rot:-8.537737E-06,90.08965,269.96;m:tower1;scl:2,0.45,8;;
i:tower1_242;pos:630.2114,268.5129,-310.4808;rot:0.0008196227,89.87646,270.2;m:tower1;scl:2,0.45,8;;
