i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_1;pos:410,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_2;pos:400,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_3;pos:390,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_4;pos:380,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_5;pos:370,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_6;pos:360,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_7;pos:350,144,-40;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:cuboid_8;pos:380,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_9;pos:370,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_10;pos:360,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_11;pos:350,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_12;pos:390,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_13;pos:400,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_14;pos:410,120.8,0;rot:0,180,0;m:cuboid;scl:0.4,4,12;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_15;pos:0,120,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_16;pos:0,120,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_17;pos:-3500,120,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_18;pos:5300,120,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_19;pos:0,200,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_20;pos:0,200,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_21;pos:-3500,200,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_22;pos:5300,200,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_23;pos:0,280,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_24;pos:0,280,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_25;pos:-3500,280,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_26;pos:5300,280,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_27;pos:0,360,-4440;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_28;pos:0,360,3640;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_29;pos:-3500,360,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_30;pos:5300,360,0;rot:0,180,0;m:cuboid;scl:800,0.56,800;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_31;pos:380,160,100;rot:0,180,0;m:cuboid;scl:8,8,4;mat:transparent;clr:0,0,255,175;l:0;c:start;;
i:cuboid_32;pos:380,400,100;rot:0,180,0;m:cuboid;scl:8,8,4;mat:transparent;clr:255,255,0,175;l:0;c:trigger;c:finish;;
i:cuboid_33;pos:300,160,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_34;pos:300,240,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_35;pos:300,320,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_36;pos:300,400,-240;rot:0,180,0;m:cuboid;scl:2,2,2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_75;pos:-120,120,-180;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_76;pos:-680,120,-940;rot:0,180,0;m:cuboid;scl:8,0.4,80;t:grass1;til:2,20;clr:51,38,63,255;;
i:cuboid_77;pos:-160,120,-1460;rot:0,180,0;m:cuboid;scl:80,0.4,8;t:grass1;til:20,2;clr:51,38,63,255;;
i:cuboid_78;pos:1000,120,-860;rot:0,180,0;m:cuboid;scl:64,0.4,8;t:grass1;til:16,2;clr:51,38,63,255;;
i:cuboid_79;pos:1380,120,-640;rot:0,180,0;m:cuboid;scl:8,0.4,32;t:grass1;til:2,8;clr:51,38,63,255;;
i:cuboid_80;pos:900,160,-400;rot:0,180,5.710593;m:cuboid;scl:80.399,0.4,8;t:grass1;til:20.09975,2;clr:51,38,63,255;;
i:cylinder_81;pos:500,200,-400;rot:270.0198,180,0;m:cylinder;scl:0.4,4,0.4;t:grass1;til:6,6;clr:51,38,63,255;;
i:cuboid_82;pos:420,200,-400;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_83;pos:300,200,-240;rot:0,180,0;m:cuboid;scl:8,0.4,24;t:metal2;til:2,6;clr:51,38,63,255;;
i:cuboid_84;pos:380,200,40;rot:0,180,0;m:cuboid;scl:8,0.4,88;t:grass1;til:2,22;clr:51,38,63,255;;
i:cuboid_85;pos:120,200,540;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_86;pos:0,200,420;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_87;pos:0,200,300;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_88;pos:0,200,180;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_89;pos:0,200,60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_90;pos:0,200,-60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_91;pos:-120,200,-180;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_92;pos:-680,200,-940;rot:0,180,0;m:cuboid;scl:8,0.4,80;t:grass1;til:2,20;clr:51,38,63,255;;
i:cuboid_93;pos:-160,200,-1460;rot:0,180,0;m:cuboid;scl:80,0.4,8;t:grass1;til:20,2;clr:51,38,63,255;;
i:cuboid_94;pos:1000,200,-860;rot:0,180,0;m:cuboid;scl:64,0.4,8;t:grass1;til:16,2;clr:51,38,63,255;;
i:cuboid_95;pos:1380,200,-640;rot:0,180,0;m:cuboid;scl:8,0.4,32;t:grass1;til:2,8;clr:51,38,63,255;;
i:cuboid_96;pos:900,240,-400;rot:0,180,5.710593;m:cuboid;scl:80.399,0.4,8;t:grass1;til:20.09975,2;clr:51,38,63,255;;
i:cylinder_97;pos:500,280,-400;rot:270.0198,180,0;m:cylinder;scl:0.4,4,0.4;t:grass1;til:6,6;clr:51,38,63,255;;
i:cuboid_98;pos:420,280,-400;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_99;pos:300,280,-240;rot:0,180,0;m:cuboid;scl:8,0.4,24;t:metal2;til:2,6;clr:51,38,63,255;;
i:cuboid_100;pos:380,280,40;rot:0,180,0;m:cuboid;scl:8,0.4,88;t:grass1;til:2,22;clr:51,38,63,255;;
i:cuboid_101;pos:120,280,540;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_102;pos:0,280,420;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_103;pos:0,280,300;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_104;pos:0,280,180;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_105;pos:0,280,60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_106;pos:0,280,-60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_107;pos:-120,280,-180;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_108;pos:-680,280,-940;rot:0,180,0;m:cuboid;scl:8,0.4,80;t:grass1;til:2,20;clr:51,38,63,255;;
i:cuboid_109;pos:-160,280,-1460;rot:0,180,0;m:cuboid;scl:80,0.4,8;t:grass1;til:20,2;clr:51,38,63,255;;
i:cuboid_110;pos:1000,280,-860;rot:0,180,0;m:cuboid;scl:64,0.4,8;t:grass1;til:16,2;clr:51,38,63,255;;
i:cuboid_111;pos:1380,280,-640;rot:0,180,0;m:cuboid;scl:8,0.4,32;t:grass1;til:2,8;clr:51,38,63,255;;
i:cuboid_112;pos:900,320,-400;rot:0,180,5.710593;m:cuboid;scl:80.399,0.4,8;t:grass1;til:20.09975,2;clr:51,38,63,255;;
i:cylinder_113;pos:500,360,-400;rot:270.0198,180,0;m:cylinder;scl:0.4,4,0.4;t:grass1;til:6,6;clr:51,38,63,255;;
i:cuboid_114;pos:420,360,-400;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_115;pos:300,360,-240;rot:0,180,0;m:cuboid;scl:8,0.4,24;t:metal2;til:2,6;clr:51,38,63,255;;
i:cuboid_116;pos:380,360,40;rot:0,180,0;m:cuboid;scl:8,0.4,88;t:grass1;til:2,22;clr:51,38,63,255;;
i:cuboid_117;pos:120,360,540;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_118;pos:0,360,420;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_119;pos:0,360,300;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_120;pos:0,360,180;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_121;pos:0,360,60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_122;pos:0,360,-60;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_123;pos:-120,360,-180;rot:0,180,0;m:cuboid;scl:40,0.4,8;t:grass1;til:10,2;clr:51,38,63,255;;
i:cuboid_124;pos:-680,360,-940;rot:0,180,0;m:cuboid;scl:8,0.4,80;t:grass1;til:2,20;clr:51,38,63,255;;
i:cuboid_125;pos:-160,360,-1460;rot:0,180,0;m:cuboid;scl:80,0.4,8;t:grass1;til:20,2;clr:51,38,63,255;;
i:cuboid_126;pos:1000,360,-860;rot:0,180,0;m:cuboid;scl:64,0.4,8;t:grass1;til:16,2;clr:51,38,63,255;;
i:cuboid_127;pos:1380,360,-640;rot:0,180,0;m:cuboid;scl:8,0.4,32;t:grass1;til:2,8;clr:51,38,63,255;;
i:cuboid_128;pos:900,400,-400;rot:0,180,5.710593;m:cuboid;scl:80.399,0.4,8;t:grass1;til:20.09975,2;clr:51,38,63,255;;
i:cylinder_129;pos:500,440,-400;rot:270.0198,180,0;m:cylinder;scl:0.4,4,0.4;t:grass1;til:6,6;clr:51,38,63,255;;
i:cuboid_130;pos:420,440,-400;rot:0,180,0;m:cuboid;scl:16,0.4,8;t:grass1;til:4,2;clr:51,38,63,255;;
i:cuboid_131;pos:300,440,-240;rot:0,180,0;m:cuboid;scl:8,0.4,24;t:metal2;til:2,6;clr:51,38,63,255;;
i:cuboid_132;pos:380,440,40;rot:0,180,0;m:cuboid;scl:8,0.4,88;t:grass1;til:2,22;clr:51,38,63,255;;
i:cylinder_133;pos:320,240,480;rot:0,180,0;m:cylinder;scl:4,20,4;t:metal4;til:0.2,1;clr:255,255,255,255;;
i:cylinder_134;pos:-80,240,480;rot:0,180,0;m:cylinder;scl:4,20,4;t:metal4;til:0.2,1;clr:255,255,255,255;;
i:cylinder_135;pos:80,240,360;rot:0,180,0;m:cylinder;scl:4,20,4;t:metal4;til:0.2,1;clr:255,255,255,255;;
i:cylinder_136;pos:-80,240,240;rot:0,180,0;m:cylinder;scl:4,20,4;t:metal4;til:0.2,1;clr:255,255,255,255;;
i:cylinder_137;pos:80,240,120;rot:0,180,0;m:cylinder;scl:4,20,4;t:metal4;til:0.2,1;clr:255,255,255,255;;
i:cylinder_138;pos:-80,240,0;rot:0,180,0;m:cylinder;scl:4,20,4;t:metal4;til:0.2,1;clr:255,255,255,255;;
i:cylinder_139;pos:80,240,-120;rot:0,180,0;m:cylinder;scl:4,20,4;t:metal4;til:0.2,1;clr:255,255,255,255;;
i:cylinder_140;pos:-320,240,-540;rot:0,180,0;m:cylinder;scl:64,20,64;t:metal4;til:3.2,1;clr:255,255,255,255;;
i:cylinder_141;pos:-560,240,-1340;rot:0,180,0;m:cylinder;scl:16,20,16;t:metal4;til:0.8,1;clr:255,255,255,255;;
i:cylinder_142;pos:240,240,-1300;rot:0,180,0;m:cylinder;scl:24,20,24;t:metal4;til:1.2,1;clr:255,255,255,255;;
i:cylinder_143;pos:240,240,-940;rot:0,180,0;m:cylinder;scl:32,20,32;t:metal4;til:1.6,1;clr:255,255,255,255;;
i:cylinder_144;pos:520,240,-940;rot:0,180,0;m:cylinder;scl:8,20,8;t:metal4;til:0.4,1;clr:255,255,255,255;;
i:cylinder_145;pos:680,240,-940;rot:0,180,0;m:cylinder;scl:8,20,8;t:metal4;til:0.4,1;clr:255,255,255,255;;
i:cylinder_146;pos:1320,240,-800;rot:0,180,0;m:cylinder;scl:4,20,4;t:metal4;til:0.2,1;clr:255,255,255,255;;
i:cylinder_147;pos:1300,240,-480;rot:0,180,0;m:cylinder;scl:8,20,8;t:metal4;til:0.4,1;clr:255,255,255,255;;
i:cuboid_148;pos:240,240,-240;rot:0,180,0;m:cuboid;scl:4,40,24;t:metal1;til:3,5;clr:255,255,255,255;;
i:cuboid_149;pos:340,240,-240;rot:0,180,0;m:cuboid;scl:0.4,40,8;t:metal1;til:1,5;clr:255,255,255,255;;
i:cylinder_150;pos:340,240,-200;rot:0,180,0;m:cylinder;scl:0.4,20,0.4;t:metal1;til:1,5;clr:255,255,255,255;;
i:cylinder_151;pos:340,240,-280;rot:0,180,0;m:cylinder;scl:0.4,20,0.4;t:metal1;til:1,5;clr:255,255,255,255;;
i:cuboid_152;pos:280,240,-140;rot:0,180,0;m:cuboid;scl:4,40,4;t:metal1;til:0.5,5;clr:255,255,255,255;;
i:cuboid_153;pos:280,240,-340;rot:0,180,0;m:cuboid;scl:4,40,4;t:metal1;til:0.5,5;clr:255,255,255,255;;
i:cylinder_154;pos:300,240,-120;rot:0,180,0;m:cylinder;scl:8,20,8;t:ice1;til:0.4,1;clr:255,255,255,255;;
i:cylinder_155;pos:300,240,-360;rot:0,180,0;m:cylinder;scl:8,20,8;t:ice1;til:0.4,1;clr:255,255,255,255;;
i:cuboid_156;pos:440,240,60;rot:0,180,0;m:cuboid;scl:4,40,84;t:metal4;til:2.1,1;clr:255,255,255,255;;
