i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_4;pos:475,30,4250;rot:0,208.0725,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_5;pos:475,30,4250;rot:0,208.0725,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawntitan_7;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:cuboid_62;pos:3542.956,0,-2972.893;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_63;pos:3409.908,0,-3124.605;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_64;pos:3270.369,0,-3270.369;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_65;pos:3124.605,0,-3409.908;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_66;pos:2972.893,0,-3542.956;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_67;pos:2815.522,0,-3669.259;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_68;pos:2652.791,0,-3788.578;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_69;pos:2485.011,0,-3900.686;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_70;pos:2312.5,0,-4005.367;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_71;pos:2135.587,0,-4102.425;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_72;pos:1954.609,0,-4191.673;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_73;pos:1769.911,0,-4272.943;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_74;pos:1581.843,0,-4346.079;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_75;pos:1390.764,0,-4410.941;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_76;pos:1197.038,0,-4467.407;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_77;pos:1001.033,0,-4515.369;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_78;pos:803.1228,0,-4554.736;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_79;pos:603.6837,0,-4585.433;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_80;pos:403.0953,0,-4607.4;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_81;pos:201.7397,0,-4620.598;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_82;pos:5.666312E-13,0,-4625;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_83;pos:-201.7397,0,-4620.598;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_84;pos:-403.0953,0,-4607.4;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_85;pos:-603.6837,0,-4585.433;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_86;pos:-803.1228,0,-4554.736;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_87;pos:-1001.033,0,-4515.369;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_88;pos:-1197.038,0,-4467.407;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_89;pos:-1390.764,0,-4410.941;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_90;pos:-1581.843,0,-4346.079;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_91;pos:-1769.911,0,-4272.943;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_92;pos:-1954.609,0,-4191.673;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_93;pos:-2135.587,0,-4102.425;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_94;pos:-2312.5,0,-4005.367;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_95;pos:-2485.011,0,-3900.686;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_96;pos:-2652.791,0,-3788.578;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_97;pos:-2815.522,0,-3669.259;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_98;pos:-2972.893,0,-3542.956;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_99;pos:-3124.605,0,-3409.908;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_100;pos:-3270.369,0,-3270.369;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_101;pos:-3409.908,0,-3124.605;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_102;pos:-3542.956,0,-2972.893;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_103;pos:-3669.259,0,-2815.522;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_104;pos:-3788.578,0,-2652.791;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_105;pos:-3900.686,0,-2485.011;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_106;pos:-4005.367,0,-2312.5;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_107;pos:-4102.425,0,-2135.587;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_108;pos:-4191.673,0,-1954.609;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_109;pos:-4272.943,0,-1769.911;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_110;pos:-4346.079,0,-1581.843;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_111;pos:-4410.941,0,-1390.764;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_112;pos:-4467.407,0,-1197.038;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_113;pos:-4515.369,0,-1001.033;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_114;pos:-4554.736,0,-803.1228;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_115;pos:-4585.433,0,-603.6837;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_116;pos:-4607.4,0,-403.0953;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_117;pos:-4620.598,0,-201.7397;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_118;pos:-4625,0,-8.499467E-13;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_119;pos:-4620.598,0,201.7397;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_120;pos:-4607.4,0,403.0953;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_121;pos:-4585.433,0,603.6837;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_122;pos:-4554.736,0,803.1228;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_123;pos:-4515.369,0,1001.033;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_124;pos:-4467.407,0,1197.038;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_125;pos:-4410.941,0,1390.764;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_126;pos:-4346.079,0,1581.843;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_127;pos:-4272.943,0,1769.911;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_128;pos:-4191.673,0,1954.609;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_129;pos:-4102.425,0,2135.587;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_130;pos:-4005.367,0,2312.5;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_131;pos:-3900.686,0,2485.011;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_132;pos:-3788.578,0,2652.791;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_133;pos:-3669.259,0,2815.522;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_134;pos:-3542.956,0,2972.893;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_135;pos:-3409.908,0,3124.605;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_136;pos:-3270.369,0,3270.369;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_137;pos:-3124.605,0,3409.908;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_138;pos:-2972.893,0,3542.956;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_139;pos:-2815.522,0,3669.259;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_140;pos:-2652.791,0,3788.578;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_141;pos:-2485.011,0,3900.686;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_142;pos:-2312.5,0,4005.367;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_143;pos:-2135.587,0,4102.425;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_144;pos:-1954.609,0,4191.673;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_145;pos:-1769.911,0,4272.943;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_146;pos:-1581.843,0,4346.079;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_147;pos:-1390.764,0,4410.941;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_148;pos:-1197.038,0,4467.407;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_149;pos:-1001.033,0,4515.369;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_150;pos:-803.1228,0,4554.736;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_151;pos:-603.6837,0,4585.433;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_152;pos:-403.0953,0,4607.4;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_153;pos:-201.7397,0,4620.598;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_154;pos:0,5,4525;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_155;pos:197.3777,5,4520.693;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_156;pos:394.3797,5,4507.781;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_157;pos:590.631,5,4486.288;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_158;pos:785.758,5,4456.255;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_159;pos:979.3893,5,4417.739;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_160;pos:1171.156,5,4370.814;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_161;pos:1360.694,5,4315.569;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_162;pos:1547.641,5,4252.109;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_163;pos:1731.643,5,4180.555;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_164;pos:1912.348,5,4101.043;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_165;pos:2089.412,5,4013.724;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_166;pos:2262.5,5,3918.765;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_167;pos:2431.281,5,3816.346;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_168;pos:2595.433,5,3706.663;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_169;pos:2754.646,5,3589.924;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_170;pos:2908.614,5,3466.351;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_171;pos:3057.046,5,3336.18;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_172;pos:3199.658,5,3199.658;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_173;pos:3336.18,5,3057.046;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_174;pos:3466.351,5,2908.614;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_175;pos:3589.924,5,2754.646;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_176;pos:3706.663,5,2595.433;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_177;pos:3816.346,5,2431.281;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_178;pos:3918.765,5,2262.5;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_179;pos:4013.724,5,2089.412;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_180;pos:4101.043,5,1912.348;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_181;pos:4180.555,5,1731.643;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_182;pos:4252.109,5,1547.641;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_183;pos:4315.569,5,1360.694;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_184;pos:4370.814,5,1171.156;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_185;pos:4417.739,5,979.3893;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_186;pos:4456.255,5,785.758;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_187;pos:4486.288,5,590.631;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_188;pos:4507.781,5,394.3797;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_189;pos:4520.693,5,197.3777;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_190;pos:4525,5,2.771898E-13;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_191;pos:4520.693,5,-197.3777;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_192;pos:4507.781,5,-394.3797;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_193;pos:4486.288,5,-590.631;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_194;pos:4456.255,5,-785.758;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_195;pos:4417.739,5,-979.3893;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_196;pos:4370.814,5,-1171.156;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_197;pos:4315.569,5,-1360.694;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_198;pos:4252.109,5,-1547.641;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_199;pos:4180.555,5,-1731.643;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_200;pos:4101.043,5,-1912.348;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_201;pos:4013.724,5,-2089.412;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_202;pos:3918.765,5,-2262.5;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_203;pos:3816.346,5,-2431.281;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_204;pos:3706.663,5,-2595.433;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_205;pos:3589.924,5,-2754.646;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_206;pos:3466.351,5,-2908.614;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_207;pos:3336.18,5,-3057.046;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_208;pos:3199.658,5,-3199.658;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_209;pos:3057.046,5,-3336.18;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_210;pos:2908.614,5,-3466.351;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_211;pos:2754.646,5,-3589.924;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_212;pos:2595.433,5,-3706.663;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_213;pos:2431.281,5,-3816.346;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_214;pos:2262.5,5,-3918.765;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_215;pos:2089.412,5,-4013.724;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_216;pos:1912.348,5,-4101.043;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_217;pos:1731.643,5,-4180.555;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_218;pos:1547.641,5,-4252.109;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_219;pos:1360.694,5,-4315.569;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
i:cuboid_220;pos:1171.156,5,-4370.814;rot:0,180,0;m:cuboid;scl:21,3,20;t:lava1;til:10,10;;
