i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:0,23,-4000;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:0,23,-4000;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_85;pos:0,-30,0;rot:0,180,0;m:cuboid;scl:900,3,900;mat:transparent;;
i:cuboid_117;pos:995,50,-2300;rot:0,180,0;m:cuboid;scl:0.9,7.5,1;t:crystal2;til:5,5;;
i:cuboid_118;pos:905,50,-2100;rot:0,180,0;m:cuboid;scl:0.9,7.5,1;t:crystal2;til:5,5;;
i:cuboid_119;pos:995,50,-1700;rot:0,180,0;m:cuboid;scl:0.9,7.5,1;t:crystal2;til:5,5;;
i:cylinder_120;pos:950,100,-1500;rot:0,0,90;m:cylinder;scl:1.5,7.5,1.5;t:crystal2;til:5,5;;
i:cuboid_121;pos:950,250,-1350;rot:0,180,0;m:cuboid;scl:3,50,1.1;t:crystal2;til:5,5;;
i:cuboid_122;pos:950,250,250;rot:0,180,0;m:cuboid;scl:15,1,10;t:crystal2;til:5,5;;
i:cuboid_123;pos:950,150,295;rot:0,180,0;m:cuboid;scl:15,1,1;t:crystal2;til:5,5;;
i:cuboid_124;pos:950,15,350;rot:0,180,0;m:cuboid;scl:15,1,10;t:crystal2;til:5,5;;
i:cuboid_125;pos:1003,50,1450;rot:0,90,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_126;pos:1036.824,50,1492.404;rot:0,190,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_127;pos:1121.01,50,1469.846;rot:0,200,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_128;pos:1200,50,1433.013;rot:0,210,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_129;pos:1271.394,50,1383.022;rot:0,220,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_130;pos:1333.022,50,1321.394;rot:0,230,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_131;pos:1383.013,50,1250;rot:0,240,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_132;pos:1419.846,50,1171.01;rot:0,250,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_133;pos:1442.404,50,1086.824;rot:0,260,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_134;pos:1450,50,1000;rot:0,270,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_135;pos:1442.404,50,913.1759;rot:0,280,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_136;pos:1419.846,50,828.9899;rot:0,290,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_137;pos:1383.013,50,750;rot:0,300,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_138;pos:1333.022,50,678.6062;rot:0,310,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_139;pos:1271.394,50,616.9778;rot:0,320,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_140;pos:1200,50,566.9873;rot:0,330,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_141;pos:1121.01,50,530.1537;rot:0,340,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_142;pos:1036.824,50,507.5961;rot:0,350,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_143;pos:899,50,550;rot:0,90,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_144;pos:863.1759,50,507.5961;rot:0,10,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_145;pos:778.9899,50,530.1537;rot:0,20,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_146;pos:700,50,566.9873;rot:0,30,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_147;pos:628.6062,50,616.9778;rot:0,40,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_148;pos:566.9778,50,678.6062;rot:0,50,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_149;pos:516.9873,50,750;rot:0,60,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_150;pos:480.1537,50,828.9899;rot:0,70,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_151;pos:457.5961,50,913.1759;rot:0,80,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_152;pos:450,50,1000;rot:0,90,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_153;pos:457.5961,50,1086.824;rot:0,99.99999,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_154;pos:480.1537,50,1171.01;rot:0,110,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_155;pos:516.9873,50,1250;rot:0,120,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_156;pos:566.9778,50,1321.394;rot:0,130,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_157;pos:628.6062,50,1383.022;rot:0,140,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_158;pos:700,50,1433.013;rot:0,150,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_159;pos:778.9899,50,1469.846;rot:0,160,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_160;pos:863.1759,50,1492.404;rot:0,170,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_161;pos:950,50,1400;rot:0,180,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_162;pos:1019.459,50,1393.923;rot:0,190,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_163;pos:1086.808,50,1375.877;rot:0,200,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_164;pos:1150,50,1346.41;rot:0,210,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_165;pos:1207.115,50,1306.418;rot:0,220,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_166;pos:1256.418,50,1257.115;rot:0,230,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_167;pos:1296.41,50,1200;rot:0,240,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_168;pos:1325.877,50,1136.808;rot:0,250,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_169;pos:1343.923,50,1069.459;rot:0,260,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_170;pos:1400,50,1045;rot:0,180,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_171;pos:1343.923,50,930.5407;rot:0,280,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_172;pos:1325.877,50,863.192;rot:0,290,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_173;pos:1296.41,50,800;rot:0,300,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_174;pos:1256.418,50,742.8849;rot:0,310,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_175;pos:1207.115,50,693.5822;rot:0,320,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_176;pos:1150,50,653.5898;rot:0,330,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_177;pos:1086.808,50,624.1229;rot:0,340,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_178;pos:1019.459,50,606.0769;rot:0,350,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_179;pos:938,50,600;m:cuboid;scl:10,7.5,2;t:crystal2;til:8,8;;
i:cuboid_180;pos:840,50,670;rot:0,90,0;m:cuboid;scl:10,7.5,2;t:crystal2;til:8,8;;
i:cuboid_181;pos:813.192,50,624.1229;rot:0,20,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_182;pos:750,50,653.5898;rot:0,30,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_183;pos:692.8849,50,693.5822;rot:0,40,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_184;pos:643.5822,50,742.8849;rot:0,50,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_185;pos:603.5898,50,800;rot:0,60,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_186;pos:574.1229,50,863.192;rot:0,70,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_187;pos:556.0769,50,930.5407;rot:0,80,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_188;pos:550,50,1030;rot:0,180,0;m:cuboid;scl:19,7.5,2;t:crystal2;til:8,8;;
i:cuboid_189;pos:574.1229,50,1136.808;rot:0,110,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_190;pos:603.5898,50,1200;rot:0,120,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_191;pos:643.5822,50,1257.115;rot:0,130,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_192;pos:692.8849,50,1306.418;rot:0,140,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_193;pos:750,50,1346.41;rot:0,150,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_194;pos:813.192,50,1375.877;rot:0,160,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_195;pos:880.5407,50,1393.923;rot:0,170,0;m:cuboid;scl:7.2,7.5,2;t:crystal2;til:8,8;;
i:cuboid_196;pos:915,50,1350;rot:0,90,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_197;pos:1002.094,50,1295.442;rot:0,190,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_198;pos:1052.606,50,1281.908;rot:0,200,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_199;pos:1100,50,1259.808;rot:0,210,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_200;pos:1142.836,50,1229.813;rot:0,220,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_201;pos:1179.813,50,1192.836;rot:0,230,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_202;pos:1209.808,50,1150;rot:0,240,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_203;pos:1231.908,50,1102.606;rot:0,250,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_204;pos:1245.442,50,1052.094;rot:0,260,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_205;pos:1250,50,990;rot:0,270,0;m:cuboid;scl:8.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_206;pos:1186.354,50,915;rot:0,180,0;m:cuboid;scl:10,7.5,2;t:crystal2;til:8,8;;
i:cuboid_207;pos:1231.908,50,897.394;rot:0,290,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_208;pos:1209.808,50,850;rot:0,300,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_209;pos:1179.813,50,807.1637;rot:0,310,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_210;pos:1142.836,50,770.1866;rot:0,320,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_211;pos:1100,50,740.1924;rot:0,330,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_212;pos:1052.606,50,718.0922;rot:0,340,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_213;pos:1002.094,50,704.5577;rot:0,350,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_214;pos:950,50,700;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_215;pos:897.9055,50,704.5577;rot:0,10,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_216;pos:847.394,50,718.0922;rot:0,20,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_217;pos:840,50,775;rot:0,90,0;m:cuboid;scl:12,7.5,2;t:crystal2;til:8,8;;
i:cuboid_218;pos:757.1637,50,770.1866;rot:0,40,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_219;pos:720.1866,50,807.1637;rot:0,50,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_220;pos:690.1924,50,850;rot:0,60,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_221;pos:668.0922,50,897.394;rot:0,70,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_222;pos:654.5577,50,947.9055;rot:0,80,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_223;pos:650,50,1000;rot:0,90,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_224;pos:654.5577,50,1052.094;rot:0,99.99999,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_225;pos:668.0922,50,1102.606;rot:0,110,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_226;pos:690.1924,50,1150;rot:0,120,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_227;pos:720.1866,50,1192.836;rot:0,130,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_228;pos:757.1637,50,1229.813;rot:0,140,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_229;pos:800,50,1259.808;rot:0,150,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_230;pos:847.394,50,1281.908;rot:0,160,0;m:cuboid;scl:5.5,7.5,2;t:crystal2;til:8,8;;
i:cuboid_231;pos:915,50,1295.442;rot:0,90,0;m:cuboid;scl:3,7.5,2.75;t:crystal2;til:8,8;;
i:cuboid_232;pos:950,50,1200;rot:0,180,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_233;pos:984.7296,50,1196.962;rot:0,190,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_234;pos:1018.404,50,1187.938;rot:0,200,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_235;pos:1050,50,1173.205;rot:0,210,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_236;pos:1078.557,50,1153.209;rot:0,220,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_237;pos:1103.209,50,1128.557;rot:0,230,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_238;pos:1123.205,50,1100;rot:0,240,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_239;pos:1137.938,50,1068.404;rot:0,250,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_240;pos:1146.962,50,1034.73;rot:0,260,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_241;pos:1150,50,1000;rot:0,270,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_242;pos:1146.962,50,965.2704;rot:0,280,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_243;pos:1137.938,50,931.5959;rot:0,290,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_244;pos:1123.205,50,900;rot:0,300,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_245;pos:1103.209,50,871.4425;rot:0,310,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_246;pos:1078.557,50,846.7911;rot:0,320,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_247;pos:1050,50,826.7949;rot:0,330,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_248;pos:1018.404,50,812.0615;rot:0,340,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_249;pos:984.7296,50,803.0385;rot:0,350,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_250;pos:950,50,800;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_251;pos:915.2704,50,803.0385;rot:0,10,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_252;pos:881.5959,50,812.0615;rot:0,20,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_253;pos:850,50,826.7949;rot:0,30,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_254;pos:821.4425,50,846.7911;rot:0,40,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_255;pos:796.7911,50,871.4425;rot:0,50,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_256;pos:776.7949,50,900;rot:0,60,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_257;pos:762.0615,50,931.5959;rot:0,70,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_258;pos:753.0385,50,965.2704;rot:0,80,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_259;pos:750,50,1000;rot:0,90,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_260;pos:753.0385,50,1034.73;rot:0,99.99999,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_261;pos:762.0615,50,1068.404;rot:0,110,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_262;pos:776.7949,50,1100;rot:0,120,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_263;pos:796.7911,50,1128.557;rot:0,130,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_264;pos:821.4425,50,1153.209;rot:0,140,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_265;pos:850,50,1173.205;rot:0,150,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_266;pos:881.5959,50,1187.938;rot:0,160,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_267;pos:915.2704,50,1196.962;rot:0,170,0;m:cuboid;scl:3.8,7.5,2;t:crystal2;til:8,8;;
i:cuboid_268;pos:1300,50,957;rot:0,180,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_269;pos:915,50,1250;rot:0,90,0;m:cuboid;scl:9,7.5,2;t:crystal2;til:8,8;;
i:cuboid_270;pos:1020,50,350;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:crystal2;til:5,5;;
i:cuboid_271;pos:880,50,350;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:crystal2;til:5,5;;
i:cuboid_272;pos:1020,50,450;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:crystal2;til:5,5;;
i:cuboid_273;pos:880,50,450;rot:0,180,0;m:cuboid;scl:1,7.5,10;t:crystal2;til:5,5;;
i:cuboid_274;pos:950,15,1600;rot:0,180,0;m:cuboid;scl:15,1,10;t:crystal2;til:5,5;;
i:cylinder_275;pos:950,16,1600;rot:0,180,0;m:cylinder;scl:2,0.5,2;t:crystal1;til:5,5;;
i:cuboid_276;pos:-4000,0,-4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_277;pos:-3000,0,-4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_278;pos:-2000,0,-4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_279;pos:-1000,0,-4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_280;pos:0,0,-4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_281;pos:1000,0,-4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_282;pos:2000,0,-4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_283;pos:3000,0,-4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_284;pos:4000,0,-4000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_285;pos:-4000,0,-3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_286;pos:-3000,0,-3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_287;pos:-2000,0,-3000;rot:0,180,0;m:cuboid;scl:100,2.5,100;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
