i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:0,-4.4,0;m:cuboid;scl:150,1,150;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cylinder_40;pos:300,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_41;pos:250,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_42;pos:200,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_43;pos:150,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_44;pos:100,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_45;pos:50,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_46;pos:0,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_47;pos:-650,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_48;pos:-600,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_49;pos:-550,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_50;pos:-500,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_51;pos:-450,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_52;pos:-400,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_53;pos:-350,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_54;pos:-300,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_55;pos:-250,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_56;pos:-200,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_57;pos:-150,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_58;pos:-100,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_59;pos:-50,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_60;pos:650,30,-601;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_61;pos:650,30,-551;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_62;pos:650,30,-501;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_63;pos:650,30,-451;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_64;pos:650,30,-401;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_65;pos:650,30,-351;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_66;pos:650,30,-301;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_67;pos:650,30,-251;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_68;pos:650,30,-201;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_69;pos:650,30,-151;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_70;pos:650,30,-101;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_71;pos:650,30,-51;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_72;pos:650,30,0;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_73;pos:650,30,601;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_74;pos:650,30,551;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_75;pos:650,30,501;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_76;pos:650,30,451;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_77;pos:650,30,401;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_78;pos:650,30,351;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_79;pos:650,30,301;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_80;pos:650,30,251;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_81;pos:650,30,201;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_82;pos:650,30,151;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_83;pos:650,30,101;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_84;pos:650,30,51;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_85;pos:-650,30,-601;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_86;pos:-650,30,-551;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_87;pos:-650,30,-501;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_88;pos:-650,30,-451;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_89;pos:-650,30,-401;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_90;pos:-650,30,-351;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_91;pos:-650,30,-301;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_92;pos:-650,30,-251;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_93;pos:-650,30,-201;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_94;pos:-650,30,-151;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_95;pos:-650,30,-101;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_96;pos:-650,30,-51;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_97;pos:-650,30,0;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_98;pos:-650,30,601;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_99;pos:-650,30,551;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_100;pos:-650,30,501;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_101;pos:-650,30,451;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_102;pos:-650,30,401;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_103;pos:-650,30,351;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_104;pos:-650,30,301;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_105;pos:-650,30,251;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_106;pos:-650,30,201;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_107;pos:-650,30,151;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_108;pos:-650,30,101;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_109;pos:-650,30,51;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_110;pos:0,30,0;m:cylinder;scl:20,3,20;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_111;pos:-250,30,250;m:cylinder;scl:20,3,20;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_112;pos:250,30,-250;m:cylinder;scl:20,3,20;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_113;pos:250,30,250;m:cylinder;scl:20,3,20;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_114;pos:-250,30,-250;m:cylinder;scl:20,3,20;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_115;pos:-300,30,0;m:cylinder;scl:10,3,10;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_116;pos:300,30,0;m:cylinder;scl:10,3,10;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_117;pos:0,30,-300;m:cylinder;scl:10,3,10;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_118;pos:0,30,300;m:cylinder;scl:10,3,10;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_119;pos:0,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_120;pos:100,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_121;pos:200,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_122;pos:300,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_123;pos:400,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_124;pos:500,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_125;pos:-100,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_126;pos:-200,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_127;pos:-300,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_128;pos:-400,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_129;pos:-500,30,500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_130;pos:0,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_131;pos:100,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_132;pos:200,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_133;pos:300,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_134;pos:400,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_135;pos:500,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_136;pos:-100,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_137;pos:-200,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_138;pos:-300,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_139;pos:-400,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_140;pos:-500,30,-500;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_141;pos:-500,30,-400;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_142;pos:-500,30,-300;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_143;pos:-500,30,-200;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_144;pos:-500,30,-100;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_145;pos:-500,30,0;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_146;pos:-500,30,400;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_147;pos:-500,30,300;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_148;pos:-500,30,200;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_149;pos:-500,30,100;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_150;pos:500,30,-400;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_151;pos:500,30,-300;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_152;pos:500,30,-200;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_153;pos:500,30,-100;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_154;pos:500,30,0;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_155;pos:500,30,400;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_156;pos:500,30,300;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_157;pos:500,30,200;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_158;pos:500,30,100;m:cylinder;scl:5,3,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_159;pos:-575,30,575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_160;pos:-375,30,575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_161;pos:-175,30,575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_162;pos:575,30,-575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_163;pos:375,30,-575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_164;pos:175,30,-575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_165;pos:-575,30,375;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_166;pos:-575,30,175;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_167;pos:575,30,-375;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_168;pos:575,30,-175;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_169;pos:-375,30,-575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_170;pos:-175,30,-575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_171;pos:-375,30,-575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_172;pos:-175,30,-575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_173;pos:-575,30,-375;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_174;pos:-575,30,-175;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_175;pos:-575,30,-375;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_176;pos:-575,30,-175;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_177;pos:375,30,575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_178;pos:175,30,575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_179;pos:375,30,575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_180;pos:175,30,575;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_181;pos:575,30,375;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_182;pos:575,30,175;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_183;pos:575,30,375;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_184;pos:575,30,175;rot:0,135.0209,0;m:cuboid;scl:5,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_185;pos:575,30,0;m:cuboid;scl:5,6,10;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_186;pos:-575,30,0;m:cuboid;scl:5,6,10;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_187;pos:0,30,575;m:cuboid;scl:10,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_188;pos:0,30,-575;m:cuboid;scl:10,6,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:pyramid_189;pos:-125,35,125;m:pyramid;scl:6,4,6;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:pyramid_190;pos:125,35,125;m:pyramid;scl:6,4,6;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:pyramid_191;pos:-125,35,-125;m:pyramid;scl:6,4,6;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:pyramid_192;pos:125,35,-125;m:pyramid;scl:6,4,6;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cone_193;pos:-400,35,-250;m:cone;scl:3,-2,3;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cone_194;pos:-400,35,250;m:cone;scl:3,-2,3;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cone_195;pos:400,35,-250;m:cone;scl:3,-2,3;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cone_196;pos:400,35,250;m:cone;scl:3,-2,3;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cone_197;pos:-250,35,400;m:cone;scl:3,-2,3;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cone_198;pos:250,35,-400;m:cone;scl:3,-2,3;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cone_199;pos:250,35,400;m:cone;scl:3,-2,3;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cone_200;pos:-250,35,-400;m:cone;scl:3,-2,3;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_201;pos:0,30,0;rot:90,90,0;m:cylinder;scl:1,100,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_202;pos:0,30,0;rot:89.98022,0,0;m:cylinder;scl:1,100,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_203;pos:0,30,0;rot:90,315.0209,0;m:cylinder;scl:1,100,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_204;pos:0,65,0;m:cuboid;scl:200,1,200;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
