i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:0,20,10000;rot:0,180,0;m:cuboid;scl:20,1,10000;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:sphere_2520;pos:-470.9515,192.8159,15493.48;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2521;pos:72.48959,-170.6711,15954.38;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2522;pos:494.0353,98.87611,15478.29;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2523;pos:-161.0661,389.5185,15198.03;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2524;pos:289.6978,-104.6659,15886.34;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2525;pos:-186.4556,-173.1906,15919.47;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2526;pos:237.3965,463.5905,15464.2;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2527;pos:208.8484,-242.6363,15132.91;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2528;pos:40.83847,517.6045,15575.32;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2529;pos:308.0761,-36.08419,15110.95;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2530;pos:-42.1843,192.4005,15030.75;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2531;pos:97.37007,0.668813,15010.18;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2532;pos:406.5844,310.9898,15446.16;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2533;pos:194.618,289.7551,15876.87;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2534;pos:461.8676,1.979737,15690.13;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2535;pos:192.6087,-326.2993,15799.15;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2536;pos:-39.24527,-342.7715,15836.46;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2537;pos:-284.5293,-386.036,15509.62;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2538;pos:-431.1192,-216.7203,15575.55;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2539;pos:-264.6296,197.9665,15112.63;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2540;pos:13.83335,-372.3843,15196.86;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2541;pos:-7.257007,-192.557,15049.87;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2542;pos:18.3222,423.0393,15802.04;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2543;pos:-105.8962,-440.9348,15647.28;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2544;pos:-41.7874,241.5663,15948.72;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2545;pos:-482.5562,2.507395,15628.97;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2546;pos:60.45616,362.8614,15136.41;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2547;pos:-424.6347,148.8918,15266.9;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2548;pos:-221.4717,-230.5141,15131.68;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2549;pos:146.405,72.92781,15975.68;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2550;pos:-352.9915,368.093,15587.66;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2551;pos:346.6362,121.5651,15847.16;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2552;pos:401.1547,175.3098,15242.16;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2553;pos:262.4312,369.7815,15250.49;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2554;pos:448.7592,-44.54178,15290.77;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
