i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:0,-24.29533,0;m:cuboid;scl:1100,5,1100;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_2;pos:0,-24.66419,0;m:cuboid;scl:1100,5,1100;t:earth2;til:600,600;clr:66,165,243,255;;
i:cuboid_42;pos:20.41174,2.80704,133.0051;rot:0,84.6852,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_43;pos:22.18954,2.691993,124.0685;rot:0,353.1433,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_44;pos:-41.84798,2.6449,133.2547;rot:0,274.8716,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_45;pos:-0.4208719,2.789201,82.8186;rot:0,270.0664,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_46;pos:-0.3531979,2.828823,73.76197;rot:0,270.6931,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_47;pos:-19.44463,2.742407,83.05302;rot:0,90.27094,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_48;pos:-19.46257,2.764343,74.15198;rot:0,90.22067,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_49;pos:8.246668,2.782881,81.14382;rot:0,203.7483,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_50;pos:4.70701,2.737308,72.67654;rot:0,23.36482,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_51;pos:24.29126,2.788966,70.38438;rot:0,227.4222,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_52;pos:17.83566,2.769045,63.91199;rot:0,46.74159,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_53;pos:34.97956,2.72294,54.27983;rot:0,249.1394,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_54;pos:26.53317,2.724788,50.68016;rot:0,71.79896,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_55;pos:36.87482,2.738163,44.58261;rot:0,259.0532,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_56;pos:-29.66032,2.797955,81.25581;rot:0,156.6007,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_57;pos:-26.24572,2.797934,72.76286;rot:0,336.3695,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_58;pos:-45.73437,2.963083,70.57962;rot:0,137.2784,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_59;pos:-39.28849,2.725872,64.07486;rot:0,317.2277,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_60;pos:-56.55867,2.684272,54.51787;rot:0,110.6269,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_61;pos:-48.10624,2.674958,50.99582;rot:0,293.0256,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_62;pos:-51.15897,2.668013,36.00138;rot:0,5.024444,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_63;pos:-60.30694,2.620199,36.06613;rot:0,359.4933,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_64;pos:-58.49315,2.70787,44.85558;rot:0,102.473,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_65;pos:-78.5184,2.712485,43.39938;rot:0,34.00119,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_66;pos:-73.38742,2.695021,51.04656;rot:0,213.371,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_67;pos:-92.18951,2.685147,57.09458;rot:0,57.90064,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_68;pos:-84.59261,2.638273,62.13123;rot:0,235.8201,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_69;pos:-99.60821,2.803729,74.91882;rot:0,78.36827,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_70;pos:-90.62912,2.650204,76.64511;rot:0,257.7177,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_71;pos:-99.65556,2.676571,94.23672;rot:0,100.4772,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_72;pos:-90.67576,2.668191,92.48066;rot:0,282.4153,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_73;pos:-92.23981,2.720138,112.0798;rot:0,122.4645,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_74;pos:-84.67293,2.673188,107.0202;rot:0,303.8337,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_75;pos:-78.60338,2.765453,125.8059;rot:0,147.8628,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_76;pos:-73.53471,2.787849,118.1767;rot:0,326.7123,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_77;pos:-59.02126,2.664815,124.2243;rot:0,347.0594,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_78;pos:-60.75574,2.715993,133.1774;rot:0,167.8553,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_79;pos:-49.51968,2.741044,133.2436;rot:0,271.3943,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_80;pos:-58.58503,2.678951,133.2237;rot:0,180.7839,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_81;pos:-56.72185,2.770707,142.7809;rot:0,112.1228,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_82;pos:-48.31055,2.723023,139.2695;rot:0,292.9322,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_83;pos:-45.95857,2.81458,158.8737;rot:0,136.2015,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_84;pos:-39.46798,2.600446,152.3702;rot:0,316.7,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_85;pos:-29.82749,2.704144,169.5537;rot:0,159.1991,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_86;pos:-26.3778,2.624202,161.1149;rot:0,338.4477,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_87;pos:-10.88575,2.665465,173.264;rot:0,181.2173,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_88;pos:-10.93075,2.556718,164.147;rot:0,359.6862,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_89;pos:8.032703,2.487158,169.4449;rot:0,200.7955,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_90;pos:4.477886,2.675786,160.987;rot:0,22.44508,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_91;pos:24.10348,2.667117,158.6446;rot:0,225.694,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_92;pos:17.58102,2.627874,152.2455;rot:0,45.94362,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_93;pos:34.79537,2.668522,142.5203;rot:0,249.6417,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_94;pos:26.31948,2.649353,139.0614;rot:0,68.94142,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_95;pos:36.58711,2.771324,132.978;rot:0,180.9407,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_96;pos:37.44418,2.729305,123.9541;rot:0,10.72981,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_97;pos:39.32204,2.679078,132.9522;rot:0,192.1293,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_98;pos:57.15532,2.613302,125.507;rot:0,214.3992,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_99;pos:51.99234,2.609414,117.9476;rot:0,33.9685,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_100;pos:70.74448,2.715406,111.8475;rot:0,236.6879,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_101;pos:63.14159,2.682636,106.7649;rot:0,56.93689,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_102;pos:78.0781,2.642421,93.95186;rot:0,258.8848,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_103;pos:69.14665,2.692033,92.1116;rot:0,80.91429,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_104;pos:78.04168,2.731934,74.60336;rot:0,283.6831,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_105;pos:69.09605,2.712376,76.48122;rot:0,100.0827,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_106;pos:70.62646,2.650969,56.74484;rot:0,306.5325,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_107;pos:62.97083,2.762583,61.8311;rot:0,126.1822,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_108;pos:56.91644,2.64435,43.1776;rot:0,326.6798,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_109;pos:51.84327,2.717785,50.75108;rot:0,147.6794,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_110;pos:-15.39563,2.681508,69.09232;rot:0,180.0172,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_111;pos:-4.438457,2.821887,69.13658;rot:0,180.817,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_112;pos:-4.028184,2.654197,-85.29644;rot:0,359.4218,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_113;pos:-14.95047,2.652835,-85.25853;rot:0,179.7695,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_114;pos:-6.588021,2.629763,-104.3849;rot:0,0.6289399,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_115;pos:-12.04848,2.63302,-104.3559;rot:0,359.3687,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cylinder_116;pos:-51.14291,4.605965,62.70634;rot:8.537737E-06,123.885,270;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_117;pos:-69.34358,4.487134,39.51947;rot:359.9754,22.41258,269.9617;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_118;pos:-37.70929,4.564384,75.9279;rot:358.8116,146.3977,270.6227;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_119;pos:-9.944183,4.532375,88.14317;rot:0.0005027268,179.9782,269.88;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cuboid_120;pos:-83.50533,2.773072,48.37608;rot:0,226.8413,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cylinder_121;pos:-96.05979,4.526954,66.11515;rot:6.830189E-06,67.4072,270;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cuboid_122;pos:-99.60748,2.73914,82.06724;rot:0,270.1481,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cylinder_123;pos:-96.0735,4.538225,103.1262;rot:359.9714,112.4312,269.8802;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cuboid_124;pos:-53.05072,2.709902,148.2678;rot:0,123.8892,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cylinder_125;pos:-69.68063,4.57031,129.556;rot:1.707547E-06,157.5048,270;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_126;pos:-37.9245,4.560355,164.2913;rot:-0.0008554812,146.3591,269.92;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_127;pos:-1.422107,4.396943,171.4255;rot:353.2005,191.3749,270.0885;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_128;pos:29.49734,4.429263,150.613;rot:0.001338717,236.3172,270.12;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cuboid_129;pos:62.13213,2.706092,120.4976;rot:0,225.7658,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_130;pos:78.09949,2.634205,86.93581;rot:0,268.8544,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cylinder_131;pos:48.34931,4.533011,129.2281;rot:5.122642E-06,202.5902,270;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_132;pos:74.48243,4.395194,102.9511;rot:-0.0005139717,247.5888,269.92;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_133;pos:47.90926,4.511064,39.42163;rot:-0.002097722,337.5756,270.0001;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_134;pos:74.51923,4.477871,65.66737;rot:2.049057E-05,292.664,270;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_135;pos:29.75685,4.555495,62.30473;rot:0.0006642359,236.4021,269.96;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_136;pos:16.42238,4.528578,75.7806;rot:359.9588,213.8189,269.9619;m:cylinder;scl:0.02,1,0.02;t:rock1;til:0.001,7;;
i:cylinder_137;pos:-18.91831,4.46392,-94.84;rot:-0.00160851,90.00911,270.04;m:cylinder;scl:0.02,0.95,0.02;t:rock1;til:0.001,7;;
i:cylinder_138;pos:0.1349244,4.411318,-94.82722;rot:1.878302E-05,269.9284,270;m:cylinder;scl:0.02,0.95,0.02;t:rock1;til:0.001,7;;
i:cylinder_139;pos:11.37878,4.508855,68.37948;rot:-0.001335302,33.89582,270.08;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_140;pos:22.11536,4.487589,57.71977;rot:1.707547E-06,56.40219,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_141;pos:28.04248,4.511985,43.20152;rot:1.707547E-06,78.88861,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_142;pos:44.23849,4.47292,47.54586;rot:-0.004367906,157.5941,269.8801;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_143;pos:57.55653,4.466737,56.33303;rot:-0.0006778963,135.1315,270.04;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_144;pos:66.19468,4.461525,69.07542;rot:-0.001955142,112.6611,270.0001;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_145;pos:69.09106,4.554248,84.18135;rot:0.004559151,90.14024,270.0799;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_146;pos:66.18757,4.435674,99.79788;rot:-1.366038E-05,67.64011,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_147;pos:57.5506,4.445168,112.5356;rot:2.049057E-05,45.17018,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_148;pos:44.80946,4.435394,120.9459;rot:-1.707547E-06,22.64823,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_149;pos:29.76134,4.446803,124.039;rot:0.004606602,0.1175086,269.9601;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_150;pos:22.0136,4.429363,145.716;rot:-0.0024435,56.42715,270.08;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_151;pos:10.98571,4.433016,156.6078;rot:-0.0005208019,33.92688,270.04;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_152;pos:-3.025762,4.482291,162.5867;rot:0.0008699953,11.40687,269.96;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_153;pos:-18.69816,4.483615,162.6673;rot:-0.004976647,348.8557,269.9201;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_154;pos:-32.74258,4.467019,156.9767;rot:0.007714699,326.4016,270.1598;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_155;pos:-44.12196,4.489196,145.5128;rot:-1.195283E-05,303.8903,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_156;pos:-51.4055,4.546209,124.2928;rot:-1.334021E-08,0.1588396,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_157;pos:-66.16629,4.546845,121.2948;rot:-2.561321E-06,337.425,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_158;pos:-78.99961,4.573675,112.7076;rot:0,314.9844,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_159;pos:-87.6424,4.503675,99.83208;rot:6.830189E-06,292.4535,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_160;pos:-90.68925,4.519166,84.82446;rot:-0.001973925,269.9628,269.92;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_161;pos:-87.48694,4.567729,69.32634;rot:0.001996123,247.5217,270.0399;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_162;pos:-79.0966,4.541001,56.56533;rot:-6.830189E-06,224.9313,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_163;pos:-66.15078,4.515584,47.98791;rot:-4.268868E-06,202.4504,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_164;pos:-49.63783,4.491348,43.53812;rot:-0.001220896,281.4282,269.96;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_165;pos:-43.67938,4.505731,57.44814;rot:-1.707547E-06,303.908,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_166;pos:-32.6844,4.497406,68.33665;rot:-8.537737E-06,326.3469,270;m:cylinder;scl:0.02,0.8,0.02;t:rock1;til:0.001,6;;
i:cylinder_167;pos:-42.7919,3.547774,128.8053;rot:0.002663774,281.1928,269.9601;m:cylinder;scl:0.02,0.5,0.02;t:rock1;til:0.001,4;;
i:cylinder_168;pos:-55.76908,4.52252,35.84298;rot:-9.488227E-07,0.04909087,270;m:cylinder;scl:0.02,0.5,0.02;t:rock1;til:0.001,4;;
i:cylinder_169;pos:21.22812,3.543889,128.5346;rot:1.536793E-05,78.88555,270;m:cylinder;scl:0.02,0.5,0.02;t:rock1;til:0.001,4;;
i:cylinder_170;pos:34.15607,4.574508,35.84871;rot:7.337118E-08,0.11419,270;m:cylinder;scl:0.02,0.5,0.02;t:rock1;til:0.001,4;;
i:cylinder_171;pos:-0.3101231,4.492893,85.48686;rot:359.9415,269.6805,270.0031;m:cylinder;scl:0.02,0.3,0.02;t:rock1;til:0.001,2;;
i:cylinder_172;pos:-19.46092,4.535312,85.60499;rot:0.00639135,89.77851,270.0797;m:cylinder;scl:0.02,0.3,0.02;t:rock1;til:0.001,2;;
i:cylinder_173;pos:-19.44621,4.588312,71.59142;rot:1.024528E-05,90.0163,270;m:cylinder;scl:0.02,0.3,0.02;t:rock1;til:0.001,2;;
i:cylinder_174;pos:-0.4289474,4.559568,71.41977;rot:0.003534623,269.9647,269.76;m:cylinder;scl:0.02,0.2,0.02;t:rock1;til:0.001,1;;
