i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:-52.51981,28.21451,50.8365;rot:0,4.733546,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_1;pos:37.93901,27.83091,47.68317;rot:0,0.7283854,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_2;pos:-108.6593,36.3966,198.8113;rot:0,312.7202,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_3;pos:-1.841284,28.51379,195.4703;rot:0,316.7189,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_4;pos:6.024422,34.19944,309.2318;rot:0,52.71387,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_5;pos:132.38,30.64901,300.4753;rot:0,138.2127,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_6;pos:194.133,32.64157,145.0499;rot:0,180.4606,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_7;pos:-120.8842,29.71428,309.2909;rot:0,50.20369,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_8;pos:33.23725,32.94494,406.6185;rot:0,65.95268,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_9;pos:150.5101,29.49749,414.0581;rot:0,136.4513,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_10;pos:248.4279,28.7761,281.3631;rot:0,162.6993,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_11;pos:268.9549,30.07043,127.5001;rot:0,104.194,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_12;pos:351.5135,25.96047,175.2312;rot:0,101.6937,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_13;pos:451.6991,36.20187,89.26402;rot:0,170.6909,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_14;pos:385.1459,28.28966,25.27748;rot:0,161.4387,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_15;pos:433.7246,31.94178,-101.2264;rot:0,201.9376,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_16;pos:376.8584,37.09206,-143.3011;rot:0,206.1876,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_17;pos:479.7669,32.03359,-250.4559;rot:0,130.1651,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_18;pos:412.5493,31.81836,-300.1158;rot:0,136.9137,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_19;pos:550.1386,28.62903,-393.4205;rot:0,183.9114,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_20;pos:385.6315,31.40189,-371.0153;rot:0,272.4075,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_21;pos:190.1932,32.68356,-370.6945;rot:0,270.9068,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_22;pos:9.251682,29.13878,-365.231;rot:0,271.4063,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_23;pos:451.9102,25.30558,-485.1404;rot:0,270.1526,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_24;pos:279.8607,27.3702,-471.3825;rot:0,269.9023,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_25;pos:97.85277,30.43552,-460.3375;rot:0,271.9017,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_26;pos:-72.42813,36.59666,-402.2339;rot:0,305.1421,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_27;pos:-45.59842,32.27976,-378.0333;rot:0,235.6385,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_28;pos:19.59034,33.7701,-50.26145;rot:0,94.27913,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_29;pos:14.81715,24.96071,-411.0319;rot:0,173.0252,0;m:cuboid;scl:4,4,4;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cuboid_63;pos:119.8713,17.34185,-427.096;rot:0,268.3927,0;m:cuboid;scl:0.5,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_64;pos:128.6386,0.7418536,-412.2449;rot:0,268.3927,0;m:cuboid;scl:0.5,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_65;pos:89.48207,16.14184,-397.1348;rot:0,268.3927,0;m:cuboid;scl:0.5,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_66;pos:78.10986,17.14185,-425.8642;rot:0,268.3927,0;m:cuboid;scl:0.5,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_67;pos:147.7788,13.54185,-411.3089;rot:0,268.3927,0;m:cuboid;scl:0.5,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_68;pos:147.3576,12.54185,-396.3149;rot:0,268.3927,0;m:cuboid;scl:0.5,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_69;pos:148.1269,13.94184,-423.704;rot:0,268.3927,0;m:cuboid;scl:0.5,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_70;pos:164.6673,40.64546,-417.0856;rot:2.219812E-05,297.2344,29.80003;m:cuboid;scl:3,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_71;pos:151.1459,41.57542,-415.2264;rot:-3.415095E-06,271.6342,304.4;m:cuboid;scl:3,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_72;pos:146.2437,47.90851,-398.8264;rot:-7.683963E-06,262.6279,25.8;m:cuboid;scl:7,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_73;pos:117.2295,51.10852,-402.5797;rot:0,262.6279,0;m:cuboid;scl:7,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_74;pos:146.0477,23.50842,-398.8518;rot:5.122642E-06,262.628,317.6;m:cuboid;scl:7,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_75;pos:387.7865,26.21769,-384.2279;rot:0,270.6043,0;m:cuboid;scl:2,6,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_76;pos:0.8749483,23.58402,151.6876;rot:0,340.8381,0;m:cuboid;scl:10,15,2.4;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:torus_77;pos:456.6758,-95.40189,376.5725;rot:-5.976416E-06,30.70705,60.00013;m:torus;scl:40,3,40;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:tube_78;pos:943.111,30.82432,2.058342;rot:2.732076E-05,94.45266,89.39995;m:tube;scl:40,3,40;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_79;pos:336.8733,9.008169,-196.3263;rot:-6.830189E-06,134.4205,301.6;m:torus;scl:40,3,40;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_80;pos:139.8515,18.24223,361.2549;rot:33.85561,171.2915,45.60887;m:torus;scl:10,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_81;pos:438.1248,30.31421,2.165763;rot:53.00004,160.1386,-8.511995E-06;m:torus;scl:10,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_82;pos:314.6229,-3.8304,-495.413;rot:64.24488,279.572,14.86423;m:torus;scl:10,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_83;pos:203.6045,14.16959,-374.83;rot:77.40005,86.12811,180.0001;m:torus;scl:10,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_84;pos:117.2029,48.36971,-480.907;rot:83.00002,86.12819,180.0002;m:torus;scl:10,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_85;pos:492.5306,39.93771,-427.1297;rot:62.00006,122.8719,-1.091152E-05;m:torus;scl:10,3,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_86;pos:394.7322,31.9683,-411.1353;rot:0,270.1082,0;m:torus;scl:4,3,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_87;pos:404.5314,35.16831,-411.1536;rot:80.79993,270.1082,5.340016E-05;m:torus;scl:4,3,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_88;pos:391.645,30.53901,-410.8438;rot:-6.830189E-06,270.3582,53.80001;m:torus;scl:4,3,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_89;pos:-131.8096,-13.46454,251.9959;rot:43.99995,310.4639,180;m:torus;scl:20,2,20;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_90;pos:189.7662,5.918372,292.1967;rot:43.19992,222.9573,180;m:torus;scl:4,2,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_91;pos:415.1247,38.23939,60.79556;rot:81.40011,162.9443,-9.135308E-05;m:torus;scl:4,2,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_92;pos:509.3129,31.94848,-334.9223;rot:59.80006,150.4378,-6.789191E-06;m:torus;scl:4,2,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_93;pos:63.53005,36.87729,394.5449;rot:89.00005,238.5867,180.0012;m:torus;scl:4,2,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_94;pos:192.3413,47.42369,249.2966;rot:86.19991,347.0809,180.0001;m:torus;scl:4,2,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_95;pos:442.9453,52.1981,-26.48209;rot:82.99997,192.3238,-4.553624E-05;m:torus;scl:4,2,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_96;pos:91.20053,12.04658,-378.0527;rot:73.00008,82.80827,179.9999;m:torus;scl:4,2,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_97;pos:-13.35575,64.35861,330.2964;rot:-4.098114E-05,63.5215,58.20003;m:torus;scl:4,2,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_98;pos:179.8048,18.92341,296.5765;rot:0,161.7684,0;m:torus;scl:4,2,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:torus_99;pos:172.9466,15.1234,317.3943;rot:64.60004,161.7682,-3.383771E-05;m:torus;scl:4,2,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
