i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tower1_0;pos:-17.7284,2808.497,-9.293605;rot:0,74.44827,0;m:tower1;scl:1,50,1;;
i:cuboid_1;pos:1288.475,6637.442,-419.4819;rot:0,83.42139,0;m:cuboid;scl:2500,10,2500;t:stone2;til:1500,1500;;
i:pillar1_24;pos:97.54707,6802.031,69.6915;rot:0,12.69992,0;m:pillar1;scl:2,2,2;t:stone2;til:5,2;;
i:house10_25;pos:-133.4651,6844.464,168.0904;rot:0,10.19996,0;m:house10;scl:2,2,2;t:stone2;til:5,2;;
i:house10_26;pos:176.8343,6845.861,28.65713;rot:0,193.6,0;m:house10;scl:2,2,2;t:stone2;til:5,2;;
i:castle1_27;pos:32.37977,6839.463,121.514;rot:0,103.5473,0;m:castle1;scl:2,2,2;t:stone2;til:5,2;;
i:boulder1_28;pos:-199.9399,6746.38,-7.08719;rot:0,17.2942,0;m:boulder1;scl:5,14,15;t:earth2;til:5,5;;
i:boulder1_29;pos:158.7536,6766.039,-138.6238;rot:0,28.62543,0;m:boulder1;scl:5,14,15;t:earth2;til:5,5;;
i:boulder1_30;pos:-80.76479,6777.332,-206.5723;rot:0,106.2742,0;m:boulder1;scl:5,14,15;t:earth2;til:5,5;;
i:cuboid_31;pos:-35.43199,6784.432,-83.28267;rot:0,107.2139,0;m:cuboid;scl:35,1,50;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_32;pos:76.48715,6714.37,100.9265;rot:0,192.7827,0;m:cuboid;scl:1,8,15;t:stone2;til:2,2;;
i:cuboid_33;pos:-16.97439,6714.619,123.5083;rot:0,190.612,0;m:cuboid;scl:1,8,15;t:stone2;til:2,2;;
i:cuboid_34;pos:124.387,6755.019,201.5415;rot:0,228.5623,0;m:cuboid;scl:1,18,9;t:stone2;til:2,2;;
i:cuboid_35;pos:149.2032,6756.079,346.5815;rot:0,144.0866,0;m:cuboid;scl:1,18,9;t:stone2;til:2,2;;
i:cuboid_36;pos:165.0927,6690.655,271.1978;rot:0,192.3095,0;m:cuboid;scl:1,18,9;t:stone2;til:2,2;;
i:cuboid_37;pos:81.92784,6785.293,390.1807;rot:0,282.0869,0;m:cuboid;scl:1,12,10;t:stone2;til:2,2;;
i:cuboid_38;pos:8.630137,6755.241,373.0627;rot:0,230.4862,0;m:cuboid;scl:1,18,9;t:stone2;til:2,2;;
i:cuboid_39;pos:-32.43945,6691.449,306.3059;rot:0,192.5753,0;m:cuboid;scl:1,18,9;t:stone2;til:2,2;;
i:cuboid_40;pos:-22.61639,6754.418,231.1778;rot:0,150.4939,0;m:cuboid;scl:1,18,9;t:stone2;til:2,2;;
i:cuboid_41;pos:36.67125,6744.813,124.9923;rot:0,102.5887,0;m:cuboid;scl:12,2,12;t:stone2;til:2,2;;
i:dummy1_42;pos:31.55206,6686.784,373.5943;rot:0,132.8098,0;m:dummy1;scl:1,2,1;t:stone2;til:2,2;;
i:dummy1_43;pos:122.5322,6687.27,352.4288;rot:0,234.174,0;m:dummy1;scl:1,2,1;t:stone2;til:2,2;;
i:dummy1_44;pos:-2.714323,6686.511,234.6436;rot:0,63.62201,0;m:dummy1;scl:1,2,1;t:stone2;til:2,2;;
i:dummy1_45;pos:113.4575,6686.718,219.8818;rot:0,325.4312,0;m:dummy1;scl:1,2,1;t:stone2;til:2,2;;
i:statue2_46;pos:65.90478,6686.146,288.696;rot:0,190.477,0;m:statue2;t:stone2;til:2,2;;
i:prism_47;pos:48.72742,6687.049,184.1255;rot:0,311.2708,0;m:prism;scl:2,0.1,2;clr:255,255,0,255;;
i:prism_48;pos:44.37825,6687.079,160.3351;rot:0,309.1309,0;m:prism;scl:2,0.1,2;clr:255,255,0,255;;
i:cuboid_49;pos:143.5738,6704.632,432.3198;rot:0,198.9535,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_50;pos:73.4844,6704.838,493.8669;rot:0,199.181,0;m:cuboid;scl:1,9,20;t:stone2;til:2,2;;
i:cuboid_51;pos:195.4015,6704.88,554.6282;rot:0,288.4071,0;m:cuboid;scl:1,9,20;t:stone2;til:2,2;;
i:cuboid_52;pos:254.6675,6704.912,453.5753;rot:0,287.8753,0;m:cuboid;scl:1,9,20;t:stone2;til:2,2;;
i:cuboid_53;pos:44.38437,6794.72,180.1565;rot:0,281.7976,0;m:cuboid;scl:1,10,12;t:stone2;til:2,2;;
i:cuboid_54;pos:385.3958,6705.192,543.6078;rot:0,198.5823,0;m:cuboid;scl:1,9,26;t:stone2;til:2,2;;
i:cuboid_55;pos:302.9744,6705.427,576.9451;rot:0,199.331,0;m:cuboid;scl:1,9,12;t:stone2;til:2,2;;
i:cuboid_56;pos:115.7417,6705.872,708.4158;rot:0,291.011,0;m:cuboid;scl:1,9,45;t:stone2;til:8,2;;
i:cuboid_57;pos:126.9416,6705.282,777.3219;rot:0,291.2007,0;m:cuboid;scl:1,9,65;t:stone2;til:8,2;;
i:boulder1_58;pos:21.23627,6678.834,77.65836;rot:0,241.1133,0;m:boulder1;scl:9,1,9;t:stone2;til:8,2;;
i:cuboid_59;pos:-104.3596,6706.386,749.1034;rot:0,200.9517,0;m:cuboid;scl:1,9,9;t:stone2;til:2,2;;
i:cuboid_60;pos:-174.1235,6705.24,764.9306;rot:0,202.496,0;m:cuboid;scl:1,9,25;t:stone2;til:2,2;;
i:cuboid_61;pos:-6.798668,6706.976,669.2974;rot:0,110.7772,0;m:cuboid;scl:1,9,25;t:stone2;til:2,2;;
i:cuboid_62;pos:-107.5324,6705.074,608.7366;rot:0,112.1767,0;m:cuboid;scl:1,9,25;t:stone2;til:2,2;;
i:cuboid_63;pos:62.7516,6707.086,514.6974;rot:0,200.6725,0;m:cuboid;scl:1,9,25;t:stone2;til:2,2;;
i:cuboid_64;pos:-210.3641,6707.29,559.6463;rot:0,112.3193,0;m:cuboid;scl:1,9,55;t:stone2;til:7,2;;
i:cuboid_65;pos:-305.5016,6707.563,681.942;rot:0,203.9088,0;m:cuboid;scl:1,9,16;t:stone2;til:7,2;;
i:cuboid_66;pos:-222.7401,6707.221,871.9767;rot:0,203.2687,0;m:cuboid;scl:1,9,16;t:stone2;til:7,2;;
i:cuboid_67;pos:-421.6288,6705.992,997.4662;rot:0,292.6519,0;m:cuboid;scl:1,9,56;t:stone2;til:7,2;;
i:cuboid_68;pos:-293.9438,6707.271,821.1398;rot:0,294.0989,0;m:cuboid;scl:1,9,10;t:stone2;til:7,2;;
i:cuboid_69;pos:-363.6044,6704.815,774.6944;rot:0,203.8473,0;m:cuboid;scl:1,9,15;t:stone2;til:7,2;;
i:cuboid_70;pos:-428.4942,6707.385,754.9796;rot:0,203.2395,0;m:cuboid;scl:1,9,25;t:stone2;til:7,2;;
i:cuboid_71;pos:-515.8658,6707.902,920.0569;rot:0,112.1059,0;m:cuboid;scl:1,9,30;t:stone2;til:7,2;;
i:cuboid_72;pos:-761.582,6705.69,901.4906;rot:0,203.2874,0;m:cuboid;scl:1,9,45;t:stone2;til:7,2;;
i:cuboid_73;pos:-698.8037,6708.088,853.9664;rot:0,201.8737,0;m:cuboid;scl:1,9,27;t:stone2;til:7,2;;
i:cuboid_74;pos:-758.063,6706.055,657.8291;rot:0,114.4235,0;m:cuboid;scl:1,9,21;t:stone2;til:7,2;;
i:cuboid_75;pos:-621.2231,6706.118,731.2817;rot:0,21.77807,0;m:cuboid;scl:1,9,32;t:stone2;til:7,2;;
i:cuboid_76;pos:-524.6662,6706.073,860.3582;rot:0,290.6552,0;m:cuboid;scl:1,9,8;t:stone2;til:7,2;;
i:cuboid_77;pos:-524.551,6705.591,763.6628;rot:0,200.954,0;m:cuboid;scl:1,9,19;t:stone2;til:7,2;;
i:cuboid_78;pos:-771.8466,6694.218,781.5251;rot:0,292.4343,0;m:cuboid;scl:1,2,8;t:stone2;til:7,2;;
i:cuboid_79;pos:-770.9575,6740.332,781.3959;rot:0,112.7331,0;m:cuboid;scl:1,5,8;t:stone2;til:7,2;;
i:cuboid_80;pos:-746.159,6711.2,771.069;rot:0,292.0429,0;m:cuboid;scl:1,9,3;t:stone2;til:7,2;;
i:cuboid_81;pos:-794.0173,6707.284,791.2744;rot:0,293.9329,0;m:cuboid;scl:1,9,3;t:stone2;til:7,2;;
i:cuboid_82;pos:-656.8748,6705.794,733.2773;rot:0,112.8403,0;m:cuboid;scl:1,9,6;t:stone2;til:7,2;;
i:cuboid_83;pos:-672.1974,6708.364,832.9551;rot:0,112.2603,0;m:cuboid;scl:1,9,6;t:stone2;til:7,2;;
i:cuboid_84;pos:-530.9949,6671.828,895.6564;rot:0,199.4905,0;m:cuboid;scl:1,9,6;t:stone2;til:7,2;;
i:cuboid_85;pos:-420.644,6708.478,909.3233;rot:0,203.7704,0;m:cuboid;scl:1,9,6;t:stone2;til:7,2;;
i:cuboid_86;pos:-519.4177,6705.815,1001.227;rot:0,204.4104,0;m:cuboid;scl:1,9,7;t:stone2;til:7,2;;
i:cuboid_87;pos:-574.8073,6706.904,1012.823;rot:0,112.6973,0;m:cuboid;scl:2,9,2;t:stone2;til:7,2;;
i:cuboid_88;pos:-641.7827,6708.149,983.4044;rot:0,201.733,0;m:cuboid;scl:2,9,2;t:stone2;til:7,2;;
i:cuboid_89;pos:-693.1049,6708.507,965.4217;rot:0,203.207,0;m:cuboid;scl:2,9,2;t:stone2;til:7,2;;
i:cuboid_90;pos:-715.0566,6708.469,911.4805;rot:0,202.957,0;m:cuboid;scl:2,9,2;t:stone2;til:7,2;;
i:cuboid_91;pos:-608.088,6709.314,872.1605;rot:0,113.5132,0;m:cuboid;scl:2,9,2;t:stone2;til:7,2;;
i:cuboid_92;pos:-473.4894,6705.277,855.8469;rot:0,109.2113,0;m:cuboid;scl:2,9,2;t:stone2;til:7,2;;
i:cuboid_93;pos:-459.4548,6707.672,777.3825;rot:0,204.8985,0;m:cuboid;scl:2,9,2;t:stone2;til:7,2;;
i:cuboid_94;pos:-716.5049,6708.724,703.8905;rot:0,112.9481,0;m:cuboid;scl:2,9,2;t:stone2;til:7,2;;
i:statue2_95;pos:134.6004,6683.207,428.1231;rot:0,294.5253,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_96;pos:70.1656,6683.397,455.3263;rot:0,116.2925,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_97;pos:258.315,6684.048,522.6949;rot:0,197.9817,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_98;pos:239.4908,6683.237,467.3965;rot:0,18.59163,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_99;pos:-45.70917,6682.501,780.8832;rot:0,19.98302,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_100;pos:210.8952,6684.125,683.2371;rot:0,22.52473,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_101;pos:231.2169,6685.281,725.7626;rot:0,207.2047,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_102;pos:-27.07628,6682.387,825.857;rot:0,201.463,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_103;pos:87.13515,6684.933,592.4594;rot:0,296.2198,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_104;pos:-40.58508,6684.614,668.8635;rot:0,204.0393,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_105;pos:-72.41322,6684.184,608.0193;rot:0,28.79933,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_106;pos:-148.2184,6682.971,612.3511;rot:0,203.045,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_107;pos:-173.2099,6683.718,555.153;rot:0,24.44503,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_108;pos:-188.3316,6681.357,892.5851;rot:0,200.0404,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_109;pos:-156.6059,6681.139,881.116;rot:0,201.0403,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_110;pos:-248.8596,6682.115,835.426;rot:0,294.726,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_111;pos:-225.5474,6681.106,882.9617;rot:0,292.486,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_112;pos:-363.1728,6684.454,753.1302;rot:0,116.2343,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_113;pos:-623.782,6683.246,955.0636;rot:0,202.4631,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_114;pos:-655.7513,6684.064,932.1523;rot:0,115.583,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:cuboid_115;pos:-581.1572,6705.789,661.1798;rot:0,52.78605,0;m:cuboid;scl:1,9,6;t:stone2;til:7,2;;
i:cuboid_116;pos:-472.6653,6707.315,614.7484;rot:0,170.9346,0;m:cuboid;scl:1,9,6;t:stone2;til:7,2;;
i:cuboid_117;pos:-611.3597,6706.216,559.4177;rot:0,142.4606,0;m:cuboid;scl:1,9,7;t:stone2;til:7,2;;
i:cuboid_118;pos:-617.3121,6705.863,613.7788;rot:0,203.8618,0;m:cuboid;scl:1,9,7;t:stone2;til:7,2;;
i:cuboid_119;pos:-501.3384,6706.483,567.4288;rot:0,57.8308,0;m:cuboid;scl:1,9,9;t:stone2;til:7,2;;
i:cuboid_120;pos:-518.9431,6706.019,508.9654;rot:0,337.728,0;m:cuboid;scl:1,9,9;t:stone2;til:7,2;;
i:cuboid_121;pos:-562.9584,6706.112,454.8596;rot:0,160.0319,0;m:cuboid;scl:1,9,17;t:stone2;til:7,2;;
i:cuboid_122;pos:-430.8355,6706.674,504.5346;rot:0,66.04459,0;m:cuboid;scl:1,9,17;t:stone2;til:7,2;;
i:cuboid_123;pos:-456.7972,6706.475,413.1797;rot:0,67.32427,0;m:cuboid;scl:1,9,18;t:stone2;til:7,2;;
i:cuboid_124;pos:-248.8105,6706.794,480.4417;rot:0,118.0384,0;m:cuboid;scl:1,9,25;t:stone2;til:7,2;;
i:cuboid_125;pos:-271.9924,6706.679,385.0077;rot:0,120.2281,0;m:cuboid;scl:1,9,25;t:stone2;til:7,2;;
i:dummy1_126;pos:-545.2006,6686.138,617.3961;rot:0,42.57663,0;m:dummy1;t:stone2;til:7,2;;
i:statue2_127;pos:-276.5631,6685.352,483.712;rot:0,206.3453,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:statue2_128;pos:-314.2276,6683.998,419.1145;rot:0,31.74486,0;m:statue2;scl:1,2,1;t:stone2;til:7,2;;
i:cuboid_129;pos:-448.667,6682.395,458.3502;rot:0,157.1246,0;m:cuboid;scl:1,3,8;t:stone2;til:7,2;;
i:cuboid_130;pos:-447.0423,6736.587,459.7498;rot:0,157.1745,0;m:cuboid;scl:1,3,8;t:stone2;til:7,2;;
i:cuboid_131;pos:-237.125,6736.345,421.5408;rot:0,205.9727,0;m:cuboid;scl:1,3,10;t:stone2;til:7,2;;
i:cuboid_132;pos:-195.9665,6699.419,406.0495;rot:0,26.22218,0;m:cuboid;scl:1,3,10;t:stone2;til:7,2;;
i:cuboid_133;pos:-448.7485,6711.865,460.9654;rot:0,68.69788,0;m:cuboid;scl:1,8,1;t:stone2;til:7,2;;
i:cuboid_134;pos:-440.4979,6712.462,439.3827;rot:0,69.41785,0;m:cuboid;scl:1,8,1;t:stone2;til:7,2;;
i:cuboid_135;pos:-90.98048,6755.054,396.4337;rot:0,117.775,0;m:cuboid;scl:1,18,18;t:stone2;til:7,2;;
i:cuboid_136;pos:-120.9448,6754.235,300.2441;rot:0,118.3825,0;m:cuboid;scl:1,18,18;t:stone2;til:7,2;;
i:prism_137;pos:-254.9477,6687.264,773.097;rot:0,240.5846,0;m:prism;scl:2,0.1,2;clr:255,255,0,255;;
i:prism_138;pos:-234.5994,6687.176,761.5427;rot:0,240.9445,0;m:prism;scl:2,0.1,2;clr:255,255,0,255;;
i:prism_139;pos:-564.2955,6687.127,538.1636;rot:0,105.8811,0;m:prism;scl:2,0.1,2;clr:255,255,0,255;;
i:prism_140;pos:-556.5408,6687.138,515.9643;rot:0,344.4003,0;m:prism;scl:2,0.1,2;clr:255,255,0,255;;
i:cuboid_141;pos:-56.51892,6710.093,323.0167;rot:0,192.6731,0;m:cuboid;scl:6,9,12;t:stone2;til:2,2;;
i:cuboid_142;pos:84.95149,6782.156,282.6029;rot:0,282.8445,0;m:cuboid;scl:8,0.5,24;t:stone2;til:2,2;;
i:cuboid_143;pos:88.40656,6778.711,279.0359;rot:0,285.4344,0;m:cuboid;scl:24,0.5,24;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_144;pos:273.6831,6779.823,238.6111;rot:0,285.1813,0;m:cuboid;scl:10,1,24;t:stone2;til:2,2;;
i:cuboid_145;pos:437.2917,6780.137,271.8286;rot:0,51.85772,0;m:cuboid;scl:10,1,24;t:stone2;til:2,2;;
i:cuboid_146;pos:557.3773,6780.335,433.9753;rot:0,21.26086,0;m:cuboid;scl:10,1,24;t:stone2;til:2,2;;
i:cuboid_147;pos:547.8398,6780.399,610.5982;rot:0,332.9958,0;m:cuboid;scl:10,1,24;t:stone2;til:2,2;;
i:cuboid_148;pos:412.6843,6780.882,748.2975;rot:0,296.7993,0;m:cuboid;scl:10,1,24;t:stone2;til:2,2;;
i:cuboid_149;pos:387.8878,6781.24,858.8759;rot:0,25.49,0;m:cuboid;scl:10,1,24;t:stone2;til:2,2;;
i:cuboid_150;pos:334.3961,6781.571,960.1422;rot:0,114.8044,0;m:cuboid;scl:10,1,24;t:stone2;til:2,2;;
i:cuboid_151;pos:379.7227,6811.212,990.0176;rot:0,295.7172,0;m:cuboid;scl:1,6.7,22;t:stone2;til:2,2;;
i:cuboid_152;pos:284.3354,6813.631,926.9962;rot:0,294.9057,0;m:cuboid;scl:1,6.7,15;t:stone2;til:2,2;;
i:cuboid_153;pos:268.5569,6750.469,199.2983;rot:0,285.2478,0;m:cuboid;scl:1,19,24;t:stone2;til:2,2;;
i:cuboid_154;pos:264.1111,6750.988,289.1409;rot:0,104.5264,0;m:cuboid;scl:1,19,18.5;t:stone2;til:2,2;;
i:cuboid_155;pos:466.933,6750.072,238.1104;rot:0,231.4248,0;m:cuboid;scl:1,19,24;t:stone2;til:2,2;;
i:cuboid_156;pos:598.5883,6690.162,417.3823;rot:0,21.65894,0;m:cuboid;scl:1,19,24;t:stone2;til:2,2;;
i:cuboid_157;pos:566.8173,6792.219,340.0337;rot:0,22.40905,0;m:cuboid;scl:1,12,1;t:stone2;til:2,2;;
i:cuboid_158;pos:590.3933,6749.481,627.627;rot:0,333.2545,0;m:cuboid;scl:1,19,24;t:stone2;til:2,2;;
i:cuboid_159;pos:575.6448,6791.958,363.1762;rot:0,110.7087,0;m:cuboid;scl:1,12,1;t:stone2;til:2,2;;
i:cuboid_160;pos:584.0317,6792.369,386.446;rot:0,21.0051,0;m:cuboid;scl:1,12,1;t:stone2;til:2,2;;
i:cuboid_161;pos:592.6651,6792.375,406.9971;rot:0,200.9352,0;m:cuboid;scl:1,12,1;t:stone2;til:2,2;;
i:cuboid_162;pos:600.5588,6792.525,427.7556;rot:0,291.3415,0;m:cuboid;scl:1,12,1;t:stone2;til:2,2;;
i:cuboid_163;pos:609.8886,6792.7,449.7105;rot:0,291.5773,0;m:cuboid;scl:1,12,1;t:stone2;til:2,2;;
i:cuboid_164;pos:617.8041,6792.298,473.1903;rot:0,23.20312,0;m:cuboid;scl:1,12,1;t:stone2;til:2,2;;
i:cuboid_165;pos:627.2717,6793.371,496.7797;rot:0,115.4428,0;m:cuboid;scl:1,12,1;t:stone2;til:2,2;;
i:cuboid_166;pos:597.9692,6792.056,414.9147;rot:0,21.09039,0;m:cuboid;scl:1,12,24;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_167;pos:-197.0486,6750.611,715.8783;rot:0,103.4756,0;m:cuboid;scl:50,2,130;t:stone2;til:25,25;;
i:cuboid_168;pos:-640.1973,6750.517,1031.19;rot:0,191.4239,0;m:cuboid;scl:12,2,12;t:stone2;til:25,25;;
i:cuboid_169;pos:-429.607,6750.99,496.6533;rot:0,114.9691,0;m:cuboid;scl:28,2,55;t:stone2;til:12,12;;
i:cuboid_170;pos:-195.8847,6803.701,359.0965;rot:0,205.9417,0;m:cuboid;scl:1,9,23;t:stone2;til:12,12;;
i:cuboid_171;pos:300.2892,6701.597,493.5858;rot:0,22.99207,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_172;pos:358.6722,6696.916,642.9644;rot:0,290.9371,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_173;pos:-89.95757,6700.066,654.569;rot:0,113.9197,0;m:cuboid;scl:2,9,2;t:stone2;til:2,2;;
i:cuboid_174;pos:-51.54731,6670.1,540.5963;rot:0,23.71591,0;m:cuboid;scl:1,9,9;t:stone2;til:2,2;;
i:cuboid_175;pos:-256.0577,6654.955,689.8817;rot:0,108.1614,0;m:cuboid;scl:1,9,9;t:stone2;til:2,2;;
i:cuboid_176;pos:-259.6166,6716.523,691.3812;rot:0,17.96128,0;m:cuboid;scl:1,9,1;t:stone2;til:2,2;;
i:cuboid_177;pos:-234.8379,6713.07,682.492;rot:0,21.62123,0;m:cuboid;scl:1,9,1;t:stone2;til:2,2;;
i:cuboid_178;pos:-287.506,6701.399,781.872;rot:0,302.9566,0;m:cuboid;scl:1,9,1;t:stone2;til:2,2;;
i:cuboid_179;pos:-395.0694,6699.478,724.5403;rot:0,112.3015,0;m:cuboid;scl:1,9,1;t:stone2;til:2,2;;
i:cuboid_180;pos:-388.3711,6669.527,792.7076;rot:0,110.4515,0;m:cuboid;scl:1,9,5;t:stone2;til:2,2;;
i:cuboid_181;pos:-400.9976,6665.407,956.0516;rot:0,22.0454,0;m:cuboid;scl:1,9,5;t:stone2;til:2,2;;
i:cuboid_182;pos:-516.3998,6667.448,709.0998;rot:0,289.0743,0;m:cuboid;scl:1,9,5;t:stone2;til:2,2;;
i:cuboid_183;pos:58.04187,6696.419,781.6817;rot:0,112.2188,0;m:cuboid;scl:1,9,1;t:stone2;;
i:cuboid_184;pos:88.98988,6698.651,747.4401;rot:0,112.2188,0;m:cuboid;scl:1,9,1;t:stone2;;
i:dummy1_185;pos:-87.31187,6685.857,358.8943;rot:0,286.4427,0;m:dummy1;scl:1,2,1;t:stone2;til:2,2;;
i:dummy1_186;pos:-100.5588,6686.562,320.7165;rot:0,296.0028,0;m:dummy1;scl:1,2,1;t:stone2;til:2,2;;
i:dummy1_187;pos:-61.36023,6750.094,322.9066;rot:0,289.6902,0;m:dummy1;scl:1,2,1;t:stone2;til:2,2;;
i:cuboid_188;pos:36.9762,6815.177,315.0391;rot:0,14.68107,0;m:cuboid;scl:1,6.5,1;t:stone2;til:2,2;;
i:cuboid_189;pos:8.489754,6816.637,283.5921;rot:0,99.78095,0;m:cuboid;scl:1,6.5,1;t:stone2;til:2,2;;
i:cuboid_190;pos:84.47317,6815.123,284.5247;rot:0,11.88073,0;m:cuboid;scl:1,6.5,1;t:stone2;til:2,2;;
i:cuboid_191;pos:132.9564,6812.281,254.6825;rot:0,102.1801,0;m:cuboid;scl:1,6.5,1;t:stone2;til:2,2;;
i:cuboid_192;pos:210.0767,6798.769,257.9755;rot:0,194.0784,0;m:cuboid;scl:1,3,10;t:stone2;til:2,2;;
i:cuboid_193;pos:212.2856,6836.528,271.6437;rot:0,194.617,0;m:cuboid;scl:1,2,10;t:stone2;til:2,2;;
i:cuboid_194;pos:282.9426,6804.685,226.8557;rot:0,16.16054,0;m:cuboid;scl:1,2,10;t:stone2;til:2,2;;
i:cuboid_195;pos:412.5707,6813.554,320.2172;rot:0,48.87207,0;m:cuboid;scl:1,6.5,17;t:stone2;til:2,2;;
i:cuboid_196;pos:510.1918,6812.832,459.468;rot:0,199.7342,0;m:cuboid;scl:1,6.7,19;t:stone2;til:2,2;;
i:cuboid_197;pos:505.0713,6812.805,607.291;rot:0,329.2046,0;m:cuboid;scl:1,6.7,15;t:stone2;til:2,2;;
