i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:boulder1_39;pos:184.73,476.4841,5444.983;rot:0.9529324,18.61956,336.6183;m:boulder1;scl:-10,-20,10;;
i:boulder1_40;pos:136.7145,486.6246,5357.562;rot:1.31702,50.87135,339.3825;m:boulder1;scl:-10,-20,10;;
i:boulder1_41;pos:-48.32821,464.714,5218.42;rot:340.7872,13.93264,357.2711;m:boulder1;scl:-5,-20,5;;
i:boulder1_42;pos:-203.0629,474.0235,5254.544;rot:346.7487,83.34644,343.4501;m:boulder1;scl:-5,-20,5;;
i:boulder1_43;pos:-264.8294,508.5733,5379.346;rot:342,71.87513,-2.693132E-06;m:boulder1;scl:-5,-20,5;;
i:boulder1_44;pos:78.55175,477.0567,5745.471;rot:344.8052,260.6217,342.7961;m:boulder1;scl:-5,-20,5;;
i:boulder1_45;pos:109.91,497.8519,5491.317;rot:0,154.9741,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_46;pos:69.80038,499.8581,5562.25;rot:0,126.674,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_47;pos:5.425315,500.3279,5606.536;rot:0,105.0539,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_48;pos:85.01361,495.3713,5418.583;rot:0,206.2066,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_49;pos:26.14764,498.3526,5363.733;rot:0,235.1455,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_50;pos:-53.58141,497.6899,5347.72;rot:0,270.2702,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_51;pos:-124.6472,493.6076,5380.779;rot:0,299.3693,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_52;pos:-163.672,497.9498,5432.994;rot:0,326.2068,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_53;pos:-71.5245,500.8668,5608.446;rot:0,56.90146,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_54;pos:-133.2849,501.7208,5563.812;rot:0,22.52856,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_55;pos:-165.0218,499.3414,5500.292;rot:0,350.8452,0;m:boulder1;scl:-5,-20,5;;
i:boulder1_56;pos:-177.2866,513.4703,5358.505;rot:0,321.2183,0;m:boulder1;scl:8,-20,8;;
i:boulder1_57;pos:-46.81598,505.7686,5297.867;rot:0,99.78473,0;m:boulder1;scl:8,-20,8;;
i:boulder1_58;pos:-227.3892,516.1128,5472.405;rot:0,356.1279,0;m:boulder1;scl:8,-20,8;;
i:boulder1_59;pos:-189.739,509.3639,5589.228;rot:0,31.85477,0;m:boulder1;scl:8,-20,8;;
i:boulder1_60;pos:-75.80627,496.174,5671.023;rot:0,68.56245,0;m:boulder1;scl:8,-20,8;;
i:boulder1_61;pos:59.64339,483.2837,5644.807;rot:0,117.832,0;m:boulder1;scl:8,-20,8;;
i:boulder1_62;pos:138.9773,486.8938,5522.694;rot:358.28,175.412,1.88;m:boulder1;scl:8,-20,8;;
i:boulder1_63;pos:131.0736,488.0516,5391.22;rot:0,213.078,0;m:boulder1;scl:8,-20,8;;
i:boulder1_64;pos:52.93751,493.5604,5339.462;rot:0,250.6074,0;m:boulder1;scl:8,-20,8;;
i:tower1_65;pos:-78.52294,668.4359,5552.776;rot:0,2.591924,0;m:tower1;scl:4,1,1;;
i:tower1_66;pos:-95.01375,678.6606,5294.65;rot:0,340.2319,0;m:tower1;scl:4,1,1;;
i:tower1_67;pos:28.86715,665.9256,5436.114;rot:0,317.4318,0;m:tower1;scl:4,1,1;;
i:tower1_68;pos:-146.8104,678.5497,5296.462;rot:0,24.91199,0;m:tower1;scl:4,1,1;;
i:tower1_69;pos:-14.46306,668.4456,5592.047;rot:0,294.9518,0;m:tower1;scl:4,1,1;;
i:tower1_70;pos:-16.33909,668.4205,5641.553;rot:0,69.83195,0;m:tower1;scl:4,1,1;;
i:tower1_71;pos:195.1611,666.1423,5459.815;rot:0,2.471736,0;m:tower1;scl:4,1,1;;
i:tower1_72;pos:25.22474,665.8893,5421.039;rot:0,47.43207,0;m:tower1;scl:4,1,1;;
i:tower1_73;pos:68.59601,666.1931,5422.105;rot:0,136.9519,0;m:tower1;scl:4,1,1;;
i:tower1_74;pos:55.88147,666.5496,5482.976;rot:0,272.5118,0;m:tower1;scl:4,1,1;;
i:tower1_75;pos:-137.4347,668.4797,5648.507;rot:0,114.8261,0;m:tower1;scl:4,1,1;;
i:tower1_76;pos:58.3836,666.4315,5564.464;rot:0,47.472,0;m:tower1;scl:4,1,1;;
i:tower1_77;pos:95.53182,666.4952,5543.331;rot:0,160.0038,0;m:tower1;scl:4,1,1;;
i:tower1_78;pos:-122.0439,668.4719,5669.891;rot:0,137.4656,0;m:tower1;scl:4,1,1;;
i:tower1_79;pos:-69.10884,678.7273,5404.002;rot:0,227.505,0;m:tower1;scl:4,1,1;;
i:tower1_80;pos:-56.15547,668.4565,5696.233;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_81;pos:-98.36025,678.6685,5240.887;rot:0,2.595233,0;m:tower1;scl:4,1,1;;
i:tower1_82;pos:-135.4333,678.5736,5255.273;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_83;pos:-134.2498,678.5732,5282.649;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_84;pos:-82.08356,668.6533,5766.241;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_85;pos:-116.163,678.6769,5425.568;rot:0,182.6076,0;m:tower1;scl:4,1,1;;
i:tower1_86;pos:-149.1033,678.558,5236.18;rot:0,227.4877,0;m:tower1;scl:4,1,1;;
i:tower1_87;pos:-33.39425,668.7012,5743.355;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_88;pos:-119.2851,678.6564,5215.173;rot:0,137.4476,0;m:tower1;scl:4,1,1;;
i:tower1_89;pos:-130.8529,678.5854,5216.262;rot:0,227.4876,0;m:tower1;scl:4,1,1;;
i:tower1_90;pos:-99.2961,678.6403,5233.558;rot:0,137.4074,0;m:tower1;scl:4,1,1;;
i:tower1_91;pos:-148.0317,678.5532,5242.905;rot:0,2.471927,0;m:tower1;scl:4,1,1;;
i:tower1_92;pos:-52.39182,668.4277,5556.871;rot:0,340.2319,0;m:tower1;scl:4,1,1;;
i:tower1_93;pos:-72.52393,678.6857,5308.436;rot:0,317.4318,0;m:tower1;scl:4,1,1;;
i:tower1_94;pos:-104.2007,668.4696,5558.885;rot:0,24.91199,0;m:tower1;scl:4,1,1;;
i:tower1_95;pos:-57.05864,678.685,5329.839;rot:0,294.9518,0;m:tower1;scl:4,1,1;;
i:tower1_96;pos:-58.98071,678.7375,5379.258;rot:0,69.83195,0;m:tower1;scl:4,1,1;;
i:tower1_97;pos:-51.01404,678.6637,5355.516;rot:0,272.3918,0;m:tower1;scl:4,1,1;;
i:tower1_98;pos:-182.0771,678.5961,5334.399;rot:0,70.07204,0;m:tower1;scl:4,1,1;;
i:tower1_99;pos:-168.2161,678.5421,5311.916;rot:0,47.43196,0;m:tower1;scl:4,1,1;;
i:tower1_100;pos:-181.8751,678.5101,5361.071;rot:0,272.5118,0;m:tower1;scl:4,1,1;;
i:tower1_101;pos:-180.1062,678.5665,5386.146;rot:0,114.8261,0;m:tower1;scl:4,1,1;;
i:tower1_102;pos:-91.56505,678.739,5415.236;rot:0,24.91195,0;m:tower1;scl:4,1,1;;
i:tower1_103;pos:-142.2067,678.6551,5421.41;rot:0,160.0038,0;m:tower1;scl:4,1,1;;
i:tower1_104;pos:-164.689,678.627,5407.552;rot:0,137.4656,0;m:tower1;scl:4,1,1;;
i:tower1_105;pos:-26.49124,668.4109,5666.316;rot:0,227.505,0;m:tower1;scl:4,1,1;;
i:tower1_106;pos:-106.3903,678.6585,5254.193;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_107;pos:-69.52504,668.6722,5777.687;rot:0,182.6076,0;m:tower1;scl:4,1,1;;
i:tower1_108;pos:-53.13465,668.6559,5764.897;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_109;pos:79.50741,666.5877,5547.747;rot:0,227.6078,0;m:tower1;scl:4,1,1;;
i:tower1_110;pos:-105.1996,678.6595,5281.599;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_111;pos:-45.75525,668.6261,5755.98;rot:0,182.4476,0;m:tower1;scl:4,1,1;;
i:tower1_112;pos:-95.33031,668.5932,5758.209;rot:0,182.4476,0;m:tower1;scl:4,1,1;;
i:tower1_113;pos:-46.69155,668.5856,5735.316;rot:0,182.4476,0;m:tower1;scl:4,1,1;;
i:tower1_114;pos:33.05685,666.0774,5367.383;rot:0,2.591924,0;m:tower1;scl:4,1,1;;
i:tower1_115;pos:-29.9069,668.4433,5570.662;rot:0,317.4318,0;m:tower1;scl:4,1,1;;
i:tower1_116;pos:41.8175,666.201,5391.312;rot:0,316.9518,0;m:tower1;scl:4,1,1;;
i:tower1_117;pos:178.8169,666.4617,5501.164;rot:0,69.83195,0;m:tower1;scl:4,1,1;;
i:tower1_118;pos:-8.39719,668.4276,5617.703;rot:0,272.3918,0;m:tower1;scl:4,1,1;;
i:tower1_119;pos:-139.4124,668.5134,5596.77;rot:0,70.07204,0;m:tower1;scl:4,1,1;;
i:tower1_120;pos:-125.5759,668.5104,5574.31;rot:0,47.43196,0;m:tower1;scl:4,1,1;;
i:tower1_121;pos:-139.154,668.3892,5623.544;rot:0,272.5118,0;m:tower1;scl:4,1,1;;
i:tower1_122;pos:57.63137,666.5295,5508.055;rot:0,114.8261,0;m:tower1;scl:4,1,1;;
i:tower1_123;pos:-48.9458,668.4301,5677.54;rot:0,24.91195,0;m:tower1;scl:4,1,1;;
i:tower1_124;pos:-99.56574,668.5289,5683.741;rot:0,160.0038,0;m:tower1;scl:4,1,1;;
i:tower1_125;pos:67.45934,666.1907,5392.765;rot:0,137.4656,0;m:tower1;scl:4,1,1;;
i:tower1_126;pos:3.622796,665.9924,5381.628;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_127;pos:142.7691,666.1607,5416.375;rot:0,340.2319,0;m:tower1;scl:4,1,1;;
i:tower1_128;pos:90.97623,666.1879,5418.379;rot:0,24.91199,0;m:tower1;scl:4,1,1;;
i:tower1_129;pos:168.6689,666.4866,5525.908;rot:0,227.505,0;m:tower1;scl:4,1,1;;
i:tower1_130;pos:-85.03769,668.5401,5697.529;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_131;pos:-54.96694,668.4608,5723.613;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_132;pos:-83.86251,668.5356,5724.927;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_133;pos:-103.6187,668.53,5746.44;rot:0,272.4752,0;m:tower1;scl:4,1,1;;
i:tower1_134;pos:121.604,666.463,5547.48;rot:0,182.6076,0;m:tower1;scl:4,1,1;;
i:tower1_135;pos:-96.21521,668.5531,5737.529;rot:0,182.4476,0;m:tower1;scl:4,1,1;;
i:tower1_136;pos:27.0447,666.3473,5593.216;rot:0,182.6076,0;m:tower1;scl:4,1,1;;
i:tower1_137;pos:221.8797,666.152,5462.974;rot:0,182.4476,0;m:tower1;scl:4,1,1;;
i:tower1_138;pos:-39.78287,668.9569,5560.982;rot:0,329.0895,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_139;pos:-65.51678,669.3818,5551.967;rot:0,351.8698,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_140;pos:-20.12918,668.4883,5579.782;rot:0,304.1512,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_141;pos:-8.819077,668.2178,5604.193;rot:0,283.0663,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_142;pos:-7.928014,668.3272,5631.442;rot:0,259.9591,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_143;pos:-17.26625,668.1205,5656.133;rot:0,238.6791,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_144;pos:-35.76952,668.3439,5676.373;rot:0,215.3902,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_145;pos:-92.25358,668.3965,5553.245;rot:0,13.65462,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_146;pos:-116.7031,668.3295,5564.77;rot:0,36.36938,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_147;pos:-135.0286,668.3857,5584.286;rot:0,58.31084,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_148;pos:-144.3355,668.7489,5609.301;rot:0,80.59999,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_149;pos:-143.0853,668.3777,5636.345;rot:0,103.6083,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_150;pos:-132.2983,668.6348,5661.184;rot:0,125.6802,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_151;pos:-112.0035,668.4426,5679.216;rot:0,148.3932,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_152;pos:-92.23067,668.5362,5688.901;rot:0,125.1413,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_153;pos:-54.06569,668.2401,5687.367;rot:0,237.3807,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_154;pos:-108.3281,668.6489,5755.927;rot:0,92.45747,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_155;pos:-59.55247,668.5341,5733.137;rot:0,92.35368,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_156;pos:-89.15894,668.608,5734.746;rot:0,92.45747,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_157;pos:-39.49964,668.6129,5733.083;rot:0,92.35368,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_158;pos:-109.2928,668.6453,5735.983;rot:0,92.45747,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_159;pos:-39.04431,668.6929,5753.098;rot:0,92.35368,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_160;pos:-88.11742,668.4525,5755.826;rot:0,92.45747,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_161;pos:-58.60571,668.5356,5754.704;rot:0,92.35368,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_162;pos:-86.98515,668.7277,5776.044;rot:0,92.45747,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_163;pos:-58.01869,668.5729,5775.011;rot:0,92.35368,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_164;pos:-90.00051,668.6073,5710.787;rot:0,92.45747,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_165;pos:-60.8309,668.413,5709.446;rot:0,92.35368,0;m:tower1;scl:1.5,1,1.5;clr:255,255,255,255;;
i:tower1_166;pos:246.907,667.0833,5719.202;rot:0,226.2023,0;m:tower1;scl:2,1,0.5;;
i:tower1_167;pos:254.0994,666.9951,5708.13;rot:0,248.5488,0;m:tower1;scl:2,1,0.5;;
i:tower1_168;pos:256.51,667.056,5695.199;rot:0,271.1765,0;m:tower1;scl:2,1,0.5;;
i:tower1_169;pos:253.7885,666.9519,5682.29;rot:0,293.5775,0;m:tower1;scl:2,1,0.5;;
i:tower1_170;pos:246.327,666.9581,5671.425;rot:0,316.1234,0;m:tower1;scl:2,1,0.5;;
i:tower1_171;pos:235.2239,666.8165,5664.257;rot:0,338.7529,0;m:tower1;scl:2,1,0.5;;
i:spawnhuman_172;pos:-121.6562,710.139,5307.263;rot:0,357.006,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawnhuman_173;pos:-74.39642,695.7273,5676.396;rot:0,183.055,0;m:spawnhuman;l:23;c:spawner, f:2, t:1;;
i:tower1_174;pos:-137.3701,678.5707,5433.414;rot:0,222.4764,0;m:tower1;scl:4,1,1;clr:255,255,255,255;;
i:tower1_175;pos:-128.1614,668.4459,5564.876;rot:0,155.0155,0;m:tower1;scl:4,1,1;clr:255,255,255,255;;
i:tower1_176;pos:-166.593,675.0956,5487.33;rot:0,267.6046,0;m:tower1;scl:4,1,1;clr:255,255,255,255;;
i:tower1_177;pos:-148.567,670.2051,5542.826;rot:0,312.481,0;m:tower1;scl:4,1,1;clr:255,255,255,255;;
i:tower1_178;pos:-157.2331,677.0937,5456.767;rot:0,245.0104,0;m:tower1;scl:4,1,1;clr:255,255,255,255;;
i:tower1_179;pos:184.4923,666.4442,5490.478;rot:0,34.631,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_180;pos:38.18764,666.1216,5376.155;rot:0,47.43168,0;m:tower1;scl:4,1,1;clr:255,255,255,255;;
i:tower1_181;pos:-102.1413,678.8624,5425.157;rot:0,193.7677,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_182;pos:-163.0685,672.4809,5517.17;rot:0,290.0855,0;m:tower1;scl:4,1,1;;
i:tower1_183;pos:11.00369,666.0562,5372.693;rot:0,182.5265,0;m:tower1;scl:4,1,1;;
i:tower1_184;pos:12.64939,665.9796,5410.301;rot:0,227.031,0;m:tower1;scl:4,1,1;;
i:tower1_185;pos:19.44535,666.5921,5539.437;rot:0,317.5226,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_186;pos:175.4459,666.0569,5439.254;rot:0,305.596,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_187;pos:14.4018,666.2715,5580.778;rot:0,92.53481,0;m:tower1;scl:4,1,1;;
i:tower1_188;pos:54.58184,666.3929,5587.687;rot:0,2.603513,0;m:tower1;scl:4,1,1;;
i:tower1_189;pos:58.54368,666.3854,5582.146;rot:0,137.3035,0;m:tower1;scl:4,1,1;;
i:tower1_190;pos:13.19805,666.5676,5553.715;rot:0,92.53189,0;m:tower1;scl:4,1,1;;
i:tower1_191;pos:-137.3578,670.2112,5552.958;rot:0,318.3236,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_192;pos:-156.6572,672.4928,5530.392;rot:0,295.5923,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_193;pos:-166.0631,674.9429,5501.879;rot:0,274.2625,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_194;pos:-163.0125,677.4716,5472.645;rot:0,250.3566,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_195;pos:-149.4867,678.6766,5446.423;rot:0,227.6859,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_196;pos:186.0609,666.0884,5457.884;rot:0,328.8195,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_197;pos:68.64101,666.4999,5589.335;rot:0,227.5715,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_198;pos:104.4531,666.2049,5418.834;rot:0,193.2474,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_199;pos:129.9077,666.211,5411.753;rot:0,349.7327,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_200;pos:155.0081,666.074,5420.231;rot:0,329.6167,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_201;pos:33.93076,666.4869,5556.115;rot:0,227.5807,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_202;pos:71.32614,666.6262,5553.739;rot:0,317.424,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_203;pos:49.97728,666.4457,5534.197;rot:0,317.1223,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_204;pos:-78.07179,678.9083,5413.673;rot:0,217.5153,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_205;pos:-59.60849,678.7141,5394.062;rot:0,238.4954,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_206;pos:-50.0971,678.916,5368.808;rot:0,262.7257,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_207;pos:-129.31,678.674,5426.149;rot:0,171.4718,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_208;pos:78.00391,666.234,5422.708;rot:0,359.5088,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_209;pos:58.59098,666.1469,5443.829;rot:0,97.16752,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_210;pos:50.83912,666.4955,5469.202;rot:0,81.01304,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_211;pos:52.21998,666.5142,5496.865;rot:0,105.3283,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_212;pos:59.00759,666.2408,5517.152;rot:0,80.69283,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_213;pos:87.02831,666.5521,5543.128;rot:0,194.2005,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_214;pos:254.9542,666.1542,5449.458;rot:0,272.5144,0;m:tower1;scl:4,1,1;;
i:tower1_215;pos:50.97316,665.9489,5427.271;rot:0,317.2209,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_216;pos:65.53054,666.1881,5411.445;rot:0,317.2209,0;m:tower1;scl:1.5,1,1.5;;
i:tower1_217;pos:93.75536,580.6875,5481.262;rot:0.05261829,0.9914857,269.9182;m:tower1;scl:0.5,1,0.5;;
