i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cuboid_0;pos:-5,-4.719997,0;m:cuboid;scl:135,1,140;t:bark3;til:5,5;clr:255,178,255,255;;
i:arc180_36;pos:-16.03046,17.85175,43.11156;rot:0,357.4287,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_37;pos:-16.29882,17.68771,63.30948;rot:0,0.6784977,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_38;pos:-16.65319,17.65403,82.96167;rot:0,357.4206,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_39;pos:-16.70281,17.72792,102.9568;rot:0,0.9202304,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_40;pos:-16.38102,17.67981,122.8714;rot:0,0.9192411,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_41;pos:-16.82989,17.72731,142.421;rot:0,357.1572,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_42;pos:-17.45255,17.55036,162.5582;rot:0,359.656,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_43;pos:-17.42396,17.5705,182.1773;rot:0,0.6801821,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_44;pos:-17.46126,17.38388,201.5975;rot:0,358.8984,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_45;pos:-17.25817,17.24838,219.8539;rot:0,2.147787,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_46;pos:-4.792939,17.84765,52.1618;rot:0,176.1415,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_47;pos:-5.944832,17.88763,71.60878;rot:0,176.1415,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_48;pos:-5.989712,17.95178,91.00013;rot:0,176.3914,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_49;pos:-6.214133,17.72196,110.4134;rot:0,179.1323,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_50;pos:-6.1731,17.72249,130.2175;rot:0,179.1323,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_51;pos:-6.756513,17.5328,149.3964;rot:0,176.6271,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_52;pos:-7.050932,17.72553,169.0117;rot:0,177.6269,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_53;pos:-7.077416,17.29987,188.3458;rot:0,178.1265,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc180_54;pos:-7.317036,16.93987,207.6374;rot:0,178.1265,0;m:arc180;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc90_55;pos:-4.304573,16.22232,38.8826;rot:0,5.273422,0;m:arc90;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:arc90_56;pos:-7.180355,16.14903,222.7028;rot:0,270.1041,0;m:arc90;scl:1,3,1;t:bark3;clr:255,144,255,255;;
i:cuboid_57;pos:-15.89791,11.27183,232.83;rot:0,196.8618,0;m:cuboid;scl:0.7,0.3,0.7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_58;pos:-10.97907,25.64396,130.1623;rot:0,359.2905,0;m:cuboid;scl:2,0.5,20;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_59;pos:-11.78312,27.07173,237.8363;rot:0,177.8079,0;m:tube;scl:2,2,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_60;pos:-11.0886,40.82618,238.6065;rot:0,8.804292,0;m:tube;scl:2,2,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_61;pos:-11.12679,55.21053,238.6095;rot:0,359.3003,0;m:tube;scl:2,2,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_62;pos:-10.91401,69.41542,238.5166;rot:0,359.0502,0;m:tube;scl:2,2,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_63;pos:-10.8027,83.60503,238.6768;rot:0,359.2906,0;m:tube;scl:2,2,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cone_64;pos:-12.69758,103.4052,238.498;rot:0,179.2775,0;m:cone;scl:0.5,1,0.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_65;pos:-11.91937,15.39833,239.2671;rot:0,296.2672,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_66;pos:-11.84179,18.42241,239.2292;rot:0,271.7632,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_67;pos:-11.91916,11.65834,239.0217;rot:0,185.7523,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_68;pos:-11.83322,21.6849,239.1971;rot:0,263.7434,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_69;pos:-11.68177,25.12488,239.1687;rot:0,263.7434,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_70;pos:-11.72475,28.60499,239.1803;rot:0,263.7434,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_71;pos:-11.73113,32.16497,239.1568;rot:0,263.7434,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_72;pos:-11.75085,35.57,239.2087;rot:0,264.4933,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_73;pos:-11.68149,39.07777,239.271;rot:0,275.2263,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_74;pos:-11.63437,41.63776,239.3471;rot:0,275.2263,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_75;pos:-11.63566,45.28077,239.3905;rot:0,275.7261,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_76;pos:-11.61177,48.80083,239.4283;rot:0,275.7261,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_77;pos:-11.58787,52.24091,239.4661;rot:0,275.7261,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_78;pos:-11.58696,55.64869,239.4346;rot:0,273.9758,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_79;pos:-11.35051,58.12429,239.4184;rot:0,5.472514,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_80;pos:-11.26889,59.84433,239.4314;rot:0,5.47252,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_81;pos:-11.26691,62.7644,239.4521;rot:0,5.47252,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_82;pos:-11.2877,66.16447,239.4549;rot:0,5.222524,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_83;pos:-11.32201,69.82768,239.4352;rot:0,6.722523,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_84;pos:-11.3267,73.02749,239.3955;rot:0,6.722523,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_85;pos:-11.32781,76.67896,239.383;rot:0,4.971863,0;m:tube;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:tube_86;pos:-12.13512,12.20933,238.981;rot:0,233.1882,0;m:tube;scl:0.68,0.68,0.68;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_87;pos:-12.35953,11.53947,239.3217;rot:0,296.4276,0;m:tube;scl:0.85,0.85,0.85;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_88;pos:-1.556974,15.86345,247.9696;rot:0,270.1629,0;m:cuboid;scl:4,1,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_89;pos:-22.64844,14.73237,247.2618;rot:0,88.90032,0;m:cuboid;scl:4,1,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_90;pos:-12.859,14.55421,248.567;rot:0,180.8873,0;m:cuboid;scl:2,1,1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_91;pos:-10.49967,11.55842,133.5137;rot:0,359.6151,0;m:cuboid;scl:2,0.3,20;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_92;pos:-6.97142,11.55347,232.1796;rot:0,147.609,0;m:cuboid;scl:0.7,0.3,0.7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_93;pos:-7.13834,11.43484,245.216;rot:0,88.1069,0;m:cuboid;scl:0.7,0.3,0.7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_94;pos:-18.20311,11.91857,241.8233;rot:0,225.3492,0;m:cuboid;scl:0.7,0.3,0.7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_95;pos:-12.03551,2.628816,239.2613;rot:0,269.0857,0;m:cuboid;scl:0.5,0.5,0.5;t:bark3;clr:255,144,255,255;;
i:cuboid_96;pos:-12.05054,5.663243,239.3253;rot:0,269.8326,0;m:cuboid;scl:0.2,0.2,0.2;mat:transparent;clr:0,255,0,175;l:0;c:trigger;c:checkpoint;;
i:cuboid_97;pos:-9.542641,24.59606,23.38007;rot:0,359.1068,0;m:cuboid;scl:2,0.1,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_98;pos:-9.967815,21.5249,19.51541;rot:0,358.5729,0;m:cuboid;scl:2,2,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_99;pos:-2.241052,20.49185,27.26549;rot:0,269.5712,0;m:cuboid;scl:2,2,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_100;pos:-17.74567,22.44313,26.71712;rot:0,89.06846,0;m:cuboid;scl:2,2,0.1;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_101;pos:-12.2697,0.2834496,246.0754;rot:0,179.1401,0;m:cuboid;scl:2,0.5,2;t:bark3;clr:255,156,255,255;;
i:cuboid_102;pos:-20.84505,4.867675,245.9973;rot:0,179.0737,0;m:cuboid;scl:0.3,1,2;t:bark3;clr:255,156,255,255;;
i:cuboid_103;pos:-3.789029,5.027675,246.2943;rot:0,179.1937,0;m:cuboid;scl:0.3,1,2;t:bark3;clr:255,156,255,255;;
i:house2_104;pos:-13.26575,-2.796286,319.7046;rot:0,179.7853,0;m:house2;scl:3,2,5;t:bark3;clr:255,156,255,255;;
i:tower4_105;pos:-15.48535,-78.24675,368.9886;rot:0,180.0208,0;m:tower4;scl:2,2,0.2;clr:255,156,255,255;;
i:cuboid_106;pos:-0.3323465,2.041276,290.5002;rot:0,179.7185,0;m:cuboid;scl:0.5,1.5,7;t:bark3;clr:255,156,255,255;;
i:cuboid_107;pos:-24.25286,2.29519,290.3801;rot:0,180.7933,0;m:cuboid;scl:0.5,1.5,7;t:bark3;clr:255,156,255,255;;
i:cuboid_108;pos:-12.06538,9.81241,288.9782;rot:0,179.863,0;m:cuboid;scl:2,0.1,7.3;t:bark3;clr:255,156,255,255;;
i:cuboid_109;pos:2.946502,18.01065,323.665;rot:0,89.97681,0;m:cuboid;scl:0.4,5,2;t:bark3;clr:255,156,255,255;;
i:cuboid_110;pos:-27.33525,17.00586,322.9317;rot:0,90.395,0;m:cuboid;scl:0.4,5,2;t:bark3;clr:255,156,255,255;;
i:cuboid_111;pos:-11.94576,25.86195,323.6884;rot:0,90.13716,0;m:cuboid;scl:0.4,3.2,2;t:bark3;clr:255,159,255,255;;
i:cuboid_112;pos:-35.43404,37.95416,345.9122;rot:0,89.7835,0;m:cuboid;scl:5,2.2,0.4;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_113;pos:10.45045,5.258088,347.4199;rot:0,89.18042,0;m:cuboid;scl:5,2.2,0.4;t:bark3;clr:255,159,255,255;;
i:cuboid_114;pos:10.48501,37.57199,346.8972;rot:0,89.43449,0;m:cuboid;scl:5,2.2,0.4;t:bark3;clr:255,159,255,255;;
i:cuboid_115;pos:-35.51466,5.378016,345.8839;rot:0,269.2565,0;m:cuboid;scl:5,2.2,0.4;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_116;pos:-12.41975,21.49834,347.1322;rot:0,271.4781,0;m:cuboid;scl:0.4,1.1,5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_117;pos:17.24162,14.06543,335.609;rot:0,359.2234,0;m:cuboid;scl:1,0.4,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_118;pos:36.81081,14.06543,335.9751;rot:0,359.2234,0;m:cuboid;scl:1,0.4,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_119;pos:27.07961,14.06562,328.422;rot:0,359.1774,0;m:cuboid;scl:1,0.4,0.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_120;pos:26.81463,14.02096,343.3778;rot:0,358.9677,0;m:cuboid;scl:1,0.4,0.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_121;pos:26.94223,14.22399,336.4196;rot:0,344.9557,0;m:tube;scl:1,0.4,1;t:bark3;clr:255,159,255,255;;
i:tube_122;pos:26.69932,6.683753,324.5692;rot:270.2661,337.1167,21.82292;m:tube;scl:1,0.4,1;t:bark3;clr:255,159,255,255;;
i:cuboid_123;pos:16.23095,8.560545,324.6234;rot:0,89.6183,0;m:cuboid;scl:0.4,1.5,1.2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_124;pos:36.98969,8.536701,324.8721;rot:0,269.42,0;m:cuboid;scl:0.4,1.5,1.2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_125;pos:28.11009,-0.4400812,326.2454;rot:0,359.7883,0;m:cuboid;scl:3,0.4,7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_126;pos:26.6901,4.711587,343.9701;rot:0,89.23846,0;m:cuboid;scl:0.4,1.5,3;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_127;pos:40.80188,7.824164,335.3139;rot:0,359.247,0;m:cuboid;scl:0.4,1.5,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_128;pos:32.90462,6.713826,317.2892;rot:270,89.32117,0;m:tube;scl:1,0.4,1;t:bark3;clr:255,159,255,255;;
i:cuboid_129;pos:44.84585,8.252941,316.5348;rot:0,359.1996,0;m:cuboid;scl:0.4,1.5,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_130;pos:45.0373,8.292941,301.8242;rot:0,359.1996,0;m:cuboid;scl:0.4,1.5,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_131;pos:20.57065,8.132941,315.7156;rot:0,359.7996,0;m:cuboid;scl:0.4,1.5,1.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_132;pos:26.73874,8.007463,310.4225;rot:0,359.2006,0;m:cuboid;scl:1.5,1.5,0.4;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_133;pos:32.58566,13.66114,318.6159;rot:0,89.36926,0;m:cuboid;scl:1.5,0.4,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_134;pos:38.43072,6.500176,309.8474;rot:0.4736602,269.1556,90.22974;m:tube;scl:1,0.4,1;t:bark3;clr:255,159,255,255;;
i:cylinder_135;pos:-68.45751,36.89701,271.4612;rot:0,30.74394,0;m:cylinder;scl:2,4,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cylinder_136;pos:44.18115,36.1479,271.8501;rot:0,6.74392,0;m:cylinder;scl:2,4,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cone_137;pos:-66.93924,88.37403,270.9871;rot:0,348.4819,0;m:cone;scl:0.6,1,0.6;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cone_138;pos:45.37931,87.48956,271.2262;rot:0,2.469778,0;m:cone;scl:0.6,1,0.6;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:tube_139;pos:33.10778,7.135043,303.5956;rot:270.8785,250.6843,199.0331;m:tube;scl:1,0.4,1;t:bark3;clr:255,159,255,255;;
i:cuboid_140;pos:31.57199,8.263649,296.2143;rot:0,90.17786,0;m:cuboid;scl:0.4,1.5,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_141;pos:31.57146,14.43684,303.3347;rot:0,89.54539,0;m:cuboid;scl:1.5,0.4,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_142;pos:23.54221,28.42733,335.5372;rot:0,359.3433,0;m:cuboid;scl:2.5,0.4,2.7;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_143;pos:22.60221,19.5613,347.137;rot:0,359.3433,0;m:cuboid;scl:2.7,1.5,0.4;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_144;pos:22.81103,19.4813,323.725;rot:0,359.3433,0;m:cuboid;scl:2.7,1.5,0.4;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_145;pos:33.52403,19.4013,337.5269;rot:0,359.3433,0;m:cuboid;scl:0.4,1.5,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_146;pos:12.38602,13.39276,311.1587;rot:18.95991,90.70136,0.02339029;m:cuboid;scl:0.3,2,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_147;pos:-27.78786,17.29051,313.3985;rot:0,90.76175,0;m:cuboid;scl:0.3,1.5,3;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_148;pos:-17.01755,22.87006,304.2458;rot:0,270.7898,0;m:cuboid;scl:2,0.3,4.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:spike1_149;pos:-9.419896,9.442848,315.7863;rot:0,1.132999,0;m:spike1;scl:0.5,0.5,0.5;t:bark3;clr:255,159,255,255;;
i:cuboid_150;pos:10.04103,5.30619,303.7218;rot:328.8864,269.8394,359.9371;m:cuboid;scl:1.5,0.2,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_151;pos:-4.380289,16.9306,312.9346;rot:0,90.76175,0;m:cuboid;scl:0.3,1.5,2;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_152;pos:-10.42288,10.47977,302.9934;rot:0,90.91395,0;m:cuboid;scl:2,0.2,2.5;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
i:cuboid_153;pos:-9.777325,16.93059,294.8346;rot:0,90.76175,0;m:cuboid;scl:0.3,1.5,3;mat:transparent;clr:255,0,0,175;l:0;c:trigger;c:killzone;;
