i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_3;pos:0,0,0;rot:0,180,0;m:cuboid;scl:2,14,140;;
i:cuboid_4;pos:700,0,690;rot:0,180,0;m:cuboid;scl:140,14,2;;
i:cuboid_5;pos:1390,0,0;rot:0,180,0;m:cuboid;scl:2,14,140;;
i:cuboid_6;pos:700,0,-690;rot:0,180,0;m:cuboid;scl:140,14,2;;
i:cuboid_7;pos:-700,0,690;rot:0,180,0;m:cuboid;scl:140,14,2;;
i:cuboid_8;pos:-1390,0,0;rot:0,180,0;m:cuboid;scl:2,14,140;;
i:cuboid_9;pos:-700,0,-690;rot:0,180,0;m:cuboid;scl:140,14,2;;
i:cuboid_10;pos:0,500,0;rot:0,180,0;m:cuboid;scl:1,100,140;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_11;pos:0,500,0;rot:0,180,0;m:cuboid;scl:2,100,140;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_12;pos:700,500,690;rot:0,180,0;m:cuboid;scl:140,100,2;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_13;pos:1390,500,0;rot:0,180,0;m:cuboid;scl:2,100,140;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_14;pos:700,500,-690;rot:0,180,0;m:cuboid;scl:140,100,2;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_15;pos:700,990,0;rot:0,180,0;m:cuboid;scl:140,2,140;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_16;pos:-700,500,690;rot:0,180,0;m:cuboid;scl:140,100,2;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_17;pos:-1390,500,0;rot:0,180,0;m:cuboid;scl:2,100,140;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_18;pos:-700,500,-690;rot:0,180,0;m:cuboid;scl:140,100,2;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_19;pos:-700,990,0;rot:0,180,0;m:cuboid;scl:140,2,140;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_20;pos:0,500,690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:cuboid_21;pos:0,500,-690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:cuboid_22;pos:1390,500,690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:cuboid_23;pos:1390,500,-690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:cuboid_24;pos:-1390,500,690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:cuboid_25;pos:-1390,500,-690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:spawntitan_26;pos:-156.4452,-289.9813,-92.48108;rot:0,21.2358,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_27;pos:-119.1351,-275.5295,-128.1085;rot:0,327.2327,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_28;pos:-105.6933,-275.4452,-91.97505;rot:0,241.9801,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_29;pos:-136.408,-275.3182,-67.32172;rot:0,197.7299,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_30;pos:-209.5518,-265.5983,-103.6893;rot:0,80.72887,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_31;pos:-184.703,-260.9124,-141.6995;rot:0,17.47874,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_32;pos:-149.9582,-249.151,-184.0479;rot:0,356.2282,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_33;pos:-118.0412,-247.3656,-171.3417;rot:0,314.9696,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_34;pos:-89.80157,-245.6599,-155.0661;rot:0,286.4623,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_35;pos:-48.78584,-234.7593,-126.5409;rot:0,282.2119,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_36;pos:-16.65282,-226.2464,-89.91736;rot:0,258.9599,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_37;pos:-51.39603,-248.403,-70.26738;rot:0,223.4591,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_38;pos:-74.9743,-244.0497,-32.24919;rot:0,217.709,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_39;pos:-127.4438,-245.9869,-12.36573;rot:0,189.9587,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_40;pos:-177.8722,-247.0231,-17.53727;rot:0,153.4581,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_41;pos:-211.4728,-247.1448,-41.78919;rot:0,135.2076,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:tree2_103;pos:436,118.34,0;rot:0,18.92465,0;m:tree2;;
i:tree2_104;pos:323.36,118.34,-83.6;rot:0,270,0;m:tree2;;
i:tree2_105;pos:779.2,118.34,-8.8;rot:0,36.8699,0;m:tree2;;
i:tree2_106;pos:776.56,118.34,54.56;rot:0,306.8699,0;m:tree2;;
i:tree2_107;pos:744,118.34,132;rot:0,180,0;m:tree2;;
i:tree2_108;pos:735.2,118.34,215.6;rot:0,180,0;m:tree2;;
i:tree2_109;pos:744,118.34,303.6;rot:0,36.8699,0;m:tree2;;
i:tree2_110;pos:729.04,118.34,384.56;rot:0,341.0753,0;m:tree2;;
i:tree2_111;pos:854,118.34,8.8;rot:0,306.8699,0;m:tree2;;
i:tree2_112;pos:857.52,118.34,66;rot:0,180,0;m:tree2;;
i:tree2_113;pos:811.76,118.34,123.2;rot:0,270,0;m:tree2;;
i:tree2_114;pos:814.4,118.34,184.8;rot:0,341.0753,0;m:tree2;;
i:tree2_115;pos:805.6,118.34,278.96;rot:0,36.8699,0;m:tree2;;
i:tree2_116;pos:779.2,118.34,391.6;rot:0,343.7398,0;m:tree2;;
i:tree2_117;pos:879.52,118.34,145.2;rot:0,53.1301,0;m:tree2;;
i:tree2_118;pos:845.2,118.34,222.64;rot:0,90,0;m:tree2;;
i:tree2_119;pos:856.64,118.34,325.6;rot:0,341.0753,0;m:tree2;;
i:tree2_120;pos:840.8,118.34,378.4;rot:0,53.1301,0;m:tree2;;
i:tree2_121;pos:913.84,118.34,154;rot:0,180,0;m:tree2;;
i:tree2_122;pos:899.76,118.34,290.4;rot:0,270,0;m:tree2;;
i:tree2_123;pos:798.56,118.34,472.56;rot:0,180,0;m:tree2;;
i:tree2_124;pos:890.96,118.34,468.16;rot:0,180,0;m:tree2;;
i:tree2_125;pos:964,118.34,448.8;rot:0,270,0;m:tree2;;
i:tree2_126;pos:996.56,118.34,382.8;rot:0,180,0;m:tree2;;
i:tree2_127;pos:988.64,118.34,330;rot:0,90,0;m:tree2;;
i:tree2_128;pos:1013.28,118.34,253.44;rot:0,53.1301,0;m:tree2;;
i:tree2_129;pos:1025.6,118.34,202.4;rot:0,180,0;m:tree2;;
i:tree2_130;pos:1021.2,118.34,134.64;rot:0,323.1301,0;m:tree2;;
i:tree2_131;pos:965.76,118.34,79.2;rot:0,18.92465,0;m:tree2;;
i:tree2_132;pos:969.28,118.34,34.32;rot:0,343.7398,0;m:tree2;;
i:tree2_133;pos:1080.16,118.34,69.52;rot:0,28.07249,0;m:tree2;;
i:tree2_134;pos:1108.32,118.34,146.96;rot:0,306.8699,0;m:tree2;;
i:tree2_135;pos:1038.8,118.34,411.84;rot:0,270,0;m:tree2;;
i:tree2_136;pos:1078.4,118.34,334.4;rot:0,14.25003,0;m:tree2;;
i:tree2_137;pos:1122.4,118.34,262.24;rot:0,270,0;m:tree2;;
i:tree2_138;pos:1148.8,118.34,196.24;rot:0,90,0;m:tree2;;
i:tree2_139;pos:1176.96,118.34,110;rot:0,180,0;m:tree2;;
i:tree2_140;pos:1184,118.34,32.56;rot:0,331.9275,0;m:tree2;;
i:tree2_141;pos:767.76,118.34,-79.2;rot:0,341.0753,0;m:tree2;;
i:tree2_142;pos:766,118.34,-147.84;rot:0,343.7398,0;m:tree2;;
i:tree2_143;pos:779.2,118.34,-220;rot:0,270,0;m:tree2;;
i:tree2_144;pos:764.24,118.34,-290.4;rot:0,90,0;m:tree2;;
i:tree2_145;pos:767.1,118.34,-347.6;rot:0,180,0;m:tree2;;
i:tree2_146;pos:772.16,118.34,-442.64;rot:0,53.1301,0;m:tree2;;
i:tree2_147;pos:820.56,118.34,-376.64;rot:0,331.9275,0;m:tree2;;
i:tree2_148;pos:824.96,118.34,-123.2;rot:0,180,0;m:tree2;;
i:tree2_149;pos:845.2,118.34,-198;rot:0,90,0;m:tree2;;
i:tree2_150;pos:880.4,118.34,-275.44;rot:0,306.8699,0;m:tree2;;
i:tree2_151;pos:891.84,118.34,-344.96;rot:0,180,0;m:tree2;;
i:tree2_152;pos:876,118.34,-432.96;rot:0,28.07249,0;m:tree2;;
i:tree2_153;pos:889.2,118.34,-36.96;rot:0,180,0;m:tree2;;
i:tree2_154;pos:927.04,118.34,-67.76;rot:0,270,0;m:tree2;;
i:tree2_155;pos:908.56,118.34,-147.84;rot:0,180,0;m:tree2;;
i:tree2_156;pos:911.2,118.34,-211.2;rot:0,90,0;m:tree2;;
i:tree2_157;pos:950.8,118.34,-246.4;rot:0,180,0;m:tree2;;
i:tree2_158;pos:972.8,118.34,-318.56;rot:0,270,0;m:tree2;;
i:tree2_159;pos:993.92,118.34,-376.64;rot:0,180,0;m:tree2;;
i:tree2_160;pos:978.96,118.34,-32.56;rot:0,306.8699,0;m:tree2;;
i:tree2_161;pos:1010.64,118.34,-134.64;rot:0,53.1301,0;m:tree2;;
i:tree2_162;pos:1054.64,118.34,-125.84;rot:0,270,0;m:tree2;;
i:tree2_163;pos:1074,118.34,-278.96;rot:0,22.61987,0;m:tree2;;
i:tree2_164;pos:1126.8,118.34,-40.48;rot:0,90,0;m:tree2;;
i:tree2_165;pos:1104.8,118.34,-96.8;rot:0,180,0;m:tree2;;
i:tree2_166;pos:1105.68,118.34,-164.56;rot:0,306.8699,0;m:tree2;;
i:tree2_167;pos:1170.8,118.34,-88;rot:0,90,0;m:tree2;;
i:tree2_168;pos:1155.84,118.34,-160.16;rot:0,323.1301,0;m:tree2;;
i:spawnhuman_170;pos:659.335,115,-464.8921;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_171;pos:700,0,0;rot:0,180,0;m:cuboid;scl:140,10,140;t:grass1;til:35,35;clr:68,84,38,255;;
i:tree2_172;pos:-635.76,118.34,0;rot:0,90,0;m:tree2;;
i:tree2_173;pos:-565.36,118.34,3.52;rot:0,306.8699,0;m:tree2;;
i:tree2_174;pos:-497.6,118.34,32.56;rot:0,180,0;m:tree2;;
i:tree2_175;pos:-207.2,118.34,44;rot:0,90,0;m:tree2;;
i:tree2_176;pos:-286.4,118.34,66;rot:0,323.1301,0;m:tree2;;
i:tree2_177;pos:-632.24,118.34,76.56;rot:0,53.1301,0;m:tree2;;
i:tree2_178;pos:-491.44,118.34,79.2;rot:0,270,0;m:tree2;;
i:tree2_179;pos:-558.32,118.34,102.96;rot:0,180,0;m:tree2;;
i:tree2_180;pos:-444.8,118.34,94.16;rot:0,90,0;m:tree2;;
i:tree2_181;pos:-370.88,118.34,110;rot:0,180,0;m:tree2;;
i:tree2_182;pos:-216,118.34,105.6;rot:0,270,0;m:tree2;;
i:tree2_183;pos:-614.64,118.34,153.12;rot:0,306.8699,0;m:tree2;;
i:tree2_184;pos:-304,118.34,149.6;rot:0,180,0;m:tree2;;
i:tree2_185;pos:-539.84,118.34,165.44;rot:0,270,0;m:tree2;;
i:tree2_186;pos:-614.64,118.34,215.6;rot:0,180,0;m:tree2;;
i:tree2_187;pos:-458,118.34,198;rot:0,53.1301,0;m:tree2;;
i:tree2_188;pos:-356.8,118.34,200.64;rot:0,323.1301,0;m:tree2;;
i:tree2_189;pos:-312.8,118.34,220;rot:0,36.8699,0;m:tree2;;
i:tree2_190;pos:-532.8,118.34,237.6;rot:0,180,0;m:tree2;;
i:tree2_191;pos:-466.8,118.34,296.56;rot:0,306.8699,0;m:tree2;;
i:tree2_192;pos:-378.8,118.34,275.44;rot:0,90,0;m:tree2;;
i:tree2_193;pos:-546,118.34,312.4;rot:0,306.8699,0;m:tree2;;
i:tree2_194;pos:-356.8,118.34,316.8;rot:0,270,0;m:tree2;;
i:tree2_195;pos:-616.4,118.34,334.4;rot:0,180,0;m:tree2;;
i:tree2_196;pos:-627.84,118.34,398.64;rot:0,53.1301,0;m:tree2;;
i:tree2_197;pos:-559.2,118.34,382.8;rot:0,180,0;m:tree2;;
i:tree2_198;pos:-451.84,118.34,381.04;rot:0,270,0;m:tree2;;
i:tree2_199;pos:-572.4,118.34,454.08;rot:0,323.1301,0;m:tree2;;
i:tree2_200;pos:-427.2,118.34,418;rot:0,53.1301,0;m:tree2;;
i:tree2_201;pos:-640.16,118.34,-69.52;rot:0,270,0;m:tree2;;
i:tree2_202;pos:-654.24,118.34,-146.96;rot:0,90,0;m:tree2;;
i:tree2_203;pos:-659.52,118.34,-224.4;rot:0,90,0;m:tree2;;
i:tree2_204;pos:-634,118.34,-315.92;rot:0,306.8699,0;m:tree2;;
i:tree2_205;pos:-648.08,118.34,-409.2;rot:0,90,0;m:tree2;;
i:tree2_206;pos:-645.44,118.34,-464.64;rot:0,180,0;m:tree2;;
i:tree2_207;pos:-559.2,118.34,-59.84;rot:0,270,0;m:tree2;;
i:tree2_208;pos:-574.16,118.34,-110;rot:0,180,0;m:tree2;;
i:tree2_209;pos:-590,118.34,-180.4;rot:0,306.8699,0;m:tree2;;
i:tree2_210;pos:-554.8,118.34,-246.4;rot:0,36.8699,0;m:tree2;;
i:tree2_211;pos:-570.64,118.34,-294.8;rot:0,270,0;m:tree2;;
i:tree2_212;pos:-583.84,118.34,-385.44;rot:0,180,0;m:tree2;;
i:tree2_213;pos:-532.8,118.34,-479.6;rot:0,270,0;m:tree2;;
i:tree2_214;pos:-528.4,118.34,-362.56;rot:0,53.1301,0;m:tree2;;
i:tree2_215;pos:-532.8,118.34,-177.76;rot:0,270,0;m:tree2;;
i:tree2_216;pos:-446.56,118.34,-99.44;rot:0,180,0;m:tree2;;
i:tree2_217;pos:-458,118.34,-147.84;rot:0,270,0;m:tree2;;
i:tree2_218;pos:-453.6,118.34,-242;rot:0,180,0;m:tree2;;
i:tree2_219;pos:-441.28,118.34,-340.56;rot:0,270,0;m:tree2;;
i:tree2_220;pos:-475.6,118.34,-431.2;rot:0,180,0;m:tree2;;
i:tree2_221;pos:-409.6,118.34,-444.4;rot:0,53.1301,0;m:tree2;;
i:tree2_222;pos:-387.6,118.34,-202.4;rot:0,323.1301,0;m:tree2;;
i:tree2_223;pos:-374.4,118.34,-318.56;rot:0,28.07249,0;m:tree2;;
i:tree2_224;pos:-343.6,118.34,-374;rot:0,306.8699,0;m:tree2;;
i:tree2_225;pos:-340.96,118.34,-149.6;rot:0,270,0;m:tree2;;
i:tree2_226;pos:-264.4,118.34,-17.6;rot:0,337.3801,0;m:tree2;;
i:tree2_227;pos:-289.04,118.34,-105.6;rot:0,53.1301,0;m:tree2;;
i:tree2_228;pos:-275.84,118.34,-180.4;rot:0,341.0753,0;m:tree2;;
i:tree2_229;pos:-286.4,118.34,-246.4;rot:0,323.1301,0;m:tree2;;
i:tree2_230;pos:-293.44,118.34,-299.2;rot:0,14.25003,0;m:tree2;;
i:tree2_231;pos:-214.24,118.34,-72.16;rot:0,306.8699,0;m:tree2;;
i:tree2_232;pos:-224.8,118.34,-167.2;rot:0,28.07249,0;m:tree2;;
i:tree2_233;pos:-436,118.34,0;rot:0,18.92465,0;m:tree2;;
i:tree2_234;pos:-323.36,118.34,-83.6;rot:0,270,0;m:tree2;;
i:tree2_235;pos:-779.2,118.34,-8.8;rot:0,36.8699,0;m:tree2;;
i:tree2_236;pos:-776.56,118.34,54.56;rot:0,306.8699,0;m:tree2;;
i:tree2_237;pos:-744,118.34,132;rot:0,180,0;m:tree2;;
i:tree2_238;pos:-735.2,118.34,215.6;rot:0,180,0;m:tree2;;
i:tree2_239;pos:-744,118.34,303.6;rot:0,36.8699,0;m:tree2;;
i:tree2_240;pos:-729.04,118.34,384.56;rot:0,341.0753,0;m:tree2;;
i:tree2_241;pos:-854,118.34,8.8;rot:0,306.8699,0;m:tree2;;
i:tree2_242;pos:-857.52,118.34,66;rot:0,180,0;m:tree2;;
i:tree2_243;pos:-811.76,118.34,123.2;rot:0,270,0;m:tree2;;
i:tree2_244;pos:-814.4,118.34,184.8;rot:0,341.0753,0;m:tree2;;
i:tree2_245;pos:-805.6,118.34,278.96;rot:0,36.8699,0;m:tree2;;
i:tree2_246;pos:-779.2,118.34,391.6;rot:0,343.7398,0;m:tree2;;
i:tree2_247;pos:-879.52,118.34,145.2;rot:0,53.1301,0;m:tree2;;
i:tree2_248;pos:-845.2,118.34,222.64;rot:0,90,0;m:tree2;;
i:tree2_249;pos:-856.64,118.34,325.6;rot:0,341.0753,0;m:tree2;;
i:tree2_250;pos:-840.8,118.34,378.4;rot:0,53.1301,0;m:tree2;;
i:tree2_251;pos:-913.84,118.34,154;rot:0,180,0;m:tree2;;
i:tree2_252;pos:-899.76,118.34,290.4;rot:0,270,0;m:tree2;;
i:tree2_253;pos:-798.56,118.34,472.56;rot:0,180,0;m:tree2;;
i:tree2_254;pos:-890.96,118.34,468.16;rot:0,180,0;m:tree2;;
i:tree2_255;pos:-964,118.34,448.8;rot:0,270,0;m:tree2;;
