i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:-404.2726,-21.78892,-246.7231;rot:0,359.1885,0;m:cuboid;scl:600,5,600;t:grass4;til:600,600;;
i:cuboid_3;pos:1131.827,1000.506,635.6779;rot:0,89.06938,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_4;pos:-568.772,1000.605,-2662.688;rot:0,177.6911,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_5;pos:-108.6261,1000.962,2060.75;rot:0,178.467,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_6;pos:-2590.693,1000.243,-662.8665;rot:0,269.5496,0;m:cuboid;scl:1000,500,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_7;pos:-521.3881,3000.58,-2464.846;rot:0,177.2914,0;m:cuboid;scl:1000,5,1000;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_8;pos:-501.8618,-27.36913,-2513.453;rot:0,179.2483,0;m:cuboid;scl:1000,5,1000;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:spawntitan_9;pos:-119.6767,4.394102,-146.7209;rot:0,179.7493,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_10;pos:122.121,6.340169,-486.4828;rot:0,170.499,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_11;pos:-245.3835,6.223709,-837.5488;rot:0,200.7489,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_12;pos:-291.5408,5.367226,-1350.694;rot:0,197.4989,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_13;pos:-727.5988,4.528649,-1414.535;rot:0,246.2481,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_14;pos:-1097.347,12.8982,-1855.955;rot:0,236.9976,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_15;pos:-1329.777,8.801264,-1380.985;rot:0,303.9958,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_16;pos:-1683.192,141.214,-1109.746;rot:0,343.744,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_17;pos:-1448.999,13.70236,-622.3224;rot:0,6.243357,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_18;pos:-1705.352,9.024416,-53.68551;rot:0,359.7424,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_19;pos:-1119.149,6.91658,299.7501;rot:0,17.49227,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_20;pos:-1160.721,13.74289,877.2776;rot:0,17.49225,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_21;pos:-720.6461,5.323304,740.2811;rot:0,36.99212,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_22;pos:-530.038,4.142523,870.5223;rot:0,29.74208,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_23;pos:-562.2639,7.925853,1270.408;rot:0,33.74209,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_24;pos:-179.4771,6.824833,1055.588;rot:0,94.2419,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_25;pos:55.6458,9.576801,1305.886;rot:0,92.2417,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_26;pos:-93.85144,15.24634,906.3185;rot:0,121.9911,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_27;pos:-45.78211,11.32205,395.7147;rot:0,163.4906,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_28;pos:154.3756,20.73162,-63.01961;rot:0,188.7401,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:tree2_71;pos:-1487.979,70.92663,223.186;rot:0,207.9368,0;m:tree2;;
i:tree2_72;pos:-1427.876,69.09385,343.3729;rot:0,204.4364,0;m:tree2;;
i:tree2_73;pos:-1386.259,69.46676,437.1852;rot:0,203.4785,0;m:tree2;;
i:tree2_74;pos:-1319.515,70.58276,554.457;rot:0,207.6726,0;m:tree2;;
i:tree2_75;pos:-1270.655,71.31284,652.5787;rot:0,210.6712,0;m:tree2;;
i:tree2_76;pos:-1209.376,70.42924,729.5582;rot:0,228.5354,0;m:tree2;;
i:tree2_77;pos:-1107.796,69.89555,820.6775;rot:0,222.401,0;m:tree2;;
i:tree2_78;pos:-998.5246,69.46562,904.48;rot:0,237.2458,0;m:tree2;;
i:tree2_79;pos:-917.5958,71.02576,978.2709;rot:0,233.1405,0;m:tree2;;
i:tree2_80;pos:-837.3015,70.37015,1036.925;rot:0,249.8578,0;m:tree2;;
i:tree2_81;pos:-760.6413,70.72077,1078.551;rot:0,249.3787,0;m:tree2;;
i:tree2_82;pos:-666.4445,70.47717,1116.516;rot:0,245.3383,0;m:tree2;;
i:tree2_83;pos:-584.2422,70.39655,1155.585;rot:0,246.6199,0;m:tree2;;
i:tree2_84;pos:-489.8508,69.40414,1200.229;rot:0,246.8697,0;m:tree2;;
i:tree2_85;pos:-397.2492,69.45052,1237.732;rot:0,258.2634,0;m:tree2;;
i:tree2_86;pos:-302.2542,70.20667,1236.563;rot:0,276.3619,0;m:tree2;;
i:tree2_87;pos:-208.0486,69.40245,1232.334;rot:0,272.2608,0;m:tree2;;
i:tree2_88;pos:-110.4072,69.09064,1225.558;rot:0,277.5984,0;m:tree2;;
i:tree2_89;pos:-10.48768,69.55531,1216.217;rot:0,277.5977,0;m:tree2;;
i:tree2_90;pos:102.2418,70.49814,1204.36;rot:0,281.7374,0;m:tree2;;
i:tree2_91;pos:184.1096,69.8179,1151.464;rot:0,315.851,0;m:tree2;;
i:tree2_92;pos:248.6359,69.85371,1085.912;rot:0,335.5762,0;m:tree2;;
i:tree2_93;pos:281.1292,70.69272,979.8237;rot:0,340.0106,0;m:tree2;;
i:tree2_94;pos:311.172,71.12601,870.6435;rot:0,348.1585,0;m:tree2;;
i:tree2_95;pos:349.3735,70.48984,753.2112;rot:0,346.8041,0;m:tree2;;
i:tree2_96;pos:380.2228,70.8385,629.6427;rot:0,349.7057,0;m:tree2;;
i:tree2_97;pos:339.8056,70.38995,500.3252;rot:0,30.63496,0;m:tree2;;
i:tree2_98;pos:273.4435,70.63762,374.8813;rot:0,24.9333,0;m:tree2;;
i:tree2_99;pos:221.5516,70.91665,267.1112;rot:0,33.57264,0;m:tree2;;
i:tree2_100;pos:175.8278,70.07244,173.9073;rot:0,29.7811,0;m:tree2;;
i:tree2_101;pos:-275.4078,69.98148,1018.07;rot:0,270.2665,0;m:tree2;;
i:tree2_102;pos:-145.724,70.3624,1021.868;rot:0,269.009,0;m:tree2;;
i:tree2_103;pos:-16.59289,69.44083,1016.471;rot:0,329.8015,0;m:tree2;;
i:tree2_104;pos:30.36774,70.41847,918.0007;rot:0,350.5446,0;m:tree2;;
i:tree2_105;pos:83.39944,70.84487,840.2177;rot:0,331.4797,0;m:tree2;;
i:tree2_106;pos:131.8438,70.80248,754.1346;rot:0,331.7296,0;m:tree2;;
i:tree2_107;pos:182.408,70.44907,657.2458;rot:0,331.7217,0;m:tree2;;
i:tree2_108;pos:166.2639,70.49947,576.8281;rot:0,25.21923,0;m:tree2;;
i:tree2_109;pos:125.8053,69.95107,482.8517;rot:0,27.45891,0;m:tree2;;
i:tree2_110;pos:85.08207,70.2887,388.7251;rot:0,23.70467,0;m:tree2;;
i:tree2_111;pos:35.33856,69.85902,286.6754;rot:0,26.20419,0;m:tree2;;
i:tree2_112;pos:-12.65883,69.98938,195.038;rot:0,25.20343,0;m:tree2;;
i:tree2_113;pos:-51.36364,70.85505,91.58022;rot:0,18.9534,0;m:tree2;;
i:tree2_114;pos:-93.76398,69.63308,8.108154;rot:0,50.75261,0;m:tree2;;
i:tree2_115;pos:-86.24258,71.13665,-96.68093;rot:0,358.9503,0;m:tree2;;
i:tree2_116;pos:-82.46384,70.7141,-220.065;rot:0,357.6984,0;m:tree2;;
i:tree2_117;pos:-85.71236,70.59541,-342.1819;rot:0,358.4386,0;m:tree2;;
i:tree2_118;pos:-85.75771,70.31657,-460.1131;rot:0,0.3858629,0;m:tree2;;
i:tree2_119;pos:-102.8903,70.576,-558.4397;rot:0,17.68437,0;m:tree2;;
i:tree2_120;pos:-141.1968,70.68219,-673.4478;rot:0,18.43396,0;m:tree2;;
i:tree2_121;pos:-181.8143,70.41288,-784.851;rot:0,18.18356,0;m:tree2;;
i:tree2_122;pos:-221.8138,70.9686,-906.6993;rot:0,18.68357,0;m:tree2;;
i:tree2_123;pos:-273.5977,70.5195,-1004.911;rot:0,44.03017,0;m:tree2;;
i:tree2_124;pos:-336.7077,71.1114,-1110.469;rot:0,33.67889,0;m:tree2;;
i:tree2_125;pos:-402.0572,70.7282,-1212.39;rot:0,32.6761,0;m:tree2;;
i:tree2_126;pos:-466.5294,70.79357,-1311.485;rot:0,34.67542,0;m:tree2;;
i:tree2_127;pos:-543.3641,70.20635,-1374.697;rot:0,85.81685,0;m:tree2;;
i:tree2_128;pos:-644.0353,69.84009,-1414.684;rot:0,85.10935,0;m:tree2;;
i:tree2_129;pos:-745.3871,71.06064,-1469.603;rot:0,64.15732,0;m:tree2;;
i:tree2_130;pos:-859.5713,70.58979,-1517.769;rot:0,65.15513,0;m:tree2;;
i:tree2_131;pos:-969.5492,70.21227,-1544.461;rot:0,93.15288,0;m:tree2;;
i:tree2_132;pos:-1109.429,70.18019,-1534.76;rot:0,95.15268,0;m:tree2;;
i:tree2_133;pos:-1246.458,69.40989,-1519.194;rot:0,93.40019,0;m:tree2;;
i:tree2_134;pos:-1352.217,70.35004,-1496.066;rot:0,131.5478,0;m:tree2;;
i:tree2_135;pos:-1365.759,70.76129,-1408.629;rot:0,189.3461,0;m:tree2;;
i:tree2_136;pos:-1380.54,69.77935,-1314.724;rot:0,173.3834,0;m:tree2;;
i:tree2_137;pos:-1388.227,69.55381,-1203.736;rot:0,177.1299,0;m:tree2;;
i:tree2_138;pos:-1392.758,69.95102,-1072.906;rot:0,178.2778,0;m:tree2;;
i:tree2_139;pos:-1398.6,70.48476,-942.7269;rot:0,178.1277,0;m:tree2;;
i:tree2_140;pos:-1408.282,69.97012,-791.9034;rot:0,178.6274,0;m:tree2;;
i:tree2_141;pos:-1410.952,70.47892,-665.4751;rot:0,178.6274,0;m:tree2;;
i:tree2_142;pos:-1405.684,69.59752,-551.6589;rot:0,200.6231,0;m:tree2;;
i:tree2_143;pos:-1391.165,69.496,-452.7785;rot:0,192.1211,0;m:tree2;;
i:tree2_144;pos:-1370.976,69.79125,-342.4436;rot:0,190.8708,0;m:tree2;;
i:tree2_145;pos:-1350.027,70.77624,-199.3773;rot:0,189.3685,0;m:tree2;;
i:tree2_146;pos:-1322.934,70.7695,-63.85562;rot:0,196.8652,0;m:tree2;;
i:tree2_147;pos:-1287.744,70.67101,45.69725;rot:0,195.3651,0;m:tree2;;
i:tree2_148;pos:-1247.466,70.4015,164.6909;rot:0,200.1151,0;m:tree2;;
i:tree2_149;pos:-1201.486,70.95127,293.4684;rot:0,198.3623,0;m:tree2;;
i:tree2_150;pos:-1138.219,69.90968,421.2628;rot:0,221.8571,0;m:tree2;;
i:tree2_151;pos:-1053.397,69.93806,520.7125;rot:0,223.1009,0;m:tree2;;
i:tree2_152;pos:-966.588,70.12196,618.4413;rot:0,221.0947,0;m:tree2;;
i:tree2_153;pos:-872.8901,70.53418,719.3329;rot:0,263.9389,0;m:tree2;;
i:tree2_154;pos:-768.7458,70.46992,794.5734;rot:0,248.7299,0;m:tree2;;
i:tree2_155;pos:-678.4294,71.02516,866.5861;rot:0,236.3212,0;m:tree2;;
i:tree2_156;pos:-574.323,70.25626,931.7767;rot:0,246.5144,0;m:tree2;;
i:tree2_157;pos:-428.9427,69.68974,1007.614;rot:0,260.9144,0;m:tree2;;
i:tree2_158;pos:288.36,70.50861,70.01815;rot:0,23.99216,0;m:tree2;;
i:tree2_159;pos:215.0044,70.43401,-113.1431;rot:0,25.96862,0;m:tree2;;
i:tree2_160;pos:210.2546,70.4271,-303.1352;rot:0,354.2361,0;m:tree2;;
i:tree2_161;pos:215.2776,70.17713,-568.8322;rot:0,3.475391,0;m:tree2;;
i:tree2_162;pos:163.0475,69.79745,-762.7703;rot:0,16.57255,0;m:tree2;;
i:tree2_163;pos:110.4899,70.52198,-954.1719;rot:0,13.13264,0;m:tree2;;
i:tree2_164;pos:38.14092,70.2236,-1118.198;rot:0,34.00266,0;m:tree2;;
i:tree2_165;pos:-67.49167,70.65939,-1304.172;rot:0,31.2727,0;m:tree2;;
i:tree2_166;pos:-177.7616,69.94343,-1477.714;rot:0,36.92295,0;m:tree2;;
i:tree2_167;pos:-299.9297,69.60072,-1648.96;rot:0,55.30854,0;m:tree2;;
i:tree2_168;pos:-445.9488,69.83932,-1744.871;rot:0,69.30828,0;m:tree2;;
i:tree2_169;pos:-610.5503,70.93192,-1845.163;rot:0,70.01515,0;m:tree2;;
i:tree2_170;pos:-822.9144,69.52911,-1933.081;rot:0,75.04868,0;m:tree2;;
i:tree2_171;pos:-1045.07,69.66324,-1953.359;rot:0,92.1488,0;m:tree2;;
i:tree2_172;pos:-1266.851,70.64378,-1955.657;rot:0,87.79887,0;m:tree2;;
i:tree2_173;pos:-1500.354,70.37044,-1912.08;rot:0,110.1743,0;m:tree2;;
i:tree2_174;pos:-1687.336,69.69164,-1786.029;rot:0,136.7719,0;m:tree2;;
i:tree2_175;pos:-1766.8,68.4431,-1641.401;rot:0,174.6364,0;m:tree2;;
i:tree2_176;pos:-1799.625,68.79799,-1500.635;rot:0,164.2142,0;m:tree2;;
i:tree2_177;pos:-1823.713,68.47649,-1320.344;rot:0,175.2617,0;m:tree2;;
i:tree2_178;pos:-1842.04,69.72809,-1144.726;rot:0,182.8671,0;m:tree2;;
i:tree2_179;pos:-1854.586,70.72366,-976.1763;rot:0,183.6159,0;m:tree2;;
i:tree2_180;pos:-1872.519,69.3671,-815.6637;rot:0,188.8052,0;m:tree2;;
i:tree2_181;pos:-1876.435,69.18955,-689.5366;rot:0,194.3936,0;m:tree2;;
i:tree2_182;pos:-1877.969,69.89006,-574.1245;rot:0,194.4625,0;m:tree2;;
i:tree2_183;pos:-1876.213,70.24679,-434.1383;rot:0,200.762,0;m:tree2;;
i:tree2_184;pos:-1859.674,69.04201,-292.5047;rot:0,199.6106,0;m:tree2;;
i:tree2_185;pos:-1829.581,69.60986,-159.6454;rot:0,203.81,0;m:tree2;;
i:tree2_186;pos:-1772.52,70.10658,9.287556;rot:0,221.2563,0;m:tree2;;
i:tree2_187;pos:-1689.686,69.63892,155.4879;rot:0,207.5543,0;m:tree2;;
i:tree2_188;pos:-1588.565,68.57838,347.9556;rot:0,217.9482,0;m:tree2;;
i:tree2_189;pos:-1466.562,69.80375,570.6152;rot:0,210.5371,0;m:tree2;;
i:tree2_190;pos:-1365.509,69.31949,743.0761;rot:0,214.3955,0;m:tree2;;
i:tree2_191;pos:-1267.511,69.38681,862.47;rot:0,226.9629,0;m:tree2;;
i:tree2_192;pos:-1143.036,69.45023,968.993;rot:0,237.1916,0;m:tree2;;
i:tree2_193;pos:-997.8699,69.16394,1085.15;rot:0,240.7917,0;m:tree2;;
i:tree2_194;pos:-862.9005,69.03942,1180.372;rot:0,246.9396,0;m:tree2;;
i:tree2_195;pos:-719.1976,69.70208,1256.836;rot:0,252.8864,0;m:tree2;;
i:tree2_196;pos:-568.3709,69.31433,1315.535;rot:0,255.4146,0;m:tree2;;
i:tree2_197;pos:-398.5501,69.44791,1374.787;rot:0,260.114,0;m:tree2;;
i:tree2_198;pos:-257.7065,69.10608,1384.353;rot:0,276.3006,0;m:tree2;;
i:tree2_199;pos:-113.2067,69.56352,1380.629;rot:0,272.9768,0;m:tree2;;
i:tree2_200;pos:26.64383,69.2585,1367.444;rot:0,284.5742,0;m:tree2;;
i:tree2_201;pos:167.1973,69.65301,1327.187;rot:0,297.3525,0;m:tree2;;
i:tree2_202;pos:284.9905,69.03819,1221.171;rot:0,314.9738,0;m:tree2;;
i:tree2_203;pos:370.7276,69.69411,1097.745;rot:0,341.7582,0;m:tree2;;
i:tree2_204;pos:414.1208,69.85139,958.9756;rot:0,3.308058,0;m:tree2;;
i:tree2_205;pos:440.5569,69.4735,819.4409;rot:0,0.4495847,0;m:tree2;;
i:tree2_206;pos:485.4787,69.41209,698.4887;rot:0,350.4522,0;m:tree2;;
i:tree2_207;pos:487.0254,69.57964,556.8201;rot:0,13.69567,0;m:tree2;;
i:tree2_208;pos:418.8032,69.28877,361.7698;rot:0,23.54573,0;m:tree2;;
i:tree2_209;pos:349.2614,69.31483,211.6097;rot:0,22.54169,0;m:tree2;;
i:tree2_210;pos:-451.8148,70.21461,-1105.766;rot:0,38.78629,0;m:tree2;;
i:tree2_211;pos:-609.7,69.40951,-1234.899;rot:0,59.33633,0;m:tree2;;
i:tree2_212;pos:-771.4421,69.24464,-1294.92;rot:0,65.50643,0;m:tree2;;
i:tree2_213;pos:-964.4713,69.09359,-1367.01;rot:0,77.13654,0;m:tree2;;
i:tree2_214;pos:-1150.567,69.20962,-1369.848;rot:0,97.33669,0;m:tree2;;
i:tree2_215;pos:-1224.992,69.6128,-1217.583;rot:0,169.5349,0;m:tree2;;
i:tree2_216;pos:-1231.694,69.43719,-1006.913;rot:0,172.7344,0;m:tree2;;
i:tree2_217;pos:-1240.205,69.59937,-743.0084;rot:0,175.483,0;m:tree2;;
i:tree2_218;pos:-1241.557,69.57113,-520.6146;rot:0,181.482,0;m:tree2;;
i:tree2_219;pos:-1211.837,69.16096,-303.2783;rot:0,188.231,0;m:tree2;;
i:tree2_220;pos:-1153.812,69.34653,-67.0491;rot:0,201.6803,0;m:tree2;;
i:tree2_221;pos:-1088.186,69.31108,184.7988;rot:0,198.979,0;m:tree2;;
i:tree2_222;pos:-988.1963,69.55792,388.9905;rot:0,215.3377,0;m:tree2;;
i:tree2_223;pos:-810.0206,69.46117,579.9758;rot:0,225.977,0;m:tree2;;
i:tree2_224;pos:-645.4212,69.65166,694.4049;rot:0,239.2266,0;m:tree2;;
i:tree2_225;pos:-479.0731,69.87941,806.7253;rot:0,238.724,0;m:tree2;;
i:tree2_226;pos:-307.8509,69.57856,843.9953;rot:0,265.6221,0;m:tree2;;
i:tree2_227;pos:-165.705,69.48626,895.4764;rot:0,264.4661,0;m:tree2;;
i:tree2_228;pos:-40.64852,69.40003,833.8674;rot:0,307.4236,0;m:tree2;;
i:tree2_229;pos:16.28359,69.06198,725.9516;rot:0,345.2103,0;m:tree2;;
i:tree2_230;pos:36.43274,69.35468,604.2665;rot:0,5.973345,0;m:tree2;;
i:tree2_231;pos:-33.62437,69.07465,480.7971;rot:0,16.20147,0;m:tree2;;
i:tree2_232;pos:-113.8785,69.33008,322.7968;rot:0,26.95153,0;m:tree2;;
i:tree2_233;pos:-188.6833,69.10631,185.9566;rot:0,27.44866,0;m:tree2;;
i:tree2_234;pos:-231.7837,69.82318,-12.36965;rot:0,33.78826,0;m:tree2;;
i:tree2_235;pos:-216.1484,69.27927,-196.7746;rot:0,17.64394,0;m:tree2;;
i:tree2_236;pos:-204.0657,70.64165,-388.2485;rot:0,33.84336,0;m:tree2;;
i:tree2_237;pos:-253.9776,69.24594,-580.2643;rot:0,41.33792,0;m:tree2;;
i:tree2_238;pos:-338.0976,69.23791,-758.1809;rot:0,38.68364,0;m:tree2;;
